Class	Type	C1	C2	C3	U1	U2	Rare
Lith	P1	Sybaris Prime Stock	Fang Prime Blade	Helios Prime Carapace	Forma Blueprint	Braton Prime Receiver	Pyrana Prime Blueprint
Lith	P2	Burston Prime Blueprint	Tipedo Prime Blueprint	Forma Blueprint	Ballistica Prime Receiver	Gram Prime Blueprint	Pyrana Prime Blueprint
Lith	P3	Stradavar Prime Stock	Atlas Prime Blueprint	Forma Blueprint	Burston Prime Barrel	Akjagara Prime Link	Panthera Prime Barrel
Lith	P4	Bronco Prime Blueprint	Titania Prime Chassis	Braton Prime Barrel	Forma Blueprint	Equinox Prime Blueprint	Panthera Prime Barrel
Lith	P5	Atlas Prime Blueprint	Lex Prime Blueprint	Bronco Prime Receiver	Guandao Prime Blueprint	Tekko Prime Blueprint	Pangolin Prime Blueprint
Lith	R1	Mesa Prime Chassis	Hydroid Prime Chassis	Forma Blueprint	Ballistica Prime Receiver	Burston Prime Barrel	Redeemer Prime Handle
Lith	S1	Paris Prime String	Hikou Prime Blueprint	Bronco Prime Blueprint	Paris Prime Grip	Forma Blueprint	Spira Prime Pouch
Lith	S10	Mesa Prime Chassis	Dethcube Prime Systems	Burston Prime Blueprint	Orthos Prime Blueprint	Baza Prime Barrel	Stradavar Prime Blueprint
Lith	S11	Fang Prime Blade	Volnus Prime Blueprint	Forma Blueprint	Pangolin Prime Blade	Orthos Prime Blueprint	Strun Prime Blueprint
Lith	S12	Corvas Prime Stock	Forma Blueprint	Bronco Prime Blueprint	Gara Prime Neuroptics	Braton Prime Blueprint	Strun Prime Blueprint
Lith	S2	Carrier Prime Systems	Akbronco Prime Blueprint	Nyx Prime Blueprint	Forma Blueprint	Kavasa Prime Band	Soma Prime Stock
Lith	S3	Carrier Prime Systems	Akbronco Prime Blueprint	Paris Prime String	Ash Prime Blueprint	Soma Prime Receiver	Spira Prime Pouch
Lith	S4	Lex Prime Blueprint	Forma Blueprint	Paris Prime Blueprint	Trinity Prime Chassis	Kavasa Prime Kubrow Collar Blueprint	Saryn Prime Blueprint
Lith	S5	Carrier Prime Carapace	Burston Prime Receiver	Fang Prime Blade	Akbronco Prime Link	Galatine Prime Handle	Spira Prime Blade
Lith	S6	Forma Blueprint	Fang Prime Blade	Dual Kamas Prime Blueprint	Kavasa Prime Band	Valkyr Prime Neuroptics	Spira Prime Pouch
Lith	S7	Mirage Prime Chassis	Lex Prime Blueprint	Galatine Prime Blade	Paris Prime Grip	Akbolto Prime Link	Sybaris Prime Barrel
Lith	S8	Gram Prime Blade	Braton Prime Barrel	Forma Blueprint	Orthos Prime Blueprint	Rubico Prime Barrel	Stradavar Prime Blueprint
Lith	S9	Sybaris Prime Stock	Forma Blueprint	Burston Prime Stock	Oberon Prime Blueprint	Tigris Prime Receiver	Silva & Aegis Prime Guard
Lith	T1	Forma Blueprint	Burston Prime Blueprint	Akbronco Prime Blueprint	Ballistica Prime Upper Limb	Valkyr Prime Neuroptics	Tigris Prime Blueprint
Lith	T2	Valkyr Prime Blueprint	Lex Prime Barrel	Forma Blueprint	Braton Prime Blueprint	Silva & Aegis Prime Blueprint	Tiberon Prime Stock
Lith	T3	Galatine Prime Blade	Braton Prime Stock	Oberon Prime Chassis	Forma Blueprint	Nekros Prime Blueprint	Tigris Prime Blueprint
Lith	T4	Zakti Prime Receiver	Tekko Prime Gauntlet	Paris Prime Lower Limb	Dethcube Prime Carapace	Karyst Prime Handle	Titania Prime Systems
Lith	T5	Forma Blueprint	Corinth Prime Blueprint	Paris Prime Lower Limb	Titania Prime Neuroptics	Zhuge Prime Blueprint	Tenora Prime Barrel
Lith	T6	Rubico Prime Barrel	Forma Blueprint	Braton Prime Blueprint	Kronen Prime Handle	Burston Prime Barrel	Tiberon Prime Stock
Lith	T7	Bronco Prime Blueprint	Gara Prime Systems	Forma Blueprint	Strun Prime Barrel	Ivara Prime Systems	Titania Prime Systems
Lith	T8	Gara Prime Systems	Akbronco Prime Blueprint	Zakti Prime Receiver	Burston Prime Barrel	Astilla Prime Stock	Titania Prime Systems
Lith	T9	Burston Prime Receiver	Fang Prime Blueprint	Forma Blueprint	Zakti Prime Barrel	Nidus Prime Blueprint	Tenora Prime Barrel
Lith	V1	Paris Prime Upper Limb	Paris Prime Lower Limb	Burston Prime Stock	Volt Prime Systems	Forma Blueprint	Fragor Prime Handle
Lith	V2	Fang Prime Blueprint	Lex Prime Barrel	Paris Prime Lower Limb	Forma Blueprint	Paris Prime Upper Limb	Vauban Prime Systems
Lith	V3	Paris Prime Lower Limb	Cernos Prime Upper Limb	Braton Prime Blueprint	Tigris Prime Barrel	Helios Prime Systems	Valkyr Prime Systems
Lith	V4	Spira Prime Blueprint	Nekros Prime Chassis	Venka Prime Blades	Tigris Prime Barrel	Helios Prime Blueprint	Vauban Prime Chassis
Lith	V5	Akbronco Prime Blueprint	Lex Prime Blueprint	Banshee Prime Neuroptics	Ballistica Prime Upper Limb	Akbolto Prime Barrel	Valkyr Prime Systems
Lith	V6	Cernos Prime Grip	Nikana Prime Blueprint	Venka Prime Blades	Saryn Prime Blueprint	Forma Blueprint	Valkyr Prime Chassis
Lith	V7	Fragor Prime Head	Carrier Prime Blueprint	Vectis Prime Barrel	Ash Prime Blueprint	Akstiletto Prime Link	Vauban Prime Neuroptics
Lith	V8	Ash Prime Chassis	Bronco Prime Blueprint	Forma Blueprint	Fragor Prime Handle	Vectis Prime Stock	Vauban Prime Systems
Lith	W1	Gram Prime Blade	Mirage Prime Neuroptics	Forma Blueprint	Akbolto Prime Link	Fang Prime Handle	Wukong Prime Blueprint
Lith	W2	Rubico Prime Receiver	Forma Blueprint	Stradavar Prime Receiver	Baza Prime Barrel	Fang Prime Handle	Wukong Prime Blueprint
Lith	Z1	Mirage Prime Neuroptics	Akbronco Prime Blueprint	Fang Prime Handle	Cernos Prime Blueprint	Forma Blueprint	Zephyr Prime Systems
Lith	Z2	Akbronco Prime Blueprint	Nami Skyla Prime Blueprint	Forma Blueprint	Silva & Aegis Prime Blueprint	Helios Prime Systems	Zephyr Prime Systems
Lith	Z3	Paris Prime Lower Limb	Magnus Prime Blueprint	Braton Prime Receiver	Nagantaka Prime Stock	Volnus Prime Head	Zakti Prime Blueprint
Meso	A1	Sybaris Prime Stock	Ballistica Prime Lower Limb	Orthos Prime Handle	Kronen Prime Handle	Forma Blueprint	Akjagara Prime Barrel
Meso	A2	Zhuge Prime Grip	Tipedo Prime Blueprint	Forma Blueprint	Equinox Prime Blueprint	Zephyr Prime Chassis	Akbolto Prime Receiver
Meso	A3	Nidus Prime Systems	Tenora Prime Blueprint	Burston Prime Stock	Forma Blueprint	Knell Prime Receiver	Astilla Prime Barrel
Meso	B1	Dakra Prime Handle	Orthos Prime Handle	Forma Blueprint	Mag Prime Chassis	Orthos Prime Blueprint	Boar Prime Stock
Meso	B2	Braton Prime Blueprint	Oberon Prime Chassis	Silva & Aegis Prime Hilt	Hydroid Prime Blueprint	Kronen Prime Handle	Banshee Prime Chassis
Meso	B3	Nova Prime Systems	Soma Prime Blueprint	Forma Blueprint	Mag Prime Chassis	Dakra Prime Blueprint	Boar Prime Stock
Meso	B4	Paris Prime Upper Limb	Chroma Prime Blueprint	Bronco Prime Receiver	Wukong Prime Chassis	Redeemer Prime Blueprint	Baza Prime Blueprint
Meso	B5	Nidus Prime Systems	Ivara Prime Neuroptics	Karyst Prime Blueprint	Guandao Prime Blueprint	Volnus Prime Head	Baza Prime Blueprint
Meso	B6	Magnus Prime Blueprint	Akbronco Prime Blueprint	Octavia Prime Neuroptics	Paris Prime Grip	Forma Blueprint	Baza Prime Stock
Meso	B7	Burston Prime Receiver	Fang Prime Blueprint	Forma Blueprint	Akjagara Prime Link	Redeemer Prime Blueprint	Ballistica Prime Blueprint
Meso	C1	Nova Prime Neuroptics	Forma Blueprint	Saryn Prime Systems	Scindo Prime Handle	Ash Prime Blueprint	Carrier Prime Cerebrum
Meso	C2	Cernos Prime Upper Limb	Bronco Prime Blueprint	Galatine Prime Blade	Valkyr Prime Neuroptics	Odonata Prime Blueprint	Carrier Prime Cerebrum
Meso	C3	Lex Prime Blueprint	Nami Skyla Prime Blueprint	Burston Prime Stock	Saryn Prime Blueprint	Helios Prime Blueprint	Cernos Prime Lower Limb
Meso	C4	Ivara Prime Neuroptics	Braton Prime Stock	Mesa Prime Chassis	Forma Blueprint	Atlas Prime Systems	Chroma Prime Systems
Meso	C5	Tipedo Prime Blueprint	Burston Prime Blueprint	Stradavar Prime Stock	Chroma Prime Chassis	Forma Blueprint	Corinth Prime Barrel
Meso	C6	Burston Prime Blueprint	Lex Prime Barrel	Baza Prime Receiver	Forma Blueprint	Nezha Prime Blueprint	Corinth Prime Stock
Meso	D1	Orthos Prime Handle	Lex Prime Blueprint	Forma Blueprint	Forma Blueprint	Orthos Prime Blade	Dual Kamas Prime Blade
Meso	D2	Paris Prime Lower Limb	Lex Prime Receiver	Forma Blueprint	Valkyr Prime Neuroptics	Helios Prime Systems	Destreza Prime Blade
Meso	D3	Akbolto Prime Blueprint	Fang Prime Handle	Braton Prime Stock	Nami Skyla Prime Handle	Kronen Prime Handle	Destreza Prime Blade
Meso	D4	Forma Blueprint	Orthos Prime Handle	Akjagara Prime Blueprint	Lex Prime Blueprint	Chroma Prime Chassis	Dethcube Prime Cerebrum
Meso	D5	Trinity Prime Neuroptics	Soma Prime Barrel	Forma Blueprint	Nova Prime Blueprint	Vasto Prime Blueprint	Dual Kamas Prime Blade
Meso	D6	Ivara Prime Neuroptics	Octavia Prime Systems	Paris Prime Blueprint	Aksomati Prime Barrel	Nezha Prime Blueprint	Dethcube Prime Cerebrum
Meso	E1	Bo Prime Ornament	Frost Prime Chassis	Latron Prime Barrel	Wyrm Prime Systems	Forma Blueprint	Ember Prime Blueprint
Meso	E2	Bronco Prime Blueprint	Destreza Prime Handle	Pyrana Prime Barrel	Rubico Prime Stock	Akbolto Prime Link	Equinox Prime Systems
Meso	E3	Destreza Prime Handle	Bronco Prime Receiver	Forma Blueprint	Atlas Prime Chassis	Stradavar Prime Barrel	Equinox Prime Systems
Meso	E4	Paris Prime Blueprint	Baza Prime Receiver	Forma Blueprint	Titania Prime Neuroptics	Tekko Prime Blueprint	Equinox Prime Systems
Meso	E5	Mirage Prime Neuroptics	Forma Blueprint	Helios Prime Carapace	Banshee Prime Blueprint	Helios Prime Blueprint	Euphona Prime Receiver
Meso	F1	Bronco Prime Receiver	Paris Prime Lower Limb	Saryn Prime Systems	Nekros Prime Neuroptics	Dual Kamas Prime Handle	Fragor Prime Blueprint
Meso	F2	Latron Prime Stock	Ember Prime Chassis	Sicarus Prime Barrel	Reaper Prime Blade	Forma Blueprint	Frost Prime Blueprint
Meso	F3	Ember Prime Neuroptics	Reaper Prime Handle	Loki Prime Blueprint	Forma Blueprint	Glaive Prime Disc	Frost Prime Blueprint
Meso	G1	Venka Prime Blades	Braton Prime Barrel	Forma Blueprint	Silva & Aegis Prime Blade	Ballistica Prime String	Galatine Prime Blueprint
Meso	G2	Forma Blueprint	Equinox Prime Chassis	Orthos Prime Handle	Burston Prime Barrel	Atlas Prime Systems	Guandao Prime Handle
Meso	G3	Harrow Prime Chassis	Strun Prime Receiver	Forma Blueprint	Karyst Prime Handle	Panthera Prime Stock	Gara Prime Blueprint
Meso	G4	Corvas Prime Receiver	Octavia Prime Systems	Bronco Prime Receiver	Scourge Prime Handle	Forma Blueprint	Guandao Prime Handle
Meso	H1	Paris Prime Blueprint	Mirage Prime Neuroptics	Hydroid Prime Chassis	Oberon Prime Blueprint	Fragor Prime Blueprint	Helios Prime Cerebrum
Meso	I1	Corinth Prime Blueprint	Paris Prime Upper Limb	Titania Prime Chassis	Orthos Prime Blade	Atlas Prime Systems	Inaros Prime Neuroptics
Meso	I2	Karyst Prime Blueprint	Burston Prime Blueprint	Forma Blueprint	Guandao Prime Blueprint	Astilla Prime Blueprint	Inaros Prime Neuroptics
Meso	K1	Nekros Prime Chassis	Orthos Prime Handle	Cernos Prime Upper Limb	Akstiletto Prime Barrel	Tigris Prime Receiver	Kogake Prime Gauntlet
Meso	K2	Mirage Prime Chassis	Paris Prime String	Orthos Prime Handle	Wukong Prime Systems	Chroma Prime Chassis	Kronen Prime Blade
Meso	K3	Ninkondi Prime Blueprint	Orthos Prime Handle	Braton Prime Stock	Forma Blueprint	Wukong Prime Chassis	Karyst Prime Blade
Meso	L1	Tipedo Prime Blueprint	Burston Prime Receiver	Ninkondi Prime Blueprint	Chroma Prime Chassis	Dethcube Prime Carapace	Limbo Prime Chassis
Meso	M1	Dakra Prime Handle	Boltor Prime Barrel	Ankyros Prime Gauntlet	Boar Prime Barrel	Rhino Prime Chassis	Mag Prime Blueprint
Meso	M2	Fang Prime Blade	Paris Prime String	Kogake Prime Boot	Akjagara Prime Link	Silva & Aegis Prime Blade	Mirage Prime Blueprint
Meso	M3	Ballistica Prime Lower Limb	Gram Prime Blade	Paris Prime String	Equinox Prime Neuroptics	Kogake Prime Blueprint	Mirage Prime Blueprint
Meso	N1	Fang Prime Handle	Braton Prime Stock	Fang Prime Blueprint	Forma Blueprint	Dual Kamas Prime Handle	Nyx Prime Neuroptics
Meso	N10	Ivara Prime Neuroptics	Tipedo Prime Blueprint	Pangolin Prime Handle	Bronco Prime Barrel	Panthera Prime Stock	Ninkondi Prime Handle
Meso	N11	Cernos Prime Upper Limb	Scindo Prime Handle	Lex Prime Barrel	Valkyr Prime Neuroptics	Forma Blueprint	Nyx Prime Neuroptics
Meso	N12	Paris Prime String	Zakti Prime Receiver	Knell Prime Blueprint	Inaros Prime Blueprint	Nidus Prime Blueprint	Nagantaka Prime Blueprint
Meso	N2	Hikou Prime Blueprint	Bronco Prime Blueprint	Fang Prime Handle	Ash Prime Neuroptics	Forma Blueprint	Vauban Prime Neuroptics
Meso	N3	Burston Prime Stock	Bronco Prime Blueprint	Braton Prime Barrel	Euphona Prime Barrel	Carrier Prime Cerebrum	Nekros Prime Blueprint
Meso	N4	Paris Prime Upper Limb	Saryn Prime Systems	Orthos Prime Handle	Forma Blueprint	Oberon Prime Blueprint	Nikana Prime Blade
Meso	N5	Braton Prime Stock	Forma Blueprint	Lex Prime Receiver	Hydroid Prime Blueprint	Tigris Prime Receiver	Nekros Prime Systems
Meso	N6	Forma Blueprint	Boltor Prime Barrel	Hikou Prime Pouch	Scindo Prime Handle	Rhino Prime Chassis	Nyx Prime Neuroptics
Meso	N7	Limbo Prime Systems	Pyrana Prime Barrel	Kronen Prime Blueprint	Gram Prime Blueprint	Forma Blueprint	Ninkondi Prime Handle
Meso	N8	Valkyr Prime Blueprint	Forma Blueprint	Cernos Prime Upper Limb	Valkyr Prime Neuroptics	Cernos Prime String	Nikana Prime Hilt
Meso	N9	Tekko Prime Gauntlet	Forma Blueprint	Paris Prime String	Ivara Prime Blueprint	Akjagara Prime Link	Ninkondi Prime Handle
Meso	O1	Forma Blueprint	Akbronco Prime Blueprint	Paris Prime Lower Limb	Akstiletto Prime Link	Cernos Prime String	Oberon Prime Neuroptics
Meso	O2	Paris Prime Lower Limb	Cernos Prime Upper Limb	Tiberon Prime Receiver	Akbronco Prime Link	Mirage Prime Systems	Oberon Prime Neuroptics
Meso	O3	Forma Blueprint	Loki Prime Neuroptics	Odonata Prime Systems	Volt Prime Chassis	Wyrm Prime Systems	Odonata Prime Wings
Meso	O4	Silva & Aegis Prime Hilt	Forma Blueprint	Fang Prime Blueprint	Nekros Prime Neuroptics	Galatine Prime Handle	Oberon Prime Neuroptics
Meso	P1	Oberon Prime Chassis	Chroma Prime Blueprint	Bronco Prime Receiver	Silva & Aegis Prime Blueprint	Ballistica Prime Receiver	Pyrana Prime Blueprint
Meso	P2	Braton Prime Receiver	Forma Blueprint	Baza Prime Receiver	Zhuge Prime Blueprint	Ivara Prime Systems	Panthera Prime Receiver
Meso	P3	Karyst Prime Blueprint	Lex Prime Blueprint	Zhuge Prime Grip	Mesa Prime Blueprint	Forma Blueprint	Pangolin Prime Blueprint
Meso	P4	Braton Prime Barrel	Forma Blueprint	Burston Prime Blueprint	Corinth Prime Receiver	Titania Prime Neuroptics	Panthera Prime Barrel
Meso	P5	Orthos Prime Handle	Zakti Prime Receiver	Tenora Prime Blueprint	Gara Prime Neuroptics	Forma Blueprint	Panthera Prime Receiver
Meso	P6	Destreza Prime Handle	Braton Prime Blueprint	Forma Blueprint	Kavasa Prime Kubrow Collar Blueprint	Trinity Prime Blueprint	Pyrana Prime Blueprint
Meso	P7	Nezha Prime Systems	Forma Blueprint	Burston Prime Receiver	Garuda Prime Chassis	Guandao Prime Blueprint	Panthera Prime Barrel
Meso	R1	Tiberon Prime Receiver	Paris Prime Upper Limb	Braton Prime Blueprint	Akbronco Prime Link	Ballistica Prime String	Rubico Prime Blueprint
Meso	R2	Aksomati Prime Blueprint	Fang Prime Blueprint	Forma Blueprint	Mesa Prime Blueprint	Destreza Prime Blueprint	Rubico Prime Blueprint
Meso	R3	Pangolin Prime Handle	Akjagara Prime Blueprint	Zhuge Prime Grip	Dethcube Prime Carapace	Bronco Prime Barrel	Rubico Prime Blueprint
Meso	R4	Gram Prime Blade	Zephyr Prime Chassis	Braton Prime Barrel	Chroma Prime Systems	Forma Blueprint	Rubico Prime Blueprint
Meso	S1	Nova Prime Systems	Paris Prime Blueprint	Tigris Prime Stock	Paris Prime Upper Limb	Odonata Prime Blueprint	Soma Prime Stock
Meso	S10	Corinth Prime Blueprint	Paris Prime String	Forma Blueprint	Aksomati Prime Barrel	Titania Prime Blueprint	Strun Prime Blueprint
Meso	S11	Lex Prime Barrel	Pangolin Prime Handle	Paris Prime Blueprint	Octavia Prime Chassis	Strun Prime Stock	Scourge Prime Barrel
Meso	S2	Paris Prime String	Bronco Prime Blueprint	Galatine Prime Blade	Paris Prime Grip	Forma Blueprint	Saryn Prime Chassis
Meso	S3	Valkyr Prime Blueprint	Nekros Prime Chassis	Akbronco Prime Blueprint	Ash Prime Blueprint	Forma Blueprint	Spira Prime Pouch
Meso	S4	Fang Prime Blueprint	Banshee Prime Neuroptics	Galatine Prime Blade	Fang Prime Handle	Trinity Prime Blueprint	Saryn Prime Blueprint
Meso	S5	Burston Prime Stock	Braton Prime Barrel	Lex Prime Barrel	Forma Blueprint	Saryn Prime Neuroptics	Sybaris Prime Barrel
Meso	S6	Galatine Prime Blade	Helios Prime Carapace	Valkyr Prime Blueprint	Cernos Prime String	Tigris Prime Receiver	Spira Prime Blade
Meso	S7	Forma Blueprint	Cernos Prime Upper Limb	Venka Prime Blades	Paris Prime Grip	Nami Skyla Prime Handle	Sybaris Prime Barrel
Meso	S8	Gram Prime Blade	Forma Blueprint	Bronco Prime Receiver	Ballistica Prime Upper Limb	Burston Prime Barrel	Sybaris Prime Barrel
Meso	S9	Spira Prime Blueprint	Braton Prime Blueprint	Lex Prime Barrel	Saryn Prime Neuroptics	Forma Blueprint	Spira Prime Pouch
Meso	T1	Fang Prime Blueprint	Braton Prime Stock	Burston Prime Receiver	Paris Prime Upper Limb	Forma Blueprint	Tiberon Prime Barrel
Meso	T2	Lex Prime Barrel	Paris Prime Lower Limb	Forma Blueprint	Tigris Prime Receiver	Banshee Prime Blueprint	Tiberon Prime Stock
Meso	T3	Lex Prime Barrel	Forma Blueprint	Paris Prime Lower Limb	Chroma Prime Chassis	Limbo Prime Blueprint	Tiberon Prime Stock
Meso	T4	Zhuge Prime Grip	Ninkondi Prime Blueprint	Forma Blueprint	Wukong Prime Systems	Paris Prime Grip	Tenora Prime Receiver
Meso	T5	Paris Prime Upper Limb	Tekko Prime Gauntlet	Forma Blueprint	Panthera Prime Stock	Astilla Prime Stock	Tenora Prime Barrel
Meso	V1	Burston Prime Blueprint	Spira Prime Blueprint	Carrier Prime Blueprint	Braton Prime Blueprint	Forma Blueprint	Vectis Prime Receiver
Meso	V2	Vasto Prime Receiver	Paris Prime Blueprint	Ash Prime Chassis	Forma Blueprint	Volt Prime Chassis	Nikana Prime Blade
Meso	V3	Carrier Prime Blueprint	Forma Blueprint	Spira Prime Blueprint	Kavasa Prime Band	Volt Prime Chassis	Valkyr Prime Systems
Meso	V4	Carrier Prime Blueprint	Lex Prime Barrel	Forma Blueprint	Valkyr Prime Neuroptics	Ash Prime Neuroptics	Vauban Prime Chassis
Meso	V5	Bronco Prime Blueprint	Cernos Prime Grip	Spira Prime Blueprint	Euphona Prime Barrel	Silva & Aegis Prime Blueprint	Venka Prime Gauntlet
Meso	V6	Akstiletto Prime Barrel	Forma Blueprint	Braton Prime Barrel	Vauban Prime Blueprint	Carrier Prime Cerebrum	Vectis Prime Receiver
Meso	W1	Tekko Prime Gauntlet	Tipedo Prime Blueprint	Zhuge Prime String	Fang Prime Handle	Zephyr Prime Chassis	Wukong Prime Blueprint
Meso	Z1	Burston Prime Receiver	Forma Blueprint	Fang Prime Blueprint	Helios Prime Blueprint	Limbo Prime Blueprint	Zephyr Prime Blueprint
Meso	Z2	Sybaris Prime Blueprint	Redeemer Prime Blade	Braton Prime Blueprint	Hydroid Prime Blueprint	Rubico Prime Barrel	Zephyr Prime Systems
Meso	Z3	Chroma Prime Blueprint	Forma Blueprint	Stradavar Prime Receiver	Akjagara Prime Link	Rubico Prime Barrel	Zephyr Prime Systems
Meso	Z4	Volnus Prime Blueprint	Titania Prime Chassis	Forma Blueprint	Tenora Prime Stock	Bronco Prime Barrel	Zakti Prime Blueprint
Neo	A1	Carrier Prime Systems	Braton Prime Barrel	Forma Blueprint	Cernos Prime String	Vectis Prime Blueprint	Akstiletto Prime Blueprint
Neo	A2	Pyrana Prime Barrel	Kronen Prime Blueprint	Limbo Prime Systems	Zephyr Prime Chassis	Forma Blueprint	Akbolto Prime Receiver
Neo	A3	Zhuge Prime Grip	Lex Prime Barrel	Mesa Prime Chassis	Atlas Prime Systems	Equinox Prime Neuroptics	Akjagara Prime Barrel
Neo	A4	Carrier Prime Carapace	Vauban Prime Chassis	Forma Blueprint	Ash Prime Neuroptics	Vectis Prime Blueprint	Akstiletto Prime Blueprint
Neo	A5	Gara Prime Systems	Paris Prime String	Forma Blueprint	Octavia Prime Chassis	Karyst Prime Handle	Atlas Prime Neuroptics
Neo	A6	Nami Skyla Prime Blueprint	Burston Prime Blueprint	Forma Blueprint	Hydroid Prime Blueprint	Ballistica Prime String	Akjagara Prime Barrel
Neo	B1	Paris Prime String	Trinity Prime Systems	Bronco Prime Receiver	Vectis Prime Stock	Burston Prime Barrel	Banshee Prime Chassis
Neo	B2	Tigris Prime Stock	Braton Prime Stock	Fang Prime Blueprint	Venka Prime Blueprint	Forma Blueprint	Banshee Prime Chassis
Neo	B3	Boar Prime Blueprint	Forma Blueprint	Rhino Prime Systems	Mag Prime Chassis	Dakra Prime Blade	Boltor Prime Blueprint
Neo	B4	Hydroid Prime Chassis	Burston Prime Stock	Forma Blueprint	Kronen Prime Handle	Tigris Prime Barrel	Banshee Prime Systems
Neo	B5	Braton Prime Barrel	Ballistica Prime Lower Limb	Forma Blueprint	Destreza Prime Blueprint	Oberon Prime Blueprint	Banshee Prime Systems
Neo	B6	Euphona Prime Blueprint	Mirage Prime Neuroptics	Forma Blueprint	Kogake Prime Blueprint	Akbolto Prime Link	Banshee Prime Chassis
Neo	B7	Tenora Prime Blueprint	Braton Prime Blueprint	Aksomati Prime Receiver	Tekko Prime Blueprint	Dethcube Prime Carapace	Baza Prime Stock
Neo	C1	Limbo Prime Systems	Kronen Prime Blueprint	Mesa Prime Chassis	Redeemer Prime Blueprint	Pyrana Prime Receiver	Chroma Prime Systems
Neo	C2	Braton Prime Stock	Forma Blueprint	Nidus Prime Systems	Orthos Prime Blueprint	Magnus Prime Receiver	Corvas Prime Barrel
Neo	D1	Mag Prime Systems	Vasto Prime Barrel	Boar Prime Blueprint	Trinity Prime Neuroptics	Forma Blueprint	Dakra Prime Blade
Neo	D2	Nezha Prime Systems	Braton Prime Stock	Forma Blueprint	Titania Prime Blueprint	Equinox Prime Neuroptics	Dethcube Prime Cerebrum
Neo	D3	Paris Prime Lower Limb	Akbronco Prime Blueprint	Nezha Prime Systems	Forma Blueprint	Zakti Prime Barrel	Dethcube Prime Blueprint
Neo	D4	Trinity Prime Systems	Braton Prime Barrel	Forma Blueprint	Dual Kamas Prime Handle	Limbo Prime Blueprint	Destreza Prime Blade
Neo	E1	Frost Prime Neuroptics	Loki Prime Neuroptics	Wyrm Prime Blueprint	Reaper Prime Blade	Forma Blueprint	Ember Prime Blueprint
Neo	E2	Burston Prime Receiver	Dethcube Prime Systems	Corinth Prime Blueprint	Zakti Prime Barrel	Atlas Prime Chassis	Equinox Prime Systems
Neo	F1	Sicarus Prime Barrel	Ember Prime Chassis	Sicarus Prime Blueprint	Bo Prime Handle	Forma Blueprint	Frost Prime Blueprint
Neo	G1	Mirage Prime Neuroptics	Forma Blueprint	Kogake Prime Boot	Paris Prime Grip	Hydroid Prime Neuroptics	Gram Prime Handle
Neo	G2	Forma Blueprint	Dethcube Prime Systems	Redeemer Prime Blade	Pyrana Prime Receiver	Zhuge Prime Blueprint	Gram Prime Handle
Neo	G3	Burston Prime Receiver	Forma Blueprint	Fang Prime Blade	Sybaris Prime Receiver	Silva & Aegis Prime Blueprint	Galatine Prime Blueprint
Neo	H1	Orthos Prime Handle	Fragor Prime Head	Burston Prime Receiver	Banshee Prime Blueprint	Tigris Prime Barrel	Hydroid Prime Systems
Neo	H2	Euphona Prime Blueprint	Burston Prime Stock	Fang Prime Blueprint	Rubico Prime Barrel	Ballistica Prime Receiver	Hydroid Prime Systems
Neo	H3	Ballistica Prime Lower Limb	Fang Prime Handle	Forma Blueprint	Mesa Prime Systems	Nami Skyla Prime Handle	Hydroid Prime Systems
Neo	I1	Zhuge Prime String	Fang Prime Blade	Wukong Prime Neuroptics	Akjagara Prime Receiver	Limbo Prime Blueprint	Ivara Prime Chassis
Neo	I2	Burston Prime Receiver	Dethcube Prime Systems	Forma Blueprint	Stradavar Prime Barrel	Wukong Prime Systems	Ivara Prime Chassis
Neo	K1	Valkyr Prime Blueprint	Silva & Aegis Prime Hilt	Euphona Prime Blueprint	Zephyr Prime Chassis	Helios Prime Blueprint	Kogake Prime Gauntlet
Neo	K2	Chroma Prime Blueprint	Braton Prime Barrel	Banshee Prime Neuroptics	Mirage Prime Systems	Akbolto Prime Link	Kogake Prime Gauntlet
Neo	K3	Rubico Prime Receiver	Forma Blueprint	Burston Prime Blueprint	Tiberon Prime Barrel	Braton Prime Receiver	Kronen Prime Blade
Neo	K4	Inaros Prime Systems	Panthera Prime Blueprint	Forma Blueprint	Paris Prime Grip	Braton Prime Stock	Knell Prime Barrel
Neo	L1	Mirage Prime Chassis	Euphona Prime Blueprint	Kronen Prime Blueprint	Silva & Aegis Prime Blade	Ballistica Prime Receiver	Limbo Prime Chassis
Neo	M1	Paris Prime String	Akbolto Prime Blueprint	Bronco Prime Blueprint	Helios Prime Blueprint	Euphona Prime Barrel	Mirage Prime Blueprint
Neo	M2	Akbronco Prime Blueprint	Burston Prime Stock	Forma Blueprint	Limbo Prime Blueprint	Bronco Prime Barrel	Mesa Prime Systems
Neo	M3	Titania Prime Chassis	Bronco Prime Receiver	Ivara Prime Neuroptics	Atlas Prime Chassis	Forma Blueprint	Mesa Prime Systems
Neo	M4	Orthos Prime Handle	Scourge Prime Blade	Strun Prime Receiver	Nagantaka Prime Receiver	Forma Blueprint	Magnus Prime Barrel
Neo	N1	Hikou Prime Stars	Vectis Prime Barrel	Forma Blueprint	Soma Prime Receiver	Kavasa Prime Kubrow Collar Blueprint	Nyx Prime Chassis
Neo	N10	Forma Blueprint	Redeemer Prime Blade	Zephyr Prime Neuroptics	Ballistica Prime Upper Limb	Tipedo Prime Ornament	Nami Skyla Prime Blade
