"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw"
"Axi P1 Relic (Intact) ","Forma Blueprint (25.33%)","Equinox Prime Chassis (25.33%)","Akjagara Prime Blueprint (25.33%)","Ninkondi Prime Chain (11.0%)","Kogake Prime Blueprint (11.0%)","Pyrana Prime Blueprint (2.0%)","Axi","P1","Intact","Forma Blueprint","Equinox Prime Chassis","Akjagara Prime Blueprint","Ninkondi Prime Chain","Kogake Prime Blueprint","Pyrana Prime Blueprint"
"Axi P2 Relic (Intact) ","Dethcube Prime Systems (25.33%)","Bronco Prime Blueprint (25.33%)","Tiberon Prime Receiver (25.33%)","Destreza Prime Blueprint (11.0%)","Rubico Prime Stock (11.0%)","Pyrana Prime Blueprint (2.0%)","Axi","P2","Intact","Dethcube Prime Systems","Bronco Prime Blueprint","Tiberon Prime Receiver","Destreza Prime Blueprint","Rubico Prime Stock","Pyrana Prime Blueprint"
"Axi P3 Relic (Intact) ","Forma Blueprint (25.33%)","Bronco Prime Blueprint (25.33%)","Zhuge Prime Grip (25.33%)","Wukong Prime Systems (11.0%)","Burston Prime Barrel (11.0%)","Pyrana Prime Blueprint (2.0%)","Axi","P3","Intact","Forma Blueprint","Bronco Prime Blueprint","Zhuge Prime Grip","Wukong Prime Systems","Burston Prime Barrel","Pyrana Prime Blueprint"
"Axi R1 Relic (Intact) ","Boltor Prime Stock (25.33%)","Mag Prime Systems (25.33%)","Boar Prime Receiver (25.33%)","Dakra Prime Blueprint (11.0%)","Ankyros Prime Blade (11.0%)","Rhino Prime Blueprint (2.0%)","Axi","R1","Intact","Boltor Prime Stock","Mag Prime Systems","Boar Prime Receiver","Dakra Prime Blueprint","Ankyros Prime Blade","Rhino Prime Blueprint"
"Axi R2 Relic (Intact) ","Lex Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Destreza Prime Handle (25.33%)","Mirage Prime Systems (11.0%)","Chroma Prime Chassis (11.0%)","Redeemer Prime Handle (2.0%)","Axi","R2","Intact","Lex Prime Receiver","Forma Blueprint","Destreza Prime Handle","Mirage Prime Systems","Chroma Prime Chassis","Redeemer Prime Handle"
"Axi R3 Relic (Intact) ","Stradavar Prime Stock (25.33%)","Fang Prime Blade (25.33%)","Zephyr Prime Neuroptics (25.33%)","Wukong Prime Systems (11.0%)","Akjagara Prime Link (11.0%)","Redeemer Prime Handle (2.0%)","Axi","R3","Intact","Stradavar Prime Stock","Fang Prime Blade","Zephyr Prime Neuroptics","Wukong Prime Systems","Akjagara Prime Link","Redeemer Prime Handle"
"Axi S1 Relic (Intact) ","Forma Blueprint (25.33%)","Bronco Prime Receiver (25.33%)","Bronco Prime Blueprint (25.33%)","Akbronco Prime Link (11.0%)","Trinity Prime Blueprint (11.0%)","Scindo Prime Blade (2.0%)","Axi","S1","Intact","Forma Blueprint","Bronco Prime Receiver","Bronco Prime Blueprint","Akbronco Prime Link","Trinity Prime Blueprint","Scindo Prime Blade"
"Axi S2 Relic (Intact) ","Wyrm Prime Blueprint (25.33%)","Loki Prime Blueprint (25.33%)","Latron Prime Receiver (25.33%)","Forma Blueprint (11.0%)","Ember Prime Systems (11.0%)","Sicarus Prime Receiver (2.0%)","Axi","S2","Intact","Wyrm Prime Blueprint","Loki Prime Blueprint","Latron Prime Receiver","Forma Blueprint","Ember Prime Systems","Sicarus Prime Receiver"
"Axi S3 Relic (Intact) ","Rhino Prime Systems (25.33%)","Boltor Prime Stock (25.33%)","Hikou Prime Stars (25.33%)","Nyx Prime Systems (11.0%)","Ankyros Prime Blade (11.0%)","Scindo Prime Blade (2.0%)","Axi","S3","Intact","Rhino Prime Systems","Boltor Prime Stock","Hikou Prime Stars","Nyx Prime Systems","Ankyros Prime Blade","Scindo Prime Blade"
"Axi S4 Relic (Intact) ","Mag Prime Systems (25.33%)","Boar Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Nova Prime Blueprint (11.0%)","Dakra Prime Blade (11.0%)","Soma Prime Stock (2.0%)","Axi","S4","Intact","Mag Prime Systems","Boar Prime Receiver","Forma Blueprint","Nova Prime Blueprint","Dakra Prime Blade","Soma Prime Stock"
"Axi S5 Relic (Intact) ","Saryn Prime Systems (25.33%)","Venka Prime Blades (25.33%)","Cernos Prime Grip (25.33%)","Nikana Prime Blade (11.0%)","Forma Blueprint (11.0%)","Spira Prime Pouch (2.0%)","Axi","S5","Intact","Saryn Prime Systems","Venka Prime Blades","Cernos Prime Grip","Nikana Prime Blade","Forma Blueprint","Spira Prime Pouch"
"Axi S6 Relic (Intact) ","Nekros Prime Chassis (25.33%)","Burston Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Tigris Prime Barrel (11.0%)","Silva & Aegis Prime Blade (11.0%)","Sybaris Prime Barrel (2.0%)","Axi","S6","Intact","Nekros Prime Chassis","Burston Prime Blueprint","Forma Blueprint","Tigris Prime Barrel","Silva & Aegis Prime Blade","Sybaris Prime Barrel"
"Axi S7 Relic (Intact) ","Forma Blueprint (25.33%)","Nova Prime Systems (25.33%)","Vasto Prime Barrel (25.33%)","Trinity Prime Chassis (11.0%)","Kavasa Prime Kubrow Collar Blueprint (11.0%)","Soma Prime Stock (2.0%)","Axi","S7","Intact","Forma Blueprint","Nova Prime Systems","Vasto Prime Barrel","Trinity Prime Chassis","Kavasa Prime Kubrow Collar Blueprint","Soma Prime Stock"
"Axi S8 Relic (Intact) ","Cernos Prime Grip (25.33%)","Hikou Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Venka Prime Blueprint (11.0%)","Nyx Prime Chassis (11.0%)","Scindo Prime Blade (2.0%)","Axi","S8","Intact","Cernos Prime Grip","Hikou Prime Blueprint","Forma Blueprint","Venka Prime Blueprint","Nyx Prime Chassis","Scindo Prime Blade"
"Axi T1 Relic (Intact) ","Vectis Prime Barrel (25.33%)","Odonata Prime Harness (25.33%)","Saryn Prime Systems (25.33%)","Akstiletto Prime Receiver (11.0%)","Burston Prime Barrel (11.0%)","Tigris Prime Blueprint (2.0%)","Axi","T1","Intact","Vectis Prime Barrel","Odonata Prime Harness","Saryn Prime Systems","Akstiletto Prime Receiver","Burston Prime Barrel","Tigris Prime Blueprint"
"Axi T2 Relic (Intact) ","Kogake Prime Boot (25.33%)","Stradavar Prime Stock (25.33%)","Mirage Prime Neuroptics (25.33%)","Forma Blueprint (11.0%)","Burston Prime Barrel (11.0%)","Tipedo Prime Handle (2.0%)","Axi","T2","Intact","Kogake Prime Boot","Stradavar Prime Stock","Mirage Prime Neuroptics","Forma Blueprint","Burston Prime Barrel","Tipedo Prime Handle"
"Axi T3 Relic (Intact) ","Limbo Prime Systems (25.33%)","Paris Prime Lower Limb (25.33%)","Burston Prime Blueprint (25.33%)","Equinox Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Tipedo Prime Handle (2.0%)","Axi","T3","Intact","Limbo Prime Systems","Paris Prime Lower Limb","Burston Prime Blueprint","Equinox Prime Blueprint","Forma Blueprint","Tipedo Prime Handle"
"Axi T4 Relic (Intact) ","Corinth Prime Blueprint (25.33%)","Wukong Prime Neuroptics (25.33%)","Braton Prime Blueprint (25.33%)","Zhuge Prime Blueprint (11.0%)","Equinox Prime Blueprint (11.0%)","Tipedo Prime Handle (2.0%)","Axi","T4","Intact","Corinth Prime Blueprint","Wukong Prime Neuroptics","Braton Prime Blueprint","Zhuge Prime Blueprint","Equinox Prime Blueprint","Tipedo Prime Handle"
"Axi T5 Relic (Intact) ","Zhuge Prime String (25.33%)","Chroma Prime Blueprint (25.33%)","Rubico Prime Receiver (25.33%)","Gram Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Titania Prime Systems (2.0%)","Axi","T5","Intact","Zhuge Prime String","Chroma Prime Blueprint","Rubico Prime Receiver","Gram Prime Blueprint","Forma Blueprint","Titania Prime Systems"
"Axi T6 Relic (Intact) ","Forma Blueprint (25.33%)","Paris Prime String (25.33%)","Zakti Prime Receiver (25.33%)","Tenora Prime Stock (11.0%)","Wukong Prime Chassis (11.0%)","Tekko Prime Blade (2.0%)","Axi","T6","Intact","Forma Blueprint","Paris Prime String","Zakti Prime Receiver","Tenora Prime Stock","Wukong Prime Chassis","Tekko Prime Blade"
"Axi T7 Relic (Intact) ","Inaros Prime Systems (25.33%)","Bronco Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Pangolin Prime Blade (11.0%)","Corinth Prime Receiver (11.0%)","Tekko Prime Blade (2.0%)","Axi","T7","Intact","Inaros Prime Systems","Bronco Prime Receiver","Forma Blueprint","Pangolin Prime Blade","Corinth Prime Receiver","Tekko Prime Blade"
"Axi V1 Relic (Intact) ","Odonata Prime Systems (25.33%)","Carrier Prime Systems (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Volt Prime Neuroptics (11.0%)","Forma Blueprint (11.0%)","Vauban Prime Chassis (2.0%)","Axi","V1","Intact","Odonata Prime Systems","Carrier Prime Systems","Dual Kamas Prime Blueprint","Volt Prime Neuroptics","Forma Blueprint","Vauban Prime Chassis"
"Axi V10 Relic (Intact) ","Hikou Prime Stars (25.33%)","Cernos Prime String (25.33%)","Lex Prime Receiver (25.33%)","Forma Blueprint (11.0%)","Valkyr Prime Systems (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V10","Intact","Hikou Prime Stars","Cernos Prime String","Lex Prime Receiver","Forma Blueprint","Valkyr Prime Systems","Venka Prime Gauntlet"
"Axi V2 Relic (Intact) ","Hikou Prime Pouch (25.33%)","Trinity Prime Systems (25.33%)","Mag Prime Neuroptics (25.33%)","Braton Prime Receiver (11.0%)","Boar Prime Barrel (11.0%)","Vectis Prime Stock (2.0%)","Axi","V2","Intact","Hikou Prime Pouch","Trinity Prime Systems","Mag Prime Neuroptics","Braton Prime Receiver","Boar Prime Barrel","Vectis Prime Stock"
"Axi V3 Relic (Intact) ","Trinity Prime Neuroptics (25.33%)","Vasto Prime Barrel (25.33%)","Trinity Prime Systems (25.33%)","Orthos Prime Blueprint (11.0%)","Braton Prime Receiver (11.0%)","Vectis Prime Stock (2.0%)","Axi","V3","Intact","Trinity Prime Neuroptics","Vasto Prime Barrel","Trinity Prime Systems","Orthos Prime Blueprint","Braton Prime Receiver","Vectis Prime Stock"
"Axi V4 Relic (Intact) ","Paris Prime Blueprint (25.33%)","Trinity Prime Systems (25.33%)","Odonata Prime Harness (25.33%)","Cernos Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Vectis Prime Stock (2.0%)","Axi","V4","Intact","Paris Prime Blueprint","Trinity Prime Systems","Odonata Prime Harness","Cernos Prime Blueprint","Forma Blueprint","Vectis Prime Stock"
"Axi V5 Relic (Intact) ","Venka Prime Blades (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Braton Prime Receiver (11.0%)","Tigris Prime Receiver (11.0%)","Valkyr Prime Chassis (2.0%)","Axi","V5","Intact","Venka Prime Blades","Dual Kamas Prime Blueprint","Forma Blueprint","Braton Prime Receiver","Tigris Prime Receiver","Valkyr Prime Chassis"
"Axi V6 Relic (Intact) ","Braton Prime Blueprint (25.33%)","Ballistica Prime Lower Limb (25.33%)","Forma Blueprint (25.33%)","Fang Prime Handle (11.0%)","Galatine Prime Handle (11.0%)","Valkyr Prime Chassis (2.0%)","Axi","V6","Intact","Braton Prime Blueprint","Ballistica Prime Lower Limb","Forma Blueprint","Fang Prime Handle","Galatine Prime Handle","Valkyr Prime Chassis"
"Axi V7 Relic (Intact) ","Nami Skyla Prime Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Valkyr Prime Blueprint (25.33%)","Kogake Prime Blueprint (11.0%)","Silva & Aegis Prime Blueprint (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V7","Intact","Nami Skyla Prime Blueprint","Lex Prime Barrel","Valkyr Prime Blueprint","Kogake Prime Blueprint","Silva & Aegis Prime Blueprint","Venka Prime Gauntlet"
"Axi V8 Relic (Intact) ","Odonata Prime Systems (25.33%)","Forma Blueprint (25.33%)","Lex Prime Receiver (25.33%)","Volt Prime Chassis (11.0%)","Odonata Prime Blueprint (11.0%)","Volt Prime Neuroptics (2.0%)","Axi","V8","Intact","Odonata Prime Systems","Forma Blueprint","Lex Prime Receiver","Volt Prime Chassis","Odonata Prime Blueprint","Volt Prime Neuroptics"
"Axi V9 Relic (Intact) ","Valkyr Prime Blueprint (25.33%)","Saryn Prime Neuroptics (25.33%)","Forma Blueprint (25.33%)","Valkyr Prime Systems (11.0%)","Spira Prime Blade (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V9","Intact","Valkyr Prime Blueprint","Saryn Prime Neuroptics","Forma Blueprint","Valkyr Prime Systems","Spira Prime Blade","Venka Prime Gauntlet"
"Axi W1 Relic (Intact) ","Aksomati Prime Receiver (25.33%)","Stradavar Prime Receiver (25.33%)","Bronco Prime Receiver (25.33%)","Inaros Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Wukong Prime Blueprint (2.0%)","Axi","W1","Intact","Aksomati Prime Receiver","Stradavar Prime Receiver","Bronco Prime Receiver","Inaros Prime Blueprint","Forma Blueprint","Wukong Prime Blueprint"
"Axi W2 Relic (Intact) ","Baza Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Tekko Prime Gauntlet (25.33%)","Bronco Prime Barrel (11.0%)","Inaros Prime Blueprint (11.0%)","Wukong Prime Blueprint (2.0%)","Axi","W2","Intact","Baza Prime Receiver","Forma Blueprint","Tekko Prime Gauntlet","Bronco Prime Barrel","Inaros Prime Blueprint","Wukong Prime Blueprint"
"Axi Z1 Relic (Intact) ","Wukong Prime Neuroptics (25.33%)","Forma Blueprint (25.33%)","Panthera Prime Blueprint (25.33%)","Baza Prime Barrel (11.0%)","Zhuge Prime Blueprint (11.0%)","Zakti Prime Blueprint (2.0%)","Axi","Z1","Intact","Wukong Prime Neuroptics","Forma Blueprint","Panthera Prime Blueprint","Baza Prime Barrel","Zhuge Prime Blueprint","Zakti Prime Blueprint"
"Lith A1 Relic (Intact) ","Braton Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Vasto Prime Receiver (25.33%)","Saryn Prime Neuroptics (11.0%)","Vectis Prime Blueprint (11.0%)","Akstiletto Prime Blueprint (2.0%)","Lith","A1","Intact","Braton Prime Barrel","Forma Blueprint","Vasto Prime Receiver","Saryn Prime Neuroptics","Vectis Prime Blueprint","Akstiletto Prime Blueprint"
"Lith A2 Relic (Intact) ","Lex Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Valkyr Prime Blueprint (25.33%)","Akbronco Prime Link (11.0%)","Cernos Prime Blueprint (11.0%)","Akstiletto Prime Blueprint (2.0%)","Lith","A2","Intact","Lex Prime Barrel","Forma Blueprint","Valkyr Prime Blueprint","Akbronco Prime Link","Cernos Prime Blueprint","Akstiletto Prime Blueprint"
"Lith A3 Relic (Intact) ","Rubico Prime Receiver (25.33%)","Orthos Prime Handle (25.33%)","Lex Prime Blueprint (25.33%)","Akbolto Prime Barrel (11.0%)","Tiberon Prime Blueprint (11.0%)","Akjagara Prime Barrel (2.0%)","Lith","A3","Intact","Rubico Prime Receiver","Orthos Prime Handle","Lex Prime Blueprint","Akbolto Prime Barrel","Tiberon Prime Blueprint","Akjagara Prime Barrel"
"Lith A4 Relic (Intact) ","Corinth Prime Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Ivara Prime Systems (11.0%)","Baza Prime Barrel (11.0%)","Astilla Prime Barrel (2.0%)","Lith","A4","Intact","Corinth Prime Blueprint","Burston Prime Receiver","Forma Blueprint","Ivara Prime Systems","Baza Prime Barrel","Astilla Prime Barrel"
"Lith B1 Relic (Intact) ","Mag Prime Neuroptics (25.33%)","Ankyros Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Rhino Prime Neuroptics (11.0%)","Boltor Prime Receiver (11.0%)","Boar Prime Stock (2.0%)","Lith","B1","Intact","Mag Prime Neuroptics","Ankyros Prime Blueprint","Forma Blueprint","Rhino Prime Neuroptics","Boltor Prime Receiver","Boar Prime Stock"
"Lith B2 Relic (Intact) ","Paris Prime Lower Limb (25.33%)","Tigris Prime Stock (25.33%)","Forma Blueprint (25.33%)","Orthos Prime Blade (11.0%)","Braton Prime Receiver (11.0%)","Ballistica Prime Blueprint (2.0%)","Lith","B2","Intact","Paris Prime Lower Limb","Tigris Prime Stock","Forma Blueprint","Orthos Prime Blade","Braton Prime Receiver","Ballistica Prime Blueprint"
"Lith B3 Relic (Intact) ","Limbo Prime Systems (25.33%)","Forma Blueprint (25.33%)","Burston Prime Blueprint (25.33%)","Orthos Prime Blade (11.0%)","Cernos Prime String (11.0%)","Ballistica Prime Blueprint (2.0%)","Lith","B3","Intact","Limbo Prime Systems","Forma Blueprint","Burston Prime Blueprint","Orthos Prime Blade","Cernos Prime String","Ballistica Prime Blueprint"
"Lith B4 Relic (Intact) ","Nyx Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Ankyros Prime Blueprint (25.33%)","Rhino Prime Neuroptics (11.0%)","Scindo Prime Blueprint (11.0%)","Boltor Prime Blueprint (2.0%)","Lith","B4","Intact","Nyx Prime Blueprint","Forma Blueprint","Ankyros Prime Blueprint","Rhino Prime Neuroptics","Scindo Prime Blueprint","Boltor Prime Blueprint"
"Lith B5 Relic (Intact) ","Banshee Prime Neuroptics (25.33%)","Lex Prime Receiver (25.33%)","Oberon Prime Chassis (25.33%)","Orthos Prime Blade (11.0%)","Rubico Prime Stock (11.0%)","Ballistica Prime Blueprint (2.0%)","Lith","B5","Intact","Banshee Prime Neuroptics","Lex Prime Receiver","Oberon Prime Chassis","Orthos Prime Blade","Rubico Prime Stock","Ballistica Prime Blueprint"
"Lith B6 Relic (Intact) ","Lex Prime Barrel (25.33%)","Fang Prime Blueprint (25.33%)","Limbo Prime Systems (25.33%)","Orthos Prime Blueprint (11.0%)","Redeemer Prime Blueprint (11.0%)","Ballistica Prime Blueprint (2.0%)","Lith","B6","Intact","Lex Prime Barrel","Fang Prime Blueprint","Limbo Prime Systems","Orthos Prime Blueprint","Redeemer Prime Blueprint","Ballistica Prime Blueprint"
"Lith B7 Relic (Intact) ","Lex Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Tipedo Prime Blueprint (25.33%)","Orthos Prime Blueprint (11.0%)","Aksomati Prime Barrel (11.0%)","Baza Prime Blueprint (2.0%)","Lith","B7","Intact","Lex Prime Receiver","Forma Blueprint","Tipedo Prime Blueprint","Orthos Prime Blueprint","Aksomati Prime Barrel","Baza Prime Blueprint"
"Lith B8 Relic (Intact) ","Burston Prime Stock (25.33%)","Dethcube Prime Systems (25.33%)","Aksomati Prime Blueprint (25.33%)","Ivara Prime Blueprint (11.0%)","Atlas Prime Chassis (11.0%)","Baza Prime Blueprint (2.0%)","Lith","B8","Intact","Burston Prime Stock","Dethcube Prime Systems","Aksomati Prime Blueprint","Ivara Prime Blueprint","Atlas Prime Chassis","Baza Prime Blueprint"
"Lith C1 Relic (Intact) ","Fang Prime Blade (25.33%)","Nova Prime Neuroptics (25.33%)","Nova Prime Systems (25.33%)","Kavasa Prime Band (11.0%)","Forma Blueprint (11.0%)","Carrier Prime Cerebrum (2.0%)","Lith","C1","Intact","Fang Prime Blade","Nova Prime Neuroptics","Nova Prime Systems","Kavasa Prime Band","Forma Blueprint","Carrier Prime Cerebrum"
"Lith C2 Relic (Intact) ","Venka Prime Blades (25.33%)","Paris Prime Upper Limb (25.33%)","Bronco Prime Receiver (25.33%)","Nami Skyla Prime Handle (11.0%)","Akbolto Prime Barrel (11.0%)","Cernos Prime Lower Limb (2.0%)","Lith","C2","Intact","Venka Prime Blades","Paris Prime Upper Limb","Bronco Prime Receiver","Nami Skyla Prime Handle","Akbolto Prime Barrel","Cernos Prime Lower Limb"
"Lith C3 Relic (Intact) ","Lex Prime Blueprint (25.33%)","Silva & Aegis Prime Hilt (25.33%)","Sybaris Prime Blueprint (25.33%)","Braton Prime Blueprint (11.0%)","Helios Prime Blueprint (11.0%)","Chroma Prime Neuroptics (2.0%)","Lith","C3","Intact","Lex Prime Blueprint","Silva & Aegis Prime Hilt","Sybaris Prime Blueprint","Braton Prime Blueprint","Helios Prime Blueprint","Chroma Prime Neuroptics"
"Lith C4 Relic (Intact) ","Forma Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Paris Prime Lower Limb (25.33%)","Orthos Prime Blade (11.0%)","Braton Prime Stock (11.0%)","Chroma Prime Neuroptics (2.0%)","Lith","C4","Intact","Forma Blueprint","Burston Prime Receiver","Paris Prime Lower Limb","Orthos Prime Blade","Braton Prime Stock","Chroma Prime Neuroptics"
"Lith C5 Relic (Intact) ","Forma Blueprint (25.33%)","Saryn Prime Neuroptics (25.33%)","Spira Prime Blueprint (25.33%)","Venka Prime Blueprint (11.0%)","Valkyr Prime Neuroptics (11.0%)","Cernos Prime Lower Limb (2.0%)","Lith","C5","Intact","Forma Blueprint","Saryn Prime Neuroptics","Spira Prime Blueprint","Venka Prime Blueprint","Valkyr Prime Neuroptics","Cernos Prime Lower Limb"
"Lith C6 Relic (Intact) ","Equinox Prime Chassis (25.33%)","Forma Blueprint (25.33%)","Fang Prime Blade (25.33%)","Braton Prime Receiver (11.0%)","Mesa Prime Blueprint (11.0%)","Corinth Prime Stock (2.0%)","Lith","C6","Intact","Equinox Prime Chassis","Forma Blueprint","Fang Prime Blade","Braton Prime Receiver","Mesa Prime Blueprint","Corinth Prime Stock"
"Lith C7 Relic (Intact) ","Valkyr Prime Blueprint (25.33%)","Hikou Prime Pouch (25.33%)","Forma Blueprint (25.33%)","Nyx Prime Systems (11.0%)","Scindo Prime Blueprint (11.0%)","Cernos Prime Lower Limb (2.0%)","Lith","C7","Intact","Valkyr Prime Blueprint","Hikou Prime Pouch","Forma Blueprint","Nyx Prime Systems","Scindo Prime Blueprint","Cernos Prime Lower Limb"
"Lith C8 Relic (Intact) ","Zephyr Prime Neuroptics (25.33%)","Tiberon Prime Blueprint (25.33%)","Burston Prime Receiver (25.33%)","Rubico Prime Stock (11.0%)","Forma Blueprint (11.0%)","Chroma Prime Neuroptics (2.0%)","Lith","C8","Intact","Zephyr Prime Neuroptics","Tiberon Prime Blueprint","Burston Prime Receiver","Rubico Prime Stock","Forma Blueprint","Chroma Prime Neuroptics"
"Lith D1 Relic (Intact) ","Atlas Prime Blueprint (25.33%)","Lex Prime Receiver (25.33%)","Burston Prime Receiver (25.33%)","Mesa Prime Blueprint (11.0%)","Ninkondi Prime Chain (11.0%)","Dethcube Prime Blueprint (2.0%)","Lith","D1","Intact","Atlas Prime Blueprint","Lex Prime Receiver","Burston Prime Receiver","Mesa Prime Blueprint","Ninkondi Prime Chain","Dethcube Prime Blueprint"
"Lith D2 Relic (Intact) ","Equinox Prime Chassis (25.33%)","Wukong Prime Neuroptics (25.33%)","Forma Blueprint (25.33%)","Fang Prime Handle (11.0%)","Redeemer Prime Blueprint (11.0%)","Dethcube Prime Cerebrum (2.0%)","Lith","D2","Intact","Equinox Prime Chassis","Wukong Prime Neuroptics","Forma Blueprint","Fang Prime Handle","Redeemer Prime Blueprint","Dethcube Prime Cerebrum"
"Lith D3 Relic (Intact) ","Burston Prime Stock (25.33%)","Ivara Prime Neuroptics (25.33%)","Stradavar Prime Receiver (25.33%)","Ninkondi Prime Chain (11.0%)","Corinth Prime Receiver (11.0%)","Dethcube Prime Blueprint (2.0%)","Lith","D3","Intact","Burston Prime Stock","Ivara Prime Neuroptics","Stradavar Prime Receiver","Ninkondi Prime Chain","Corinth Prime Receiver","Dethcube Prime Blueprint"
"Lith D4 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Orthos Prime Handle (25.33%)","Forma Blueprint (25.33%)","Ninkondi Prime Chain (11.0%)","Zakti Prime Barrel (11.0%)","Dethcube Prime Blueprint (2.0%)","Lith","D4","Intact","Bronco Prime Blueprint","Orthos Prime Handle","Forma Blueprint","Ninkondi Prime Chain","Zakti Prime Barrel","Dethcube Prime Blueprint"
"Lith F1 Relic (Intact) ","Forma Blueprint (25.33%)","Paris Prime Blueprint (25.33%)","Fang Prime Blade (25.33%)","Scindo Prime Blueprint (11.0%)","Odonata Prime Blueprint (11.0%)","Fragor Prime Blueprint (2.0%)","Lith","F1","Intact","Forma Blueprint","Paris Prime Blueprint","Fang Prime Blade","Scindo Prime Blueprint","Odonata Prime Blueprint","Fragor Prime Blueprint"
"Lith F2 Relic (Intact) ","Odonata Prime Systems (25.33%)","Hikou Prime Stars (25.33%)","Paris Prime Upper Limb (25.33%)","Burston Prime Barrel (11.0%)","Fang Prime Handle (11.0%)","Vauban Prime Blueprint (2.0%)","Lith","F2","Intact","Odonata Prime Systems","Hikou Prime Stars","Paris Prime Upper Limb","Burston Prime Barrel","Fang Prime Handle","Vauban Prime Blueprint"
"Lith G1 Relic (Intact) ","Latron Prime Blueprint (25.33%)","Frost Prime Chassis (25.33%)","Reaper Prime Handle (25.33%)","Ember Prime Systems (11.0%)","Forma Blueprint (11.0%)","Glaive Prime Blueprint (2.0%)","Lith","G1","Intact","Latron Prime Blueprint","Frost Prime Chassis","Reaper Prime Handle","Ember Prime Systems","Forma Blueprint","Glaive Prime Blueprint"
"Lith G2 Relic (Intact) ","Bo Prime Blueprint (25.33%)","Wyrm Prime Cerebrum (25.33%)","Latron Prime Stock (25.33%)","Loki Prime Chassis (11.0%)","Frost Prime Systems (11.0%)","Glaive Prime Blueprint (2.0%)","Lith","G2","Intact","Bo Prime Blueprint","Wyrm Prime Cerebrum","Latron Prime Stock","Loki Prime Chassis","Frost Prime Systems","Glaive Prime Blueprint"
"Lith G3 Relic (Intact) ","Zhuge Prime String (25.33%)","Octavia Prime Neuroptics (25.33%)","Paris Prime Upper Limb (25.33%)","Forma Blueprint (11.0%)","Panthera Prime Stock (11.0%)","Guandao Prime Handle (2.0%)","Lith","G3","Intact","Zhuge Prime String","Octavia Prime Neuroptics","Paris Prime Upper Limb","Forma Blueprint","Panthera Prime Stock","Guandao Prime Handle"
"Lith G4 Relic (Intact) ","Octavia Prime Neuroptics (25.33%)","Fang Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Titania Prime Neuroptics (11.0%)","Inaros Prime Blueprint (11.0%)","Guandao Prime Handle (2.0%)","Lith","G4","Intact","Octavia Prime Neuroptics","Fang Prime Blueprint","Forma Blueprint","Titania Prime Neuroptics","Inaros Prime Blueprint","Guandao Prime Handle"
"Lith H1 Relic (Intact) ","Saryn Prime Systems (25.33%)","Paris Prime Blueprint (25.33%)","Bronco Prime Blueprint (25.33%)","Akstiletto Prime Barrel (11.0%)","Nami Skyla Prime Handle (11.0%)","Helios Prime Cerebrum (2.0%)","Lith","H1","Intact","Saryn Prime Systems","Paris Prime Blueprint","Bronco Prime Blueprint","Akstiletto Prime Barrel","Nami Skyla Prime Handle","Helios Prime Cerebrum"
"Lith H2 Relic (Intact) ","Lex Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Zephyr Prime Neuroptics (25.33%)","Oberon Prime Blueprint (11.0%)","Orthos Prime Blueprint (11.0%)","Helios Prime Cerebrum (2.0%)","Lith","H2","Intact","Lex Prime Barrel","Forma Blueprint","Zephyr Prime Neuroptics","Oberon Prime Blueprint","Orthos Prime Blueprint","Helios Prime Cerebrum"
"Lith I1 Relic (Intact) ","Fang Prime Blade (25.33%)","Pandero Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Burston Prime Barrel (11.0%)","Karyst Prime Handle (11.0%)","Ivara Prime Chassis (2.0%)","Lith","I1","Intact","Fang Prime Blade","Pandero Prime Blueprint","Forma Blueprint","Burston Prime Barrel","Karyst Prime Handle","Ivara Prime Chassis"
