"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Evil Blade Follow-Up","Evil Blade","PHY","Single enemy","Physical","4.48","Dark, NE","0.01","Eight single attacks (0.52/0.54/0.56 each) scaling with Darkness attacks used (2/4/6), 0/30/75% additional critical chance, damages the user for 25% max HP, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544203"
"Fair Wind Follow-Up","Fair Wind","BLK","Single enemy","Magical","7.95","Wind, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541053"
"Saintly Duel Follow-Up","Saintly Duel","NAT","Single enemy","Hybrid","-","Holy, NE","0.01","Four single hybrid attacks (0.45 or 1.61 each)","Y","Lowest HP% enemy","0","Special","30544267"
"Trinity Summon Follow-Up","Trinity Summon","SUM","Single enemy","Magical","11.92","Water, Earth, Holy, NE","0.01","Eight single attacks (1.49 each)","N","Lowest HP% enemy","0","Summoning","30543160"
"Eblan Tactics Follow-Up","Eblan Tactics","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.01","4/2 single hybrid attacks (0.44 or 22.00 each), ignores RES, grants [Buff Water 10% (15s)], [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Ninja","30544287"
"Spark Spear Follow-Up","Spark Spear","PHY","Single enemy","Physical","5.28","Lightning, NE","0.01","One single ranged attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","30548311"
"Flame Dance Follow-Up","Flame Dance","BLK","Single enemy","Magical","15.20","Fire, NE","0.01","Four single attacks (3.80 each), causes [Imperil Fire 10% (15s)], grants [Magical Blink 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541814"
"Storm of Darkness Follow-Up","Storm of Darkness","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1]","N","All allies","0","Special","30541458"
"Shadow Chaser Follow-Up","Shadow Chaser","PHY","Single enemy","Physical","4.00","Dark, NE","0.01","One single attack (4.00~7.00 scaling with current HP%) capped at 99999, heals the user for 20% of the damage dealt at Gloomshade levels 1 and 2 and causes -1 Gloomshade to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30549869"
"Dark Armor Mode","Phantom Soul","BLK","Single enemy","Magical","12.00","Dark, NE","0.01","Eight single attacks (1.50 each), grants [Stoneskin: 100%] to the user","Y","Lowest HP% enemy","0","Darkness","30549962"
"Dark Meteor Follow-Up","Dark Meteor","NAT","Self","","","","0.01","Grants [Buff Dark 20% (15s)]","Y","Self","0","Darkness","30549866"
"Sacred Edge Follow-Up","Sacred Edge 1","NAT","Single enemy","Hybrid","-","Holy","0.01","Two single hybrid attacks (0.76 or 3.36 each), grants [Buff Holy 10% (15s)] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548448"
"Sacred Edge Follow-Up","Sacred Edge 2","NAT","Single enemy","Hybrid","-","Holy","0.01","Two single hybrid attacks (0.76 or 3.36 each), grants [40% Damage Reduction Barrier 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548449"
"Bequeathed Knowledge Follow-Up","Bequeathed Knowledge","PHY","Single enemy","Physical","3.28","Earth, NE","0.01","Four single attacks (0.76/0.82 each) if Ursula is not alive/alive, grants [Instant Cast 1] to the user, grants [Instant Cast 1] to Ursula if Ursula is alive, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540027"
"Answer the Call Follow-Up","Answer the Call","PHY","Single enemy","Physical","3.28","Earth, Fire, NE","0.01","Four single attacks (0.76/0.82 each) if Yang is not alive/alive, grants [Attach Earth] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540029"
"Terminating Blade Follow-Up","Terminating Blade","PHY","Single enemy","Physical","5.19","Holy, NE","0.01","One single attack (5.19) capped at 99999, 100% hit rate, grants [Magical Blink 1] to the user","Y","Lowest HP% enemy","0","Knight","31540506"
"Earthen Wisdom Mode","Gaia's Grace","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [HP Stock (2000)] to all allies","Y","Lowest HP% enemy","0","Black Magic","31540712"
"Earthen Wisdom Mode","Tellah's Faith","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [Earth Ability +50% Boost 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31540713"
"Earthen Wisdom Mode","Memory of the Land","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [Dualcast Earth 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31540714"
"Earthen Wisdom Follow-Up","Sage's Strike","BLK","All enemies","Magical","13.80","Earth, NE","0.01","One single attack (13.80~16.40 scaling with targets) capped at 99999, removes [Earthen Wisdom Mode] and [Earthen Wisdom Follow-Up] from the user","Y","All enemies","0","Black Magic","31540715"
"Bluff Mode","Black Magic Bluff","BLK","Single enemy","Magical","31.00","Lightning, Fire, Ice, NE","0.01","Ten single attacks (2.00 each), followed by one single attack (11.00) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31540923"
"Triple Bomb Follow-Up","Triple Bomb","BLK","Single enemy","Magical","7.70","Lightning, Fire, Ice, NE","0.01","Five single attacks (1.54 each)","Y","Lowest HP% enemy","0","Black Magic","31540926"
"Fire Cloak Mode","Counter: Fira","BLK","Single enemy","Magical","37.28","Fire, NE","0.01","Two single attacks (18.64 each), ignores RES, grants [Magical Blink 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541008"
"Martial Flames Follow-Up","Martial Flames","BLK","Single enemy","Magical","8.16","Fire, NE","0.01","Four single attacks (2.04 each), grants [HP Stock (1500)] to all allies every second use","Y","Lowest HP% enemy","0","Black Magic","31541018"
"Moonlight Mode","Lunar Power","WHT","Single enemy","Magical","10.08","Holy, NE","0.01","Three single attacks (3.36 each), causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","0","White Magic","31541042"
"Awoken Night Vigil","Moonblossom Mind","WHT","Single enemy","Magical","14.88","Holy, NE","0.01","Six single attacks (2.48 each)","Y","Lowest HP% enemy","0","White Magic","31541050"
"Moonblossom Purity Follow-Up","Moonblossom Purity","WHT","Single enemy","Magical","6.72","Holy, NE","0.01","Two single attacks (3.36 each), causes [Imperil Holy 10% (5s)] every second use","Y","Lowest HP% enemy","0","White Magic","31541051"
"True Summoner Mode","Divine Breeze","SUM","Single enemy","Magical","12.60","Holy, NE","0.01","Three single attacks (4.20 each), grants [Damage Cap +10000 3] to the user","N","Lowest HP% enemy","0","Summoning","31540963"
"Dual Awoken Dragoon Pride Mode I (Kain - Lightning)","Dual Dragoon Dive","PHY","Single enemy","Physical","5.28","Lightning, Dark, NE","0.01","One single ranged attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","31541353"
"Airship Tech's Forte Follow-Up","Airship Tech's Forte","PHY","Single enemy","Physical","3.52","Lightning, NE","0.01","One single ranged attack (3.52) capped at 99999, causes [Instant KO] to the user after the fourth cast","Y","Lowest HP% enemy","0","Machinist","31541369"
"Dual Awoken Holy Mode II (Cecil (Paladin))","Dual Light Barrier","NAT","Single enemy","Hybrid","-","Holy, NE","0.01","Four single hybrid attacks (0.75/3.25 each), grants [50% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Knight","31541372"
"Bow Master Mode","Gift of Devotion","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to the ally with the lowest HP%","Y","Lowest HP% enemy","0","White Magic","31541379"
"Divergent Time Flow Mode","Feymarch Friction","SUM","Single enemy","Magical","11.85","Water, NE","0.01","One single attack (10.72/11.85/11.85) capped at 99999 after 1/2/3 uses, grants [Quick Cast 1]/[Quick Cast 1]/[Instant Cast 1] to the user after 1/2/3 uses, grants [Water +50% Boost 1] to the user after three uses","Y","Lowest HP% enemy","0","Summoning","31541429"
"Dual Awoken Dark Mode II (Golbez)","Dual Nightglow","BLK","Single enemy","Magical","12.10","Dark, NE","0.01","Five single attacks (2.42 each), causes [Imperil Dark 10% (15s)]","Y","Lowest HP% enemy","0","Darkness","31541419"
"Dual Awoken Wind Mode I (Barbariccia)","Dual Tornado Breath","BLK","Single enemy","Magical","8.16","Wind, NE","0.01","Four single attacks (2.04 each), grants [Quick Cast 1] to the user every second use","Y","Lowest HP% enemy","0","Black Magic","31541616"
"Dual Awoken Wind Mode II (Barbariccia)","Dual Storm Down","BLK","Single enemy","Magical","7.44","Wind, NE","0.01","Two single attacks (3.72 each), causes [Imperil Wind 10% (15s)]","Y","Lowest HP% enemy","0","Black Magic","31541617"
"Bewitching Ruler Mode","Violent Wind","BLK","Single enemy","Magical","4.95","Wind, NE","0.01","One single attack (4.95), causes [Imperil Wind 10% (15s)] every second use, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541625"
"Hexa Mirage Follow-Up","Hexa Mirage","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541640"
"Dual Awoken Lightning Mode II (Cid (IV))","Force Break!","NAT","All allies","","","","0.01","Grants [100% Critical 1] and [Lightning +30% Boost 1], damages the user for 50% current HP capped at 99999, grants [Instant Cast 1] to the user","N","All allies","0","Special","31541740"
"Awoken Airship Engineer","Bolt Rush","PHY","Single enemy","Physical","4.32","Lightning, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31541747"
"Reliable Sister Mode","Annoying Gift","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to the lowest HP% ally, grants [Quick Cast 1] to all allies if 4+ FF4 allies are alive","Y","Lowest HP% enemy","0","White Magic","31541745"
"Chain Force Mode (Rydia - Earth)","Guidance of Earth: Rydia","SUM","Single enemy","Magical","8.20","Earth, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Earth Ability Quick Cast 1] and Summoning smart ether 2 to the user","Y","Lowest HP% enemy","0","Summoning","31541971"
"Dual Awoken Earth Mode I (Tellah)","Dual Earthquake","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","31542043"
"Chain Force Mode (Tellah)","Earth Guidance: Tellah","BLK","Single enemy","Magical","5.28","Earth, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542047"
"Chain Force Mode (Yang)","Bond Guidance: Yang","PHY","Single enemy","Physical","","Earth, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Monk","31542048"
"EX: No Discussion","Strongest Swordplay","PHY","Single enemy","Physical","-","Fire, NE","0.01","Randomly deals one (25%), four (25%), six (25%) or ten (25%) single attacks (0.37 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549010"
"EX: Spellblade Barrage","Wind Barrage","PHY","Random enemies","Physical","-","Wind, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511838"
"EX: Spellblade Barrage","Water Barrage","PHY","Random enemies","Physical","-","Water, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511837"
"EX: Spellblade Barrage","Fire Barrage","PHY","Random enemies","Physical","-","Fire, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511836"
"EX: Spellblade Barrage","Earth Barrage","PHY","Random enemies","Physical","-","Earth, NE","2.50","Randomly deals two (50%) or eight (50%) random attacks (0.40 each), 100% hit rate","Y","Random enemies","0","Spellblade","30511835"
"EX: Essence of Wind","Inherited Swordplay 1","PHY","Single enemy","Physical","0.30","Wind, NE","0.01","One single attack (0.30), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547050"
"EX: Essence of Wind","Inherited Swordplay 2","PHY","Single enemy","Physical","1.50","Wind, NE","0.01","Five single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547051"
"EX: Essence of Wind","Inherited Swordplay 3","PHY","Single enemy","Physical","4.50","Wind, NE","0.01","Fifteen single attacks (0.30 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547052"
"Barrage Master Follow-Up","Barrage Master","PHY","Single enemy","Physical","3.52","Fire, Water, Wind, Earth, NE","0.01","Eight single attacks (0.44 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547114"
"Pirate's Steel Follow-Up","Pirate's Steel","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds","N","Lowest HP% enemy","0","Thief","30548232"
"Sandwind Blade Follow-Up","Sandwind Blade","PHY","Single enemy","Physical","2.04","Earth, Wind, NE","0.01","2/3/4/5/6 single attacks (0.34 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548047"
"Delta Magic Follow-Up","Delta Magic 1","BLK","Single enemy","Magical","5.20","Dark, Holy, NE","0.01","Four single attacks (1.30 each)","Y","Lowest HP% enemy","0","Darkness","30541471"
"Delta Magic Follow-Up","Delta Magic 2","BLK","Single enemy","Magical","7.80","Dark, Holy, NE","0.01","Six single attacks (1.30 each), heals the user for 10% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30541471"
"Delta Magic Follow-Up","Delta Magic 3","BLK","Single enemy","Magical","20.20","Dark, Holy, NE","0.01","One single attack (20.20) capped at 99999, heals the user for 10% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","30541471"
"Dance of the Flame Follow-Up","Dance of the Flame","BLK","Single enemy","Magical","8.52","Fire, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541015"
"Inherited Essence Follow-Up","Inherited Essence","BLK","Single enemy","Magical","8.08","Earth, NE","0.01","Four single attacks (2.02 each), five attacks if Galuf is alive","Y","Lowest HP% enemy","0","Black Magic","30541141"
"Lupine Chase Follow-Up","Lupine Chase","PHY","Single enemy","Physical","2.56","Earth, Wind, NE","0.01","4/6/8 single ranged attacks (0.32 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549025"
"Awoken Love Mode","Wave of Mending","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability, damages undead","N","All allies","0","White Magic","30542511"
"Twin Anchor Follow-Up","Twin Anchor","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10%] for 15 seconds and [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Thief","30548431"
"Awoken Stalwart","Persistent Strike","PHY","Single enemy","Physical","4.32","Earth, NE","0.01","Six single attacks (0.72 each)","Y","Lowest HP% enemy","0","Monk","30544331"
"Lupine Pulse Follow-Up","Lupine Pulse","PHY","Single enemy","Physical","5.36","Earth, NE","0.01","4/6/8 single attacks (0.67 each) if the user has Physical Blink 0/1/2","Y","Lowest HP% enemy","0","Ninja","30544333"
"Second Home Follow-Up","Second Home","PHY","Single enemy","Physical","3.96","Earth, Wind, NE","0.01","Six single attacks (0.66 each), causes [Imperil Earth 10% (15s)]","Y","Lowest HP% enemy","0","Knight","30544336"
"Enlightening Breeze Follow-Up","Enlightening Breeze","PHY","Single enemy","Physical","4.08","Wind, NE","0.01","Four single attacks (1.02 each), 100% hit rate, grants [Buff Wind 10% (15s)] to the user","Y","Lowest HP% enemy","0","Spellblade","30547056"
"True Friends Mode","Later!","PHY","Single enemy","Physical","4.90","Fire, Wind, NE","0.01","Ten single attacks (0.49 each), grants [Soul Break Gauge +250], 100% additional critical chance, 100% hit rate, removes [True Friends Mode] from the user","Y","Lowest HP% enemy","0","Samurai","30549217"
"Ravenous Void Mode","Space Debris","NAT","Single enemy","Magical","-","Dark, Holy, NE","0.01","1/2/2 single attacks (12.00 or 12.20 each) capped at 99999 followed by 0/0/5 single attacks (2.12 or 2.16 each) if the user dealt 0/72001/240001 damage during the status, removes [Ravenous Void Mode] from the user","Y","Lowest HP% enemy","0","Darkness","30541674"
"Solid Bond Follow-Up","Solid Bond","PHY","Single enemy","Physical","6.92","Wind, Fire, NE","0.01","One single ranged attack (6.92) capped at 99999, 100% hit rate, grants [Instant Cast 1] to the user","N","Lowest HP% enemy","0","Thief","31540247"
"Path of Flame Mode","Master Pyroblade","PHY","Single enemy","Physical","2.01","Fire, NE","0.01","Three single attacks (0.67 each), 100% hit rate, grants [Attach Fire] and [50% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Spellblade","31540249"
"Baldesion Assault Follow-Up","Baldesion Assault","PHY","Single enemy","Physical","5.28","Earth, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540372"
"Awoken Virtuoso","Punishing Aqua Breath","BLK","Single enemy","Magical","14.64","Water, NE","0.01","Six single attacks (2.44 each), causes [Imperil Water 10% (15s)] every second use","Y","Lowest HP% enemy","0","Black Magic","31540881"
"Veteran's Resolve Mode","Dawn Onslaught","PHY","Single enemy","Physical","3.52","Earth, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540936"
"Veteran's Resolve Mode","Dawn Onslaught (Imperil)","PHY","Single enemy","Physical","3.35","Earth, NE","0.01","Five single attacks (0.67 each), 100% hit rate, causes [Imperil Prismatic 10% (15s)]","Y","Lowest HP% enemy","0","Monk","31540937"
"Big Softie Mode","Flaming Soul Slash","PHY","Single enemy","Physical","2.92","Fire, NE","0.01","Four single attacks (0.73 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540939"
"Crystal Warden Mode","Adventuring Savvy","PHY","Single enemy","Physical","3.52","Earth, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Knight","31541064"
"Awoken Regolian Warrior","Dawnblade","PHY","Single enemy","Physical","4.32","Earth, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [Buff Earth 10% (15s)] to the user every second cast","Y","Lowest HP% enemy","0","Combat","31541073"
"Awoken Alpha Wolf","Lupine Illusion","PHY","Single enemy","Physical","4.48","Earth, NE","0.01","Four single attacks (1.12 each), 100% hit rate, grants [Buff Earth 10% (15s)] if the user has Physical Blink 2","Y","Lowest HP% enemy","0","Ninja","31541066"
"Flame Resolve Mode","Blade of Embers","PHY","Single enemy","Physical","1.26","Fire, NE","0.01","Three single attacks (0.42 each), 100% hit rate, grants [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Spellblade","31541147"
"Dual Awoken Spellblade Mode I (Bartz - Wind)","Dual Spellblade Whirlwind","PHY","Single enemy","Physical","4.50","Wind, NE","0.01","5/15 single attacks (0.30 each) every 1+2n/2+2n uses, 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541357"
"Dual Wind Spellblade Mode","Dual Gale Slash","PHY","Single enemy","Physical","3.44","Wind, NE","0.01","One single attack (2.51/2.64/3.04/3.44) capped at 99999 if the user has Attach Wind 0/1/2/3, 100% hit rate, causes [Detach Wind] to the user","Y","Lowest HP% enemy","0","Spellblade","31541358"
"Dual Awoken Thief Mode II (Faris)","Dual Heat Blast","PHY","Single enemy","Physical","2.92","Wind, Fire, NE","0.01","Four single ranged attacks (0.73 each), 100% hit rate, causes [Imperil Wind 10% (15s)] and [Imperil Fire 10% (15s)]","Y","Lowest HP% enemy","0","Thief","31541497"
"Dual Awoken Successor Mode I (Krile)","Dual Consuming Flame","BLK","Single enemy","Magical","8.28","Fire, Earth, NE","0.01","Two single attacks (4.14 each) capped at 19999","Y","Lowest HP% enemy","0","Black Magic","31541499"
"Compassion Mode","Gift of Benevolence","WHT","Single enemy","Magical","-","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to a random ally","Y","Lowest HP% enemy","0","White Magic","31541508"
"Dual Awoken Dual Job Mode I (Lenna)","Dual Saintly Tenets","WHT","All allies","","","","0.01","Grants [HP Stock (500/1000/1500/2000/3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31541576"
"Dual Awoken Dual Job Mode I (Lenna)","Dual Benevolent Heart","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31541577"
"Dual Awoken Dual Job Mode II (Lenna)","Dual Gentle Vow","WHT","All allies","","","","0.01","Restores HP (55), grants [Regenga] and [Quick Cast 1]","N","All allies","0","White Magic","31541578"
"Earth Spellblade Dance Mode","Earth Spellblade Dance","PHY","Single enemy","Physical","2.95","Earth, NE","0.01","Five single attacks (0.59 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541615"
"Dual Awoken Fire Mode I (Gilgamesh)","Dual Gang Yan","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (5s)], grants [Buff Fire 10% (15s)] to all allies every third cast","N","Lowest HP% enemy","0","Samurai","31541686"
"Dual Awoken Fire Mode II (Gilgamesh)","Dual Random Flame Cut","PHY","Single enemy","Physical","","Fire, NE","0.01","4/6/10 single attacks (0.41 each) after 1/2/3+ uses, 100% additional critical chance, 100% hit rate, grants [Retaliate] to the user","Y","Lowest HP% enemy","0","Samurai","31541687"
"Dual Awoken Spellblade Mode I (Bartz - Fire)","Dual Spellblade Dance: Fire","PHY","Single enemy","Physical","4.26","Fire, NE","0.01","Six single attacks (0.64 each), 0.71 if exploiting Fire weakness","Y","Lowest HP% enemy","0","Spellblade","31541863"
"Dual Awoken Earth Mode I (Galuf)","Dual Dawn Strikes","PHY","Single enemy","Physical","4.08","Earth, NE","0.01","Four single attacks (1.02 each), 100% hit rate, causes [Imperil Earth 10% (15s)]","Y","Lowest HP% enemy","0","Monk","31541964"
"Chain Force Mode (Galuf)","Guidance of Earth: Galuf","PHY","Single enemy","Physical","0.96","Earth, NE","0.01","Three single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541969"
"Dual Awoken Water Mode I (Gogo (V))","Dual Trench Mimicry","BLK","Single enemy","Magical","","Water, NE","0.01","Four single attacks (2.04 each), causes [DEF, RES and MND -50% (8s)] every second use, grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Black Magic","31542050"
"EX: Enlightened Yearning","Trance Wind","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","30541259"
"Flame Hunt Follow-Up","Flame Hunt","PHY","Single enemy","Physical","1.20","Fire, NE","0.01","One single attack (1.20), 35% chance to cause [Imperil Fire 10%] for 15 seconds","Y","Lowest HP% enemy","0","Thief","30548031"
"EX: Adventurer","Valiant Flame","PHY","Single enemy","Physical","1.40","Fire, NE","0.01","4/5/6/7/8 single ranged attacks (0.35 each) if the user's HP is below 100/80/60/40/20%, 100% hit rate","Y","Lowest HP% enemy","0","Thief","30548036"
"EX: Machinist","Poison Enfeeble","PHY","Single enemy","Physical","1.17","Poison, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Poison 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549057"
"EX: Machinist","Fire Enfeeble","PHY","Single enemy","Physical","1.17","Fire, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Fire 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549058"
"EX: Machinist","Lightning Enfeeble","PHY","Single enemy","Physical","1.17","Lightning, NE","0.01","Three single attacks (0.39 each), 35% chance to cause [Imperil Lightning 10%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549059"
"Firebird Strike Follow-Up","Firebird Strike","PHY","Single enemy","Physical","2.10","Fire, NE","0.01","3/4/5/6 single attacks (0.35 each) at 492/780/1014 ATK","Y","Lowest HP% enemy","0","Monk","30544017"
"Abandoned Past","Vanishing Blade","PHY","Single enemy","Physical","4.32","Dark, NE","0.01","1/1/2 single attacks (2.16 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30511856"
"Dark Assassination Follow-Up","Dark Assassination","PHY","Single enemy","Physical","2.56","Dark, NE","0.01","4/6/8 single ranged attacks (0.32 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549125"
"Gambling Break","Deadly Spade","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [ATK -40%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813"
"Gambling Break","Deadly Club","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813"
"Gambling Break","Deadly Diamond","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [MAG -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813"
"Gambling Break","Deadly Heart","PHY","Single enemy","Physical","0.50","-","0.01","Two single ranged attacks (0.25 each), [RES -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30511813"
"Darkness Card Follow-Up","Darkness Card 1","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [ATK -40%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545055"
"Darkness Card Follow-Up","Darkness Card 2","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [MAG -50%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545056"
"Darkness Card Follow-Up","Darkness Card 3","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [DEF -40%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545057"
"Darkness Card Follow-Up","Darkness Card 4","PHY","Single enemy","Physical","1.71","Dark, NE","0.01","Three single ranged attacks (0.57 each), [RES -50%] for 15 seconds, 100% hit rate","Y","Lowest HP% enemy","0","Support","30545058"
"Snowball Toss Follow-Up","Snowball Toss","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Five single ranged attacks (0.40 each), 50% additional critical chance if Mog is alive, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549171"
"EX: Forged Magitek","Magitek Blast","BLK","Single enemy","Magical","4.96","Dark, Poison, NE","0.01","4/5/6/7/8 single attacks (1.24/1.28/1.32/1.36/1.40 each) scaling with uses","Y","Lowest HP% enemy","0","Black Magic","30541270"
"Sword Arts Follow-Up","Sword Arts","PHY","Single enemy","Physical","1.96","Earth, Holy, NE","0.01","Four single attacks (0.49 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548148"
"Awoken Runic Blade Follow-Up","Awoken Runic Blade","PHY","Single enemy","Physical","2.60","Ice, Holy, NE","0.01","Grants [Magical Blink 2] to the user, five single attacks (0.52 each) if user has Magical Blink 1/2","Y","Lowest HP% enemy","0","Spellblade","30547225"
"Flame Chaser Follow-Up","Flame Chaser","PHY","Single enemy","Physical","5.30","Fire, NE","0.01","Ten single attacks (0.53 each)","Y","Lowest HP% enemy","0","Thief","30548339"
"Tidal Stream Follow-Up","Tidal Stream","BLK","Single enemy","Magical","16.40","Water, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541062"
