"Name","Realm","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Effect","Character","Soul Break","Legend Materia","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL","Season","Group","Random Passive Effects"
"Battle Bamboo","VIII","Hammer","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Raijin","Thunder Blitz","","6","25","134","","","","","95","","8","35","198","","","","","95","","21005056","","","",""
"Morgenstern","XI","Hammer","","","6","25","180","0","0","0","0","95","0","Earth damage +20%","Naja","Salaheem Slam","","6","25","134","","","","","95","","8","35","198","","","","","95","","21005046","✓","","",""
"Scorpion Tail","XII","Hammer","","","6","25","178","0","0","0","0","95","0","","Basch","Clash of Light and Flame","","6","25","132","","","","","95","","8","35","196","","","","","95","","21005018","✓","","",""
"Shock Hammer","Type-0","Hammer","","","6","25","180","0","0","0","0","95","0","Earth damage +20%","Cinque","Whirling Mace","","6","25","134","","","","","95","","8","35","198","","","","","95","","21005032","✓","","",""
"Buster Hammer","Type-0","Hammer","","","6","25","181","0","0","0","0","95","0","","Cinque","Grand Slam Swing","","6","25","135","","","","","95","","8","35","199","","","","","95","","21005036","✓","","",""
"Ogre Hammer","Type-0","Hammer","","","6","25","180","0","0","0","0","95","0","Earth damage +20%","Cinque","Mace Cyclone","","6","25","134","","","","","95","","8","35","198","","","","","95","","21005038","✓","","",""
"Ares' Mace","Type-0","Hammer","","","6","25","180","0","0","0","0","95","0","Earth damage +20%","Cinque","Earth Raiment (Cinque)","","6","25","134","","","","","95","","8","35","198","","","","","95","","21005054","✓","","",""
"Golden Bat","Core","Hammer","","","5","20","129","0","0","0","0","95","0","","-","Turtle Killer","","5","20","94","","","","","95","","7","30","146","","","","","95","","21005024","","","",""
"Thor's Hammer","II","Hammer","","","5","20","147","0","0","0","0","95","0","","Scott","Ardent Valor","","5","20","112","","","","","95","","7","30","164","","","","","95","","21005052","✓","","",""
"Mighty Hammer","III","Hammer","","","5","20","147","0","0","0","0","95","0","","Luneth","Howling Winds","","5","20","112","","","","","95","","7","30","164","","","","","95","","21005030","✓","","",""
"Blessed Hammer","III","Hammer","","","5","20","147","0","0","0","0","95","0","","Luneth","","Orphan of Ur","5","20","112","","","","","95","","7","30","164","","","","","95","","21005016","✓","","",""
"Thor's Hammer","IV","Hammer","","","5","20","133","0","0","0","0","95","0","Lightning damage +20%","Cid (IV)","Jump Start","","5","20","98","","","","","95","","7","30","150","","","","","95","","21005011","✓","","",""
"Gaia Hammer","IV","Hammer","","","5","20","140","0","0","0","0","95","0","","Cid (IV)","Falcon Drill","","5","20","105","","","","","95","","7","30","157","","","","","95","","21005019","✓","","",""
"Triton's Hammer","IV","Hammer","","","5","20","147","0","0","0","0","95","0","","Cid (IV)","","Unselfish Disposition","5","20","112","","","","","95","","7","30","164","","","","","95","","21005026","✓","","",""
"Thor Hammer","V","Hammer","","","5","20","117","0","0","0","0","95","0","Lightning damage +20%","Galuf","Fist of the Dawn","","5","20","82","","","","","95","","7","30","135","","","","","95","","21005006","✓","","",""
"Mjolnir","V","Hammer","","","5","20","124","0","0","0","0","95","0","","Galuf","Platinum Hazard","","5","20","89","","","","","95","","7","30","141","","","","","95","","21005015","","","",""
"Sledgehammer","V","Hammer","","","5","20","131","0","0","0","0","95","0","","Galuf","Sweet Sorrow","","5","20","96","","","","","95","","7","30","148","","","","","95","","21005017","✓","","",""
"Bone Club","VI","Hammer","","","5","20","141","0","0","0","0","95","0","","Umaro","Master's Voice","","5","20","106","","","","","95","","7","30","158","","","","","95","","21005014","✓","","",""
"Earth Mallet","VI","Hammer","","","5","20","147","0","0","0","0","95","0","","Umaro","","Ughaaa!","5","20","112","","","","","95","","7","30","164","","","","","95","","21005029","✓","","",""
"War Hammer","VI","Hammer","","","5","20","147","0","0","0","0","95","0","","Umaro","Sinewy Power","","5","20","112","","","","","95","","7","30","164","","","","","95","","21005039","✓","","",""
"Raijin's Staff","VIII","Hammer","","","5","20","133","0","0","0","0","95","0","Lightning damage +20%","Raijin","Raijin Special","","5","20","99","","","","","95","","7","30","150","","","","","95","","21005020","✓","","",""
"Six-fluted Pole","VIII","Hammer","","","5","20","147","0","0","0","0","95","0","","Raijin","","Bad Crowd","5","20","112","","","","","95","","7","30","164","","","","","95","","21005028","✓","","",""
"Battle Pole","VIII","Hammer","","","5","20","147","0","0","0","0","95","0","","Raijin","Thundering Hammer","","5","20","112","","","","","95","","7","30","164","","","","","95","","21005034","✓","","",""
"Warhammer","XI","Hammer","","","5","20","147","0","0","0","0","95","0","","Naja","","Dream of Glory","5","20","112","","","","","95","","7","30","164","","","","","95","","21005047","✓","","",""
"Skull Crusher","Type-0","Hammer","","","5","20","147","0","0","0","0","95","0","","Cinque","Gaia Pulse","","5","20","112","","","","","95","","7","30","164","","","","","95","","21005033","✓","","",""
"Sledgehammer","XII","Hammer","","","4","15","64","0","0","0","0","92","0","","","","","4","15","41","","","","","92","","6","25","79","","","","","92","","21005005","✓","","",""
"Gaia Hammer","V","Hammer","","","3","10","35","0","0","0","0","89","0","Earth damage +20%","","","","3","10","21","","","","","89","","5","20","50","","","","","89","","21005004","✓","","",""
"Mythril Hammer","IV","Hammer","","","2","5","19","0","0","0","0","86","0","","","","","2","5","12","","","","","86","","4","15","36","","","","","86","","21005002","✓","","",""
"War Hammer","V","Hammer","","","2","5","19","0","0","0","0","86","0","","","","","2","5","12","","","","","86","","4","15","36","","","","","86","","21005003","✓","","",""
"Hammer","IV","Hammer","","","1","3","8","0","0","0","0","83","0","","","","","1","3","4","","","","","83","","3","10","21","","","","","83","","21005001","✓","","",""
"Trident","II","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206092","✓","","",""
"Gungnir","III","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206015","✓","","",""
"Holy Lance","IV","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206070","✓","","",""
"Partisan","VI","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206032","✓","","",""
"Viper Halberd","VII","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206062","✓","","",""
"Harpoon","VIII","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206099","✓","","",""
"Obelisk","IX","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206087","✓","","",""
"Twin Lance","X","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206075","✓","","",""
"Bladed Lance","XIII","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206029","✓","","",""
"Gae Bolg","XIV","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206108","✓","","",""
"Mythril Lance","XV","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206116","✓","","",""
"Javelin","Type-0","Spear","","","S","50","275","0","0","0","0","95","0","RS: Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison and NE damage +20%","","","","S","50","170","","","","","95","","S","50","275","","","","","95","","21206091","✓","","",""
"Blood Lance","-","Spear","","","S","50","308","0","0","0","0","95","0","Dark damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206145","✓","","",""
"Glaive","-","Spear","","","S","50","308","0","0","0","0","95","0","Fire damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206030","✓","","",""
"Holy Lance","-","Spear","","","S","50","308","0","0","0","0","95","0","Holy damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206102","✓","","",""
"Longinus","-","Spear","","","S","50","308","0","0","0","0","95","0","Lightning damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206060","✓","","",""
"Partisan","-","Spear","","","S","50","308","0","0","0","0","95","0","Earth damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206039","✓","","",""
"Hunter's Spear","-","Spear","","","S","50","308","0","0","0","0","95","0","Ice damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206035","✓","","",""
"Trident","-","Spear","","","S","50","308","0","0","0","0","95","0","Water damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206028","✓","","",""
"Wyvern Lance","-","Spear","","","S","50","308","0","0","0","0","95","0","Wind damage +20%","","","","S","50","228","","","","","95","","S","50","308","","","","","95","","21206033","✓","","",""
"Detector","II","Spear","","","7","30","209","0","161","0","0","95","0","Fire damage +20%","Gordon","Honored Memory","","7","30","149","","114","","","95","","9","40","229","","177","","","95","","21006180","✓","","",""
"Dragon's Whisker","II","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Ricard","Dragoon Tempest","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006133","","","",""
"Longinus","III","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Luneth","Silver Wind","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006148","✓","","",""
"Gae Bolg","IV","Spear","","","7","30","209","0","0","0","0","95","0","Lightning damage +20%","Kain","Blood Dragoon","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006160","✓","","",""
"Calamity Spear","IV","Spear","","","7","30","209","0","0","0","0","95","0","Dark damage +20%","Kain","Cross Javelin","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006181","✓","","",""
"Viper Halberd","V","Spear","","","7","30","209","0","0","0","0","95","0","Fire damage +20%","Gilgamesh","Captain's Duel","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006174","✓","","",""
"Scimitar","V","Spear","","","7","30","209","0","0","0","0","95","0","Ice damage +20%","Xezat","Spellstorm Quakeburst","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006147","","","",""
"Modified Chainsaw","VI","Spear","","","7","30","209","0","0","0","0","95","0","Fire damage +20%","Edgar","Trinity Boost","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006189","✓","","",""
"Spirit Lance (DoC)","VII","Spear","","","7","30","209","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Thunder","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006163","✓","","",""
"Dragoon Lance (DoC)","VII","Spear","","","7","30","209","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Flash","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006182","✓","","",""
"Flayer (DoC)","VII","Spear","","","7","30","209","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Edge","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006193","","","",""
"Spear+ (DoC)","VII","Spear","","","7","30","209","0","0","0","0","95","0","Lightning damage +20%","Shelke","Apex Synaptic Net Dive","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006203","","","",""
"Trident","VIII","Spear","","","7","30","209","0","0","0","0","95","0","Water damage +20%","Ward","Anchoring Trio","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006186","✓","","",""
"Gourmand's Fork","IX","Spear","","","7","30","210","0","0","0","111","95","0","","Quina","Headstrong Chef","","7","30","150","","","","67","95","","9","40","230","","","","125","95","","21006187","","","",""
"Highwind","IX","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Freya","Whirl from the Cliffs","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006170","","","",""
"Chariot","X","Spear","","","7","30","209","0","0","0","0","95","0","Water damage +20%","Kimahri","Inherited Resolve","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006166","✓","","",""
"Abel's Lance","XIII","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Fang","Bahamut Assault","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006152","✓","","",""
"Ironworks Nidhogg","XIV","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Estinien","Black Dragon Dive","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006168","✓","","",""
"Holy Lance","Type-0","Spear","","","7","30","209","0","0","0","0","95","0","Wind damage +20%","Nine","Whirling Jump","","7","30","149","","","","","95","","9","40","229","","","","","95","","21006191","","","",""
"Obelisk","I","Spear","","","6","25","181","0","0","0","0","95","0","","Garland","Love or Loathe","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006132","✓","","",""
"Trident","II","Spear","","","6","25","175","0","112","0","0","95","0","","Gordon","A Leader Wakes","","6","25","129","","87","","","95","","8","35","193","","122","","","95","","21006092","✓","","",""
"Longinus","II","Spear","","","6","25","175","0","0","0","0","95","0","","Leon","Lord of Darkness","","6","25","129","","","","","95","","8","35","193","","","","","95","","21006084","✓","","",""
"Blood Lance","II","Spear","","","6","25","180","0","0","0","0","95","0","Dark damage +20%","Leon","Soul of Darkness","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006145","✓","","",""
"Holy Lance","II","Spear","","","6","25","181","0","0","0","0","95","0","","Ricard","Wyvern's Roar","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006135","✓","","",""
"Heat Lance","II","Spear","","","6","25","181","0","112","0","0","95","0","","Gordon","Rebellion's Link","","6","25","135","","87","","","95","","8","35","199","","122","","","95","","21006155","✓","","",""
"Hero's Spear","II","Spear","","","6","25","181","0","112","0","0","95","0","Fire damage +20%","Gordon","Kashuan Royal Shield","","6","25","134","","114","","","95","","8","35","198","","177","","","95","","21006165","✓","","",""
"Wyvern Lance","II","Spear","","","6","25","181","0","112","0","0","95","0","Wind damage +20%","Ricard","Last Dragoon","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006078","✓","","",""
"Dragon Lance","III","Spear","","","6","25","169","0","0","0","0","95","0","Wind damage +20%","Luneth","Heavenly Gust","","6","25","123","","","","","95","","8","35","187","","","","","95","","21006017","✓","","",""
"Blood Lance","III","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Luneth","Howling Vortex","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006142","✓","","",""
"Magic Lance","III","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Luneth","Cloud Runner","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006164","✓","","",""
"Longinus","IV","Spear","","","6","25","176","0","0","0","0","95","0","Lightning damage +20%","Kain","Luminous Dragon","","6","25","130","","","","","95","","8","35","194","","","","","95","","21006082","✓","","",""
"Kain's Lance","IV","Spear","","","6","25","178","0","0","0","0","95","0","","Kain","Impulse Drive","","6","25","132","","","","","95","","8","35","196","","","","","95","","21006107","✓","","",""
"Holy Lance","IV","Spear","","","6","25","181","0","0","0","0","95","0","","Kain","Dragon's Wrath","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006070","✓","","",""
"Brionac","IV","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Kain","Dragoon Dive","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006111","✓","","",""
"Dragoon Lance","IV","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Kain","Lance of the Dragon","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006131","✓","","",""
"Obelisk","IV","Spear","","","6","25","181","0","0","0","0","95","0","","Kain","Surging Darkness","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006157","✓","","",""
"Venus Gospel","IV","Spear","","","6","25","180","0","0","0","0","95","0","Dark damage +20%","Kain","Evil Tornado Dive","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006144","✓","","",""
"Magic Lance","IV","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Kain","Lightning Raiment (Kain)","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006158","✓","","",""
"Gilgamesh's Naginata","V","Spear","","","6","25","166","0","0","0","0","95","0","Chance to cause Paralyze","Gilgamesh","Strange Bedfellow","","6","25","120","","","","","95","","8","35","184","","","","","95","","21006055","✓","","",""
"Trident","V","Spear","","","6","25","181","0","0","0","0","95","0","","Xezat","Surgate Stratagem","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006040","","","",""
"Hyper Drill","VI","Spear","","","6","25","180","0","0","0","0","95","0","Fire damage +20%","Edgar","Bravo Drill","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006167","✓","","",""
"Heavy Lance","VI","Spear","","","6","25","181","0","0","0","0","95","0","","Edgar","King of Figaro","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006125","✓","","",""
"Prism Spear","VI","Spear","","","6","25","122","0","0","0","176","95","0","","Mog","Memory Dance","","6","25","91","","","","132","95","","8","35","134","","","","194","95","","21006161","✓","","",""
"Dragoon Lance","VII","Spear","","","6","25","177","0","0","0","0","95","0","RS: Wind damage +20%","Cid (VII)","Dynamite Boost","","6","25","131","","","","","95","","8","35","195","","","","","95","","21006095","✓","","",""
"Spirit Lance","VII","Spear","","","6","25","181","0","0","0","0","95","0","","Cid (VII)","Cid in Charge","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006113","✓","","",""
"Viper Halberd (DoC)","VII","Spear","","","6","25","181","0","0","0","0","95","0","","Shelke","Synaptic Current","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006120","✓","","",""
"Radiant Lance (DoC)","VII","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Bolt","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006156","✓","","",""
"Flayer","VII","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Cid (VII)","Dreams of Space","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006110","✓","","",""
"Crystal Lance","VII","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Cid (VII)","Smoking Dive","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006173","✓","","",""
"Trident (DoC)","VII","Spear","","","6","25","181","0","0","0","0","95","0","","Shelke","Amber Eyes","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006194","✓","","",""
"Javelin (DoC)","VII","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Spark","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006162","✓","","",""
"Mast Ax (DoC)","VII","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Shelke","Transparent Thunderbolt","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006202","","","",""
"Harpoon (DoC)","VII","Spear","","","6","25","181","0","0","0","0","95","0","","Shelke","","Subversion (Shelke)","6","25","135","","","","","95","","8","35","199","","","","","95","","21006205","","","",""
"Heavy Lance","VIII","Spear","","","6","25","181","0","0","0","0","95","0","","Ward","Anchor Rain","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006100","✓","","",""
"Obelisk","VIII","Spear","","","6","25","180","0","0","0","0","95","0","Water damage +20%","Ward","Anchor Crush","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006112","✓","","",""
"Halberd","VIII","Spear","","","6","25","181","0","0","0","0","95","0","","Ward","Quick Critical","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006172","✓","","",""
"Holy Lance","IX","Spear","","","6","25","181","0","0","0","0","95","0","","Freya","Moonblossom Dragon","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006102","✓","","",""
"Gastro Fork","IX","Spear","","","6","25","181","0","112","0","0","95","0","Chance to cause Stop","Quina","Culinary Curiosity","","6","25","135","","87","","","95","","8","35","199","","122","","","95","","21006068","✓","","",""
"Kain's Lance","IX","Spear","","","6","25","181","0","0","0","0","95","0","Chance to cause Confuse","Freya","Dragoon's Storm","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006130","✓","","",""
"Dragoon Lance","IX","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Freya","Dragon Cross","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006146","✓","","",""
"Dragon Whisker","IX","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Freya","Lunar Ray","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006139","✓","","",""
"Gungnir","IX","Spear","","","6","25","181","0","0","0","0","95","0","","Freya","Eternal Harvest","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006140","✓","","",""
"Gold Fork","IX","Spear","","","6","25","181","0","0","0","94","95","0","","Quina","Delicious Discovery!","","6","25","135","","","","63","95","","8","35","199","","","","106","95","","21006129","✓","","",""
"Platinum Fork","IX","Spear","","","6","25","181","0","0","0","94","95","0","","Quina","Self Matra Magic","","6","25","135","","","","63","95","","8","35","199","","","","106","95","","21006185","✓","","",""
"Mythril Fork","IX","Spear","","","6","25","181","0","0","0","94","95","0","","Quina","So Happy","","6","25","135","","","","63","95","","8","35","199","","","","106","95","","21006141","✓","","",""
"Knight Lance","X","Spear","","","6","25","180","0","0","0","0","95","0","Water damage +20%","Kimahri","Dragonfang Current","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006119","✓","","",""
"Mirage Lance","X","Spear","","","6","25","180","0","0","0","0","95","0","Water damage +20%","Kimahri","Azure Lance","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006149","✓","","",""
"Tidal Spear","X","Spear","","","6","25","180","0","0","0","0","95","0","Water damage +20%","Kimahri","Ronso Breath","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006159","✓","","",""
"Mythril Spear","XII","Spear","","","6","25","181","0","0","0","0","95","0","","Reks","Courageous Mind","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006123","✓","","",""
"Javelin","XII","Spear","","","6","25","180","0","0","0","0","95","0","Lightning damage +20%","Reks","Dalmascan Oath","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006047","✓","","",""
"Dragon Whisker","XII","Spear","","","6","25","181","0","0","0","0","95","0","","Basch","Faith Shield","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006044","✓","","",""
"Banescissor Spear","XIII","Spear","","","6","25","169","0","0","0","0","95","0","RS: Wind damage +20%","Fang","Soaring Spear","","6","25","123","","","","","95","","8","35","187","","","","","95","","21006079","✓","","",""
"Shamanic Spear","XIII","Spear","","","6","25","181","0","0","0","0","95","0","","Fang","Bahamut Dive","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006076","✓","","",""
"Calamity Spear","XIII","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Fang","Gran Pulse Stormspear","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006118","✓","","",""
"Taming Pole","XIII","Spear","","","6","25","181","0","0","0","0","95","0","","Fang","Whim of Ragnarok","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006126","✓","","",""
"Gae Bolg","XIII","Spear","","","6","25","181","0","0","0","0","95","0","","Fang","Devoted Warriors","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006138","✓","","",""
"Venus Gospel","XIII","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Fang","Destruction Dive","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006136","✓","","",""
"Laevateinn","XIII","Spear","","","6","25","181","0","0","0","0","95","0","","Fang","Dragon Blast","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006143","✓","","",""
"Gae Bolg","XIV","Spear","","","6","25","179","0","0","0","0","95","0","","Estinien","Skydragon Dive","","6","25","133","","","","","95","","8","35","197","","","","","95","","21006108","✓","","",""
"Shire Halberd","XIV","Spear","","","6","25","181","0","0","0","0","95","0","","Estinien","","Re-action (Estinien)","6","25","135","","","","","95","","8","35","199","","","","","95","","21006190","✓","","",""
"Rhongomiant","XIV","Spear","","","6","25","181","0","0","0","0","95","0","","Estinien","Crimson Dragoon","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006169","✓","","",""
"Stoss Spear","XV","Spear","","","6","25","176","0","0","0","0","95","0","","Aranea","Highwind (XV)","","6","25","130","","","","","95","","8","35","194","","","","","95","","21006097","✓","","",""
"Storm Lance","XV","Spear","","","6","25","181","0","0","0","0","95","0","","Ignis","Regroup","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006127","✓","","",""
"Stoss Spear+","XV","Spear","","","6","25","181","0","0","0","0","95","0","Lightning damage +20%","Aranea","True Highwind","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006121","✓","","",""
"Holy Lance","FFT","Spear","","","6","25","181","0","0","0","0","95","0","Earth damage +20%","Meliadoul","Unyielding Blade: Crush Accessory","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006122","","","",""
"Shapeshifter","Type-0","Spear","","","6","25","181","0","0","0","0","95","0","","Nine","Whirling Lance","","6","25","135","","","","","95","","8","35","199","","","","","95","","21006103","✓","","",""
"Wyvern Horn","Type-0","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Nine","Laser Lance","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006150","✓","","",""
"Knight's Lance","Type-0","Spear","","","6","25","180","0","0","0","0","95","0","Wind damage +20%","Nine","Javelin Throw","","6","25","134","","","","","95","","8","35","198","","","","","95","","21006115","✓","","",""
"Obsidian Spear","Core","Spear","","","5","20","129","0","0","0","0","95","0","","-","Spiral Charge","","5","20","94","","","","","95","","7","30","146","","","","","95","","21006086","","","",""
"Demon Spear","II","Spear","","","5","20","108","0","67","0","0","95","0","","Gordon","Flames of Kashuan","","5","20","75","","42","","","95","","7","30","124","","80","","","95","","21006013","✓","","",""
"Flame Lance","II","Spear","","","5","20","112","0","0","0","0","95","0","","Ricard","Wyvern","","5","20","79","","","","","95","","7","30","128","","","","","95","","21006021","✓","","",""
"Gungnir","II","Spear","","","5","20","130","0","68","0","0","95","0","","Gordon","Kashuan's Resolve","","5","20","95","","45","","","95","","7","30","147","","80","","","95","","21006067","✓","","",""
"Radiant Lance","II","Spear","","","5","20","135","0","68","0","0","95","0","","Gordon","Egil's Blaze","","5","20","100","","45","","","95","","7","30","152","","80","","","95","","21006081","✓","","",""
"Abel's Lance","II","Spear","","","5","20","141","0","0","0","0","95","0","","Ricard","Pride of Deist","","5","20","106","","","","","95","","7","30","158","","","","","95","","21006066","✓","","",""
"Obelisk","II","Spear","","","5","20","147","0","0","0","0","95","0","","Leon","","Knight Superior","5","20","112","","","","","95","","7","30","164","","","","","95","","21006106","✓","","",""
"Partisan","II","Spear","","","5","20","147","0","68","0","0","95","0","","Gordon","Brotherly Redemption","","5","20","112","","45","","","95","","7","30","164","","80","","","95","","21006083","✓","","",""
