"Realm","Character","Img","Name","Tier","Effect","Master","Relic","Name (JP)","ID","Anima"
"IV","Rosa","","Patrician Beauty","LMR","25% chance to dualcast White Magic abilities","MND +10","Selene Bow (IV)","美しき貴族の娘","201040603","4"
"IV","Rosa","","Fruits of Kindness","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability","MND +10","Rosa's Tiara (IV)","慈愛の恵み","201040604",""
"IV","Edward","","Princely Performance","-","Support abilities deal 15% more damage","","-","王子の演奏","201040700",""
"IV","Edward","","Call of Courage","-","75% chance to remove Poison, Silence, Blind and Confuse to the user after being afflicted with Poison, Silence, Blind or Confuse","","-","呼び覚まされた勇気","201040701",""
"IV","Edward","","Gifted Bard","LMR","Increases the duration of stat buffs by 30%","ATK +10","Requiem Harp (IV)","才能溢れる吟遊詩人","201040702","1"
"IV","Edward","","Man of Courage","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Loki Harp (IV)","勇気のある男","201040703","4"
"IV","Yang","","Master of Monks","-","Monk abilities deal 15% more damage","","-","モンク僧の兵長","201040800",""
"IV","Yang","","Heightened Prowess","-","35% chance to dualcast Monk abilities","","-","武芸を極めし猛者","201040801",""
"IV","Yang","","Mind and Body","LMR","Monk abilities deal 25% more damage when equipping a fist weapon","ATK +10","Yang's Guise (IV)","強靭な心身","201040802","1"
"IV","Palom","","Sibling Antics","-","BLK attacks deal 10% more damage","","-","生意気な弟","201040900",""
"IV","Palom","","Mysidia's Black Star","-","35% chance to dualcast Black Magic abilities","","-","ミシディアの黒き星","201040901",""
"IV","Palom","","Mischief Lover","LMR","Grants [Attach Lightning] at the beginning of the battle","MAG +10","Hypno Crown (IV)","いたずら好きの少年","201040902","1"
"IV","Palom","","Eager Prodigy","LMR","BLK attacks deal 25% more damage when equipping a rod","MAG +10","Sage's Robe (IV)","賢者への憧れ","201041003","4"
"IV","Porom","","Precocious Sister","-","WHT abilities restore 15% more HP","","-","おませな姉","201041000",""
"IV","Porom","","Mysidia's White Star","-","35% chance to dualcast White Magic abilities","","-","ミシディアの白き星","201041001",""
"IV","Porom","","Busybody","LMR","35% chance to grant [Quick Cast 1] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Tabby Suit (IV)","世話焼きな少女","201041002","1"
"IV","Porom","","Sisterly Guidance","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability","MND +10","Faerie Tail (IV)","大人びた姉","201041004",""
"IV","Tellah","","Keen Insight","-","BLK attacks deal 10% more damage","","-","魔道への深き見識","201041100",""
"IV","Tellah","","Renowned Sage","-","MAG +1% for each hit dealt with damaging BLK attacks, up to +30%","","-","鬼才と呼ばれし賢者","201041101",""
"IV","Tellah","","Sage's Acumen","LMR","Increases the duration of stat buffs by 30%","MAG +10","Magus Robe (IV)","賢者の本領","201041102","1"
"IV","Tellah","","Learned Sage","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Cypress Pole (IV)","すべての魔法を体得せし者","201041103","4"
"IV","Tellah","","Famed Sage","LMR","25% chance to dualcast abilities that deal Earth damage","MAG +10","Rod of Faith (IV)","名高き老魔道士","201041104",""
"IV","Edge","","Passionate Prince","-","Increases Water damage dealt by 10%","","-","激情の王子","201041200",""
"IV","Edge","","Spirit of Eblan","-","35% chance to dualcast Ninja abilities","","-","エブラーナ流の真髄","201041201",""
"IV","Edge","","Eblan's Legacy","LMR","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Edge's Cloak (IV)","エブラーナの秘技","201041202","1"
"IV","Edge","","Unequaled Master","LMR","25% chance to cast Unequaled Master after using a Ninja ability","ATK +10","Shuriken (IV)","破天荒な若様","201041203","4"
"IV","Fusoya","","Moon's Wisdom","-","BLK or WHT attacks deal 10% more damage","","-","月の叡智","201041300",""
"IV","Fusoya","","Guardian of Worlds","-","35% chance to dualcast Black Magic or White Magic abilities","","-","二つの星を見守る番人","201041301",""
"IV","Fusoya","","Watcher of Worlds","LMR","Grants [Attach Holy] at the beginning of the battle","MND +10","Glass Mask (IV)","二星を見守る者","201041302",""
"IV","Golbez","","Archfiend Mastermind","-","Increases Dark damage dealt by 10%","","-","四天王を束ねる者","201041400",""
"IV","Golbez","","Mage of Grandeur","-","Grants [Last Stand] and [Sentinel] at the beginning of the battle","","-","威厳溢れる魔人","201041401",""
"IV","Golbez","","Air of Intimidation","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Golbez's Bascinet (IV)","黒き威圧感","201041402","1"
"IV","Golbez","","Darkest Mage","LMR","25% chance to dualcast Darkness abilities","MAG +10","Earthbreaker (IV)","暗黒の魔道士","201041403","4"
"IV","Cid (IV)","","Born Engineer","-","Increases Lightning damage dealt by 10%","","-","生粋の職人気質","201041500",""
"IV","Cid (IV)","","Airship Aficionado","-","30% chance to cause [Imperil Lightning 10% (15s)] to the target after using a Lightning attack on an enemy","","-","飛空艇を愛する名技師","201041501",""
"IV","Cid (IV)","","Seasoned Fortitude","LMR","Grants [Last Stand] and [Hailstorm] for 25 seconds when HP fall below 20%","ATK +10","Cid's Mask (IV)","オヤジのバイタリティ","201041502","1"
"IV","Cid (IV)","","Unselfish Disposition","LMR","Grants [Attach Lightning] at the beginning of the battle","ATK +10","Triton's Hammer (IV)","世話好きな性分","201041503","4"
"IV","Ceodore","","Ascendant Prince","-","Knight abilities deal 15% more damage","","-","若き王子の志","201041800",""
"IV","Ceodore","","Fledging Red Wings","-","35% chance to cast an ability (NAT: single, restores HP for 40% of the target's maximum HP) after using a Knight ability","","-","新たなる赤き翼","201041801",""
"IV","Ceodore","","His Father's Justice","LMR","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%","ATK +10","Genji Helm (IV)","父譲りの正義感","201041802","1"
"IV","Ceodore","","Purest Prince","LMR","Grants [Attach Holy] at the beginning of the battle","ATK +10","Ceodore's Guise (IV)","純真なる貴公子","201041803",""
"IV","Ceodore","","Divine Bloodline","LMR","25% chance to dualcast abilities that deal Holy damage","ATK +10","Diamond Sword (IV)","聖なる血を継ぐ者","201041804",""
"IV","Ursula","","Youthful Memories","-","Monk abilities deal 15% more damage","","-","幼き日の記憶","201042100",""
"IV","Ursula","","Father's Legacy","-","ATK +2% for each hit dealt with Monk abilities, up to +50%","","-","父が認めし武才","201042101",""
"IV","Ursula","","Back Unbent","LMR","25% chance to dualcast Monk abilities","ATK +10","Ursula's Dress (IV)","強き背を追って","201042102","1"
"IV","Ursula","","Filial Devotion","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Kaiser Knuckles (IV)","師父と歩む道","201042103","4"
"IV","Rubicante","","Chief Archfiend","-","Increases Fire damage dealt by 10%","","-","四天王のリーダー格","201042000",""
"IV","Rubicante","","Grudging Respect","-","35% chance to dualcast abilities that deal Fire damage","","-","勇者への敬意","201042001",""
"IV","Rubicante","","Red-cloaked Terror","LMR","Grants [Attach Fire] at the beginning of the battle","MAG +10","Dual Claw (IV)","紅きマントの武人","201042002","2"
"IV","Rubicante","","Fiercest Fiend","LMR","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Black Magic ability on an enemy","MAG +10","Rod of Fire (IV)","四天王最強の魔物","201042003",""
"IV","Barbariccia","","Conceit","-","Increases Wind damage dealt by 10%","","-","高慢なる態度","201042200",""
"IV","Barbariccia","","Tower Master","-","35% chance to dualcast abilities that deal Wind damage","","-","妖艶なる塔の支配者","201042201",""
"IV","Barbariccia","","Ruler of the Wind","LMR","Grants [Attach Wind] at the beginning of the battle","MAG +10","Barbariccia's Guise (IV)","風を操る妖女","201042202","1"
"V","Lenna","","Princess's Love","-","WHT abilities restore 15% more HP","","-","姫の慈愛","201050200",""
"V","Lenna","","Overflowing Love","-","40% chance to grant [Heals +30%] to the user after using a WHT ability or soulbreak","","-","慈愛に満ちた心","201050201",""
"V","Lenna","","Impartial Kindness","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability, can trigger on dualcasts","MND +10","Laurel Crown (V)","わけへだてなき優しさ","201050202","1"
"V","Galuf","","Walker of Worlds","-","Monk abilities deal 15% more damage","","-","第二世界の烈士","201050500",""
"V","Galuf","","Timeless Valor","-","ATK +2% for each hit dealt with Monk abilities, up to +50%","","-","後世に伝えし勇猛","201050501",""
"V","Galuf","","Priceless Experience","LMR","25% chance to dualcast Monk abilities","ATK +10","Kenpogi (V)","豊かなる経験","201050502","1"
"V","Galuf","","Old and Bold","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Tiger Mask (V)","歴戦の勇士の勘","201050503","4"
"V","Galuf","","Regal Nature","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Lambent Hat (V)","王の資性","201050504","4"
"V","Gogo (V)","","Profound Mimic","-","Increases Water damage dealt by 10%","","-"," 謎多きものまね名人 ","201050600",""
"V","Gogo (V)","","Quintessential Mimicry","-","35% chance to dualcast abilities that deal Water damage","","-","ものまねの神髄 ","201050601",""
"V","Gogo (V)","","Waterlogged Misfit","LMR","Water attacks deal 25% more damage when equipping a rod","MAG +10","Power Rod (V)","水底の変わり者","201050602","1"
"V","Gogo (V)","","Subversion (Gogo (V))","LMR+","Causes [Imperil Water 10% (15s)] after using three Water abilities","MAG +10","Mythril Knife (V)","耐降【ものまねしゴゴ】","201050603",""
"V","Gilgamesh","","Dark Sage's Hand","-","PHY attacks deal 10% more damage","","-","暗黒魔道士の右腕","201050701",""
"V","Gilgamesh","","Desperate Obligation","-","Grants [Protect], [Shell], [Haste] and [Gilgamesh Trance] when HP fall below 20%","","-","命がけの義理人情","201050702",""
"V","Gilgamesh","","Hero's Kindness","LMR","25% chance to dualcast Samurai abilities","ATK +10","Golden Armor (V)","厚情なる豪傑","201050703","1"
"V","Gilgamesh","","Melodramatic Swordsman","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Assassin's Dagger (V)","有情なる剣豪","201050704","4"
"V","Bartz","","Tempered Spellblade","-","Spellblade abilities deal 15% more damage","","-","鍛えられし魔法剣","201050100",""
"V","Bartz","","Twinstrike Champion","-","35% chance to dualcast Spellblade abilities","","-","連続魔法剣の真髄","201050101",""
"V","Bartz","","Fragments of Grace","LMR","10% chance to dualcast Spellblade abilities twice","ATK +10","Maximillian (V)","クリスタルのかけらの加護","201050102","1"
"V","Bartz","","Hereditary Skill","LMR","Spellblade abilities deal 25% more damage when equipping a sword","ATK +10","Golden Shield+ (V)","受け継がれし戦士の技","201050103","4"
"V","Faris","","Sarisa's Memory","-","Support abilities deal 15% more damage","","-","サリサの記憶","201050900",""
"V","Faris","","Forgotten Family","-","Increases the duration of stat debuffs by 40%","","-","蘇りし肉親との思い出","201050901",""
"V","Faris","","Warrior Princess","LMR","Increases damage dealt by 3/6/9/12/20% if 1/2/3/4/5 of the target's stats are lowered","ATK +10","Faris's Epaulet (V)","勇ましき王女","201050902","1"
"V","Faris","","Rabble Wrangler","LMR","25% chance to dualcast Thief abilities","ATK +10","Longinus (V)","荒くれ者を統べる者","201050903","4"
"V","Faris","","Disguised Princess","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +10","Thief's Gloves (V)","男装のお姫様","201050904","4"
"V","Faris","","First Princess","LMR","PHY attacks deal 20% more damage when equipping a bow","ATK +10","Magic Bow (V)","タイクーンの第1王女","201050905",""
"V","Dorgann","","Courage of Conviction","-","Knight abilities deal 15% more damage","","-","勇気ある決断","201051000",""
"V","Dorgann","","Crystal Champion","-","35% chance to dualcast Knight abilities","","-","クリスタルを見守りし者","201051001",""
"V","Dorgann","","Wandering Adventurer","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Bastard Sword (V)","大地を歩んだ冒険者","201051002","1"
"V","Dorgann","","Warrior of Regole","LMR","20% chance to cause [Imperil Earth 10% (15s)] to the target after using an Earth attack on an enemy","ATK +10","Crystal Shield (V)","ルゴルの戦士","201051003","4"
"V","Exdeath","","Evil Incarnate","-","Increases Dark damage dealt by 10%","","-","邪木の化身","201051100",""
"V","Exdeath","","Reign of Chaos","-","35% chance to dualcast abilities that deal Dark damage","","-","乱されし宇宙の法則","201051101",""
"V","Exdeath","","Born of Evil","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Exdeath's Visage (V)","邪心より出でし魔道士","201051102","1"
"V","Exdeath","","Tree Most Foul","LMR","BLK and WHT attacks deal 25% more damage when equipping a staff","MAG +10","Chaos Mace (V)","邪心宿りし大樹","201051103",""
"V","Krile","","Boundless Affection","-","Increases Fire damage dealt by 10%","","-","かぎりない愛情","201051200",""
"V","Krile","","Grandfather's Footsteps","-","30% chance to grant [Quick Cast 3] to the user after using a Fire attack","","-","宿りし祖父の魂","201051201",""
"V","Krile","","Unbridled Enthusiasm","LMR","Grants [Attach Fire] at the beginning of the battle","MAG +10","Krile's Dress (V)","熱意あふれる少女","201051202","1"
"V","Krile","","A Granddaughter's Drive","LMR","25% chance to dualcast abilities that deal Fire damage","MAG +10","Cat-ear Hood (V)","祖父譲りの行動力","201051203","4"
"V","Krile","","Innate Cheer","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Minerva Bustier (V)","持ち前の明るさ","201051204","4"
"V","Krile","","Natural Connection","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Carmagnole (V)","動物たちとの繋がり","201051205","4"
"V","Xezat","","Veteran Swordsman","-","Spellblade abilities deal 15% more damage","","-","老練なる剣士","201051600",""
"V","Xezat","","Warrior King","-","35% chance of smart ether 1 to the user after using a Ice attack","","-","兵法に長けた老王","201051601",""
"V","Xezat","","Head of the Fleet","LMR","25% chance to dualcast Spellblade abilities","ATK +10","Xezat's Gauntlets (V)","船団を率いし器","201051602","1"
"V","Xezat","","Master of Surgate","LMR","Spellblade abilities deal 25% more damage when equipping a sword","ATK +10","Xezat's Cloak (V)","サーゲイト城の主","201051603","4"
"V","Kelger","","Detester of Evil","-","Increases Earth damage dealt by 10%","","-","悪を憎む戦士","201051700",""
"V","Kelger","","Leader of the Pack","-","30% chance to grant [Quick Cast 3] to the user after using a Ninja ability","","-","ウェアウルフの長","201051701",""
"V","Kelger","","Nimble Werewolf","LMR","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Kelger's Cloak (V)","敏速なるウェアウルフ","201051702","1"
"V","Kelger","","Undimmed Justice","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Triton's Dagger (V)","衰えぬ正義の心","201051703","4"
"V","Kelger","","Dying Breath","LMR","25% chance to dualcast Ninja abilities","ATK +10","Ashura (V)","病に負けぬ志","201051704","4"
"VI","Terra","","Esperbond","-","Increases Fire damage dealt by 10%","","-","絆を結びしハーフ","201060100",""
"VI","Terra","","Magitek Warrior","-","Restores HP for 100% of the user's maximum HP and grants [Terra Trance] when HP fall below 20%","","-","真なる魔導","201060101",""
"VI","Terra","","Innate Power","LMR","25% chance to dualcast abilities that deal Fire damage","MAG +10","Asura's Rod (VI)","天性の魔導","201060102","1"
"VI","Terra","","Meaning of Love","LMR","Grants [Attach Fire] at the beginning of the battle","MAG +10","Meister Rod (VI)","愛の意味を知った少女","201060103","4"
"VI","Terra","","Savior's Gift","LMR","Grants [Attach Wind] at the beginning of the battle","MAG +10","Healing Rod (VI)","未来を守る力","201060104","4"
"VI","Locke","","Ardent Adventurer","-","Increases Fire damage dealt by 10%","","-","冒険への熱中","201060300",""
"VI","Locke","","Phoenix's Charge","-","Restores HP for 100% of the user's maximum HP and grants [Phoenix Mode] when HP fall below 20%","","-","フェニックスの加護","201060301",""
"VI","Locke","","Burning Desire","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Locke's Armguard (VI)","秘宝を求めし熱情","201060302","1"
"VI","Locke","","On the Rebound","LMR","25% chance to dualcast abilities that deal Fire damage","ATK +10","Brigand's Gloves (VI)","再起するトレジャーハンター","201060303","4"
"VI","Celes","","Rune Knight Blademaster","-","Spellblade abilities deal 15% more damage","","-","ルーンナイトの剣技","201060400",""
"VI","Celes","","Rune Knight Soulmaster","-","Exploiting elemental weakness grants 50% more Soul Break points (additive with the default 50% bonus)","","-","ルーンナイトの神技","201060401",""
"VI","Celes","","Rune Knight Spellmaster","LMR","25% chance to dualcast Spellblade abilities","ATK +10","Celes's Cloak (VI)","ルーンナイトの妙技","201060402","1"
"VI","Celes","","Rebel Knight","LMR","Grants [Attach Ice] at the beginning of the battle","ATK +10","Platinum Shield (VI)","反旗の魔導戦士","201060403","4"
"VI","Mog","","Proven Pom-Pom","-","WHT abilities restore 15% more HP","","-","頼れる親分","201060500",""
"VI","Mog","","Dance Lover","-","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability","","-","踊りを愛する者","201060501",""
"VI","Mog","","Boss Moogle","LMR","Increases the duration of stat buffs by 30%","MND +10","Pixie's Scythe (VI)","モーグリ族の長","201060502","1"
"VI","Mog","","Moogle Survivor","LMR","25% chance to cast an ability (NAT: group, ATK/MAG/MND -30%) after using a Dancer ability","MND +10","White Cape (VI)","モーグリ族の生き残り","201060503","4"
"VI","Mog","","Dancing Death","LMR","Grants [Quick Cast 3] at the beginning of the battle","MND +10","Gungnir (VI)","華麗に舞う戦士","201060504","4"
"VI","Mog","","Hastening (Mog)","LMR+","Grants [Quick Cast 3] after using three Dancer/Dragoon abilities","MND +10","Mage's Hat (VI)","短縮【モグ】","201060505",""
"VI","Edgar","","To the Manner Born","-","Machinist abilities deal 15% more damage","","-","レディへの礼儀","201060600",""
"VI","Edgar","","Long Live the King","-","35% chance to dualcast Machinist abilities","","-","国を統べる若き王","201060601",""
"VI","Edgar","","Master of Machines","LMR","10% chance to dualcast Machinist abilities twice","ATK +10","Genji Shield (VI)","機械文明の牽引者","201060602","1"
"VI","Edgar","","Awkward Inventor","LMR","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Machinist ability on an enemy","ATK +10","Edgar's Sword (VI)","ヘンな武器開発","201060603","4"
"VI","Sabin","","Fiery Honor","-","Increases Fire damage dealt by 10%","","-","熱き義侠心","201060700",""
"VI","Sabin","","Master's Secrets","-","35% chance to dualcast abilities that deal Fire damage","","-","修得せし奥義","201060701",""
"VI","Sabin","","Master's Teachings","LMR","ATK +2% for each hit dealt with Monk abilities, up to +34%","ATK +10","Vishnu Vest (VI)","師の教え","201060702","1"
"VI","Sabin","","Boisterous Brawler","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Sonic Knuckles (VI)","闘志溢れる格闘家","201060703","4"
"VI","Shadow","","Murderous Method","-","Ninja abilities deal 15% more damage","","-","暗殺の技法","201060800",""
"VI","Shadow","","Heat of Battle","-","35% chance to dualcast Ninja abilities","","-","戦いの中に生きる者","201060801",""
"VI","Shadow","","Cloak of Darkness","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Black Hood (VI)","闇に棲む暗殺者","201060802","1"
"VI","Shadow","","Man of Action","LMR","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Black Garb (VI)","多くを語らぬ凄腕","201060803","4"
"VI","Cyan","","Path of Vengeance","-","Samurai abilities deal 15% more damage","","-","仇討ちの旅路","201060900",""
"VI","Cyan","","True Conviction","-","35% chance to dualcast Samurai abilities","","-","迷い断ちし真の武人","201060901",""
"VI","Cyan","","Self Reliance","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Cyan's Bracer (VI)","己の信ずる道","201060902","1"
"VI","Gau","","Dried Meat Connoisseur","-","PHY attacks deal 10% more damage","","-","ほしにくだいすき","201061000",""
"VI","Gau","","Natural Instincts","-","35% chance to dualcast Combat or Celerity abilities","","-","自然のままの感性","201061001",""
"VI","Gau","","Untamed Energy","LMR","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","ATK +10","Dueling Mask (VI)","野生の底力","201061002","1"
"VI","Setzer","","Taking Wing","-","Support abilities deal 15% more damage","","-","飛ぶ鳥に導かれて","201061100",""
"VI","Setzer","","Fate-Defying Bet","-","30% chance to cast an ability (PHY: single, 0.25 physical, ATK/MAG/MND -30%) after dealing damage with a Support ability","","-","運命を切り開く賭け","201061101",""
"VI","Setzer","","Second Chance","LMR","Increases the duration of stat debuffs by 30%","ATK +10","Setzer's Long Coat (VI)","蘇りしもう一つの翼","201061102","1"
"VI","Setzer","","Sky Dreams","LMR","Grants [Instant Cast 1] at the beginning of the battle, begins the round with full ATB gauge","ATK +10","Silver Card (VI)","空にかける最速の夢","201061103","4"
"VI","Setzer","","Realized Dreams","LMR","25% chance to dualcast abilities that deal Dark damage","ATK +10","Setzer's Bracers (VI)","相棒との夢のつづき","201061106",""
"VI","Strago","","Curious Naturalist","-","Increases Water damage dealt by 10%","","-","モンスターの謎を追う者","201061200",""
"VI","Strago","","Waker of Hope","-","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after taking damage from an enemy","","-","希望を呼び覚ます絆","201061201",""
"VI","Strago","","Defying Flame","LMR","25% chance to dualcast abilities that deal Water damage","MAG +10","Rod of Faith (VI)","烈火に挑む魔導の力","201061202","1"
"VI","Strago","","Depths of Power","LMR","Grants [Attach Water] at the beginning of the battle","MAG +10","Wonder Wand (VI)","秘め続けた魔導の力","201061203","4"
"VI","Relm","","Divine Pictomancer","-","WHT abilities restore 15% more HP","","-","奇跡のピクトマンサー","201061300",""
"VI","Relm","","Cat-eared Pictomancer","-","Reduces damage taken by Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks by 15%","","-","猫耳ピクトマンサー","201061301",""
"VI","Relm","","Wondrous Hues","LMR","27% chance to grant [Magical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Relm's Hat (VI)","奇跡の色彩","201061302","1"
"VI","Relm","","Stroke of Genius","LMR","25% chance to dualcast White Magic abilities","MND +10","Jade Armlet (VI)","魅惑の筆致","201061303","4"
"VI","Relm","","Ancient Blood","LMR","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Rainbow Brush (VI)","魔導士の末裔たる血","201061304","4"
"VI","Relm","","Passionate Painter","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability","MND +10","Beastmaster's Robe (VI)","絵画への情熱","201061305",""
"VI","Gogo (VI)","","Mimic's Craft","-","Mimic attacks deal 15% more damage","","-","ものまね士の技術","201061400",""
"VI","Gogo (VI)","","Perfect Likeness","-","ATK and MAG +2% for each hit dealt with Mimic attacks, up to +30%","","-","真なる模倣","201061401",""
"VI","Gogo (VI)","","Heroic Mimicry","LMR","35% chance to grant [Quick Cast 1] to the user after using a Mimic attack","ATK +5, MAG +5","Thornlet (VI)","世界を救うものまね","201061402","1"
"VI","Gogo (VI)","","Masterful Mimic","LMR","Mimic attacks deal 25% more damage","ATK +5, MAG +5","Mimic's Robe (VI)","徹底したものまね","201061403","4"
"VI","Gogo (VI)","","Hastening (Gogo (VI))","LMR+","Grants [Quick Cast 3] after using three Black Magic/Combat abilities","ATK +5, MAG +5","Black Robe (VI)","短縮【ゴゴ】","201061404",""
"VI","Umaro","","Yeti of Narshe","-","Increases Ice damage dealt by 10%","","-","ナルシェの雪男","201061500",""
"VI","Umaro","","Furry Sidekick","-","35% chance to dualcast abilities that deal Ice damage","","-","親分を慕う大きな子分","201061501",""
"VI","Umaro","","Ughaaa!","LMR","Grants [Attach Ice] at the beginning of the battle","ATK +10","Earth Mallet (VI)","ウガー！","201061502","1"
"VI","Kefka","","Maniacal Mage","-","Increases Dark damage dealt by 10%","","-","嗤う魔導士","201061600",""
"VI","Kefka","","Jester of Doom","-","30% chance to grant [Quick Cast 3] to the user after using a Dark attack","","-","破壊を謳う享楽の道化","201061601",""
"VI","Kefka","","Conniving Clown","LMR","25% chance to dualcast abilities that deal Dark damage","MAG +10","Mischief Cap (VI)","裏切りの道化師","201061602","1"
"VI","Kefka","","Destruction's Delight","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Blueleaf Flute (VI)","破壊の喜び","201061603","4"
"VI","Leo","","Imperial Conscience","-","Knight abilities deal 15% more damage","","-","ガストラ帝国の良心","201061800",""
"VI","Leo","","Noble General","-","35% chance to dualcast Knight abilities","","-","信念に殉ずる将軍","201061801",""
"VI","Leo","","In Search of Peace","LMR","PHY attacks deal 20% more damage when equipping a sword","ATK +10","Aegis Shield (VI)","和平への希望","201061802","1"
"VI","Leo","","Born General","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Imperial Bracer (VI)","根っからの武人","201061803","4"
"VII","Cloud","","Lone Wolf","-","PHY attacks deal 10% more damage","","-","孤狼","201070100",""
"VII","Cloud","","Mantle Bearer","-","35% chance to dualcast Combat abilities","","-","誇りの継承者","201070101",""
"VII","Cloud","","Sprinting Wolf","LMR","35% chance to grant [Quick Cast 1] to the user after using a Wind attack","ATK +10","Steady Light (VII)","狼の疾走","201070102","1"
"VII","Cloud","","Truth Surmounted","LMR","25% chance to dualcast abilities that deal Wind damage","ATK +10","Organics+ (VII)","真実を超克する者","201070103","4"
"VII","Cloud","","Light Seeker","LMR","35% chance to grant [Quick Cast 1] to the user after using a Dark attack","ATK +10","Cloud (KH)","光探す剣士","201070104","4"
"VII","Cloud","","Broken Illusions","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +10","Save the Queen (VII)","幻想との決別","201070105","4"
"VII","Cloud","","Borrowed Blade","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Shinra Uniform (VII)","偽りの青年剣士","201070106","4"
"VII","Cloud","","Self Forgiveness","LMR","PHY attacks deal 20% more damage when equipping a sword","ATK +10","Flametongue (VII)","己を許す決意","201070107","4"
"VII","Barret","","Hot-Blooded","-","PHY attacks deal 10% more damage","","-","屈強なる熱血漢","201070200",""
"VII","Barret","","Vermin Exterminator","-","35% chance to cast an ability (PHY: random, 7x 0.31 ranged physical Fire/NE) after using a Machinist ability","","-","未来を繋ぐ相棒","201070201",""
"VII","Barret","","Armed and Dangerous","LMR","PHY attacks deal 20% more damage when equipping a gun-arm","ATK +10","Drill Arm (VII)","誓いの右腕","201070202","1"
"VII","Barret","","Opposition Leader","LMR","25% chance to dualcast Machinist abilities","ATK +10","Chainsaw (VII)","反神羅組織のリーダー","201070203",""
"VII","Tifa","","Heroic Devotion","-","Increases Earth damage dealt by 10%","","-","健気な献身","201070300",""
"VII","Tifa","","Fighter's Instinct","-","30% chance to grant [Quick Cast 3] to the user after using a Monk ability","","-","天性の格闘センス","201070301",""
"VII","Tifa","","Brawling Barkeep","LMR","ATK +1% for each hit dealt with damaging PHY attacks, up to +35%","ATK +10","Seventh Heaven (VII)","セブンスヘブンの看板娘","201070302","4"
"VII","Tifa","","Friendly Fighter","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +10","Tifa's Guise (VII)","心温かな女闘士","201070303","1"
"VII","Tifa","","First-Class Fighter","LMR","25% chance to dualcast Monk abilities","ATK +10","Work Glove (VII)","男まさりな格闘娘","201070304","4"
"VII","Aerith","","Daughter of the Ancients","-","WHT abilities restore 15% more HP","","-","古代種の末裔","201070400",""
"VII","Aerith","","Motherly Protector","-","35% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability, can trigger on dualcasts","","-","星を見守る慈母","201070401",""
"VII","Aerith","","Flower of the Slums","LMR","25% chance to dualcast White Magic abilities","MND +10","Aerith's Jacket (VII)","スラムの花売り","201070402","1"
"VII","Red XIII","","Dire Fang","-","Support abilities deal 15% more damage","","-","獰猛な牙","201070500",""
"VII","Red XIII","","Proud Warrior","-","Increases the duration of stat buffs by 40%","","-","誇り高き戦士","201070501",""
"VII","Red XIII","","Hero's Son","LMR","Increases the duration of stat debuffs by 30%","ATK +10","Hairpin (VII)","勇者の息子","201070502","1"
"VII","Red XIII","","Elder Race","LMR","25% chance to dualcast Black Magic abilities","MAG +10","Seraph Comb (VII)","長命な種族","201070503","4"
