"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"282255","Wind Ability +30% Boost 1","Wind abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282256","Wind Ability +30% Boost 2","Wind abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282257","Fire Ability +15% Boost 1","Fire abilities deal 15% more damage, lasts for 1 turn","-","-","-"
"282258","Holy Ability +50% Boost 3","Holy abilities deal 50% more damage, lasts for 3 turns","-","-","-"
"282259","Knight +30% Boost 2","Knight abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282260","Dark +15% Boost 1","Dark attacks deal 15% more damage, lasts for 1 turn","-","-","-"
"282261 ","Dark +50% Boost 1","Dark attacks deal 50% more damage, lasts for 1 turn","-","-","-"
"282263","Holy/Fire Ability +30% Boost 1","Holy and Fire abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282264","Dark Ability +30% Boost 2","Dark abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282265","PHY +15% Boost 1","PHY attacks deal 15% more damage, lasts for 1 turn","-","-","-"
"282266","PHY +70% Boost 1","PHY attacks deal 70% more damage, lasts for 1 turn","-","-","-"
"282267","Lightning Ability +30% Boost 3","Lightning abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282268","Wind/Poison Ability +30% Boost 2","Wind and Poison abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282269","Earth Ability +50% Boost 3","Earth abilities deal 50% more damage, lasts for 3 turns","-","-","-"
"282270","Fire/Ice/Wind/Earth Ability +30% Boost 2","Fire, Ice, Wind and Earth abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282271","Water Ability +30% Boost 2","Water abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282272","Lightning Ability +20% Boost 1","Lightning abilities deal 20% more damage, lasts for 1 turn","-","-","-"
"282273","Lightning Ability +10% Boost 1","Lightning abilities deal 10% more damage, lasts for 1 turn","-","-","-"
"282274","Earth Ability +30% Boost","Earth abilities deal 30% more damage","15","-","-"
"282275","Lightning Ability +15% Boost 1","Lightning abilities deal 15% more damage, lasts for 1 turn","-","-","-"
"282276","Black Magic +30% Boost 1","Black Magic abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282277","Dark/Earth Ability +30% Boost 2","Dark/Earth abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"282278","Dark/Earth Ability +50% Boost 2","Dark/Earth abilities deal 50% more damage, lasts for 2 turns","-","-","-"
"282279","Weakness +15% Boost 1","Increases damage dealt by 15% when exploiting elemental weaknesses, lasts for 1 turn","-","-","-"
"282280","Weakness +30% Boost 3","Increases damage dealt by 30% when exploiting elemental weaknesses, lasts for 3 turns","-","-","-"
"282281","Poison Ability +30% Boost 1","Poison abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"282282","Black Magic +50% Boost 1","Black Magic abilities deal 50% more damage, lasts for 1 turn","-","-","-"
"282283","Holy/Fire Ability +15% Boost 3","Holy and Fire abilities deal 15% more damage, lasts for 3 turns","-","-","-"
"282284","Holy/Fire Ability +30% Boost 3","Holy and Fire abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282285","Holy/Fire Ability +50% Boost 3","Holy and Fire abilities deal 50% more damage, lasts for 3 turns","-","-","-"
"282286","Wind Ability +50% Boost 3","Wind abilities deal 50% more damage, lasts for 3 turns","-","-","-"
"282287","Darkness +30% Boost 3","Darkness abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282288","PHY +15% Boost 3","PHY attacks deal 15% more damage, lasts for 3 turns","-","-","-"
"282289","Water +50% Boost 1","Water attacks deal 50% more damage, lasts for 1 turn","-","-","-"
"282290","Poison Ability +50% Boost 3","Poison abilities deal 50% more damage, lasts for 3 turns","-","-","-"
"282291","Poison Ability +30% Boost 3","Poison abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"282292","Wind/Poison Ability +30% Boost 3","Wind and Poison abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"283","Steiner Trance","ATK and DEF +25%, increases Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison damage dealt by 25%","25","-","-"
"28301","Earth Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Earth damage","30","-","-"
"283001","FF I +9% Boost","Attacks dealt by FF I realm members deal 9% more damage","15","-","-"
"283002","FF II +9% Boost","Attacks dealt by FF II realm members deal 9% more damage","15","-","-"
"283003","FF III +9% Boost","Attacks dealt by FF III realm members deal 9% more damage","15","-","-"
"283004","FF IV +9% Boost","Attacks dealt by FF IV realm members deal 9% more damage","15","-","-"
"283005","FF V +9% Boost","Attacks dealt by FF V realm members deal 9% more damage","15","-","-"
"283006","FF VI +9% Boost","Attacks dealt by FF VI realm members deal 9% more damage","15","-","-"
"283007","FF VII +9% Boost","Attacks dealt by FF VII realm members deal 9% more damage","15","-","-"
"283008","FF VIII +9% Boost","Attacks dealt by FF VIII realm members deal 9% more damage","15","-","-"
"283009","FF IX +9% Boost","Attacks dealt by FF IX realm members deal 9% more damage","15","-","-"
"283010","FF X +9% Boost","Attacks dealt by FF X realm members deal 9% more damage","15","-","-"
"283011","FF XI +9% Boost","Attacks dealt by FF XI realm members deal 9% more damage","15","-","-"
"283012","FF XII +9% Boost","Attacks dealt by FF XII realm members deal 9% more damage","15","-","-"
"283013","FF XIII +9% Boost","Attacks dealt by FF XIII realm members deal 9% more damage","15","-","-"
"283014","FF XIV +9% Boost","Attacks dealt by FF XIV realm members deal 9% more damage","15","-","-"
"283015","FF XV +9% Boost","Attacks dealt by FF XV realm members deal 9% more damage","15","-","-"
"283016","Tactics +9% Boost","Attacks dealt by Tactics realm members deal 9% more damage","15","-","-"
"283017","Type-0 +9% Boost","Attacks dealt by Type-0 realm members deal 9% more damage","15","-","-"
"283018","Beyond +9% Boost","Attacks dealt by Beyond realm members deal 9% more damage","15","-","-"
"283019","FF I +15% Boost","Attacks dealt by FF I realm members deal 15% more damage","15","-","-"
"283020","FF II +15% Boost","Attacks dealt by FF II realm members deal 15% more damage","15","-","-"
"283021","FF III +15% Boost","Attacks dealt by FF III realm members deal 15% more damage","15","-","-"
"283022","FF IV +15% Boost","Attacks dealt by FF IV realm members deal 15% more damage","15","-","-"
"283023","FF V +15% Boost","Attacks dealt by FF V realm members deal 15% more damage","15","-","-"
"283024","FF VI +15% Boost","Attacks dealt by FF VI realm members deal 15% more damage","15","-","-"
"283025","FF VII +15% Boost","Attacks dealt by FF VII realm members deal 15% more damage","15","-","-"
"283026","FF VIII +15% Boost","Attacks dealt by FF VIII realm members deal 15% more damage","15","-","-"
"283027","FF IX +15% Boost","Attacks dealt by FF IX realm members deal 15% more damage","15","-","-"
"283028","FF X +15% Boost","Attacks dealt by FF X realm members deal 15% more damage","15","-","-"
"283029","FF XI +15% Boost","Attacks dealt by FF XI realm members deal 15% more damage","15","-","-"
"283030","FF XII +15% Boost","Attacks dealt by FF XII realm members deal 15% more damage","15","-","-"
"283031","FF XIII +15% Boost","Attacks dealt by FF XIII realm members deal 15% more damage","15","-","-"
"283032","FF XIV +15% Boost","Attacks dealt by FF XIV realm members deal 15% more damage","15","-","-"
"283033","FF XV +15% Boost","Attacks dealt by FF XV realm members deal 15% more damage","15","-","-"
"283034","Tactics +15% Boost","Attacks dealt by Tactics realm members deal 15% more damage","15","-","-"
"283035","Type-0 +15% Boost","Attacks dealt by Type-0 realm members deal 15% more damage","15","-","-"
"283036","Beyond +15% Boost","Attacks dealt by Beyond realm members deal 15% more damage","15","-","-"
"283037","FF I +30% Boost","Attacks dealt by FF I realm members deal 30% more damage","15","-","-"
"283038","FF II +30% Boost","Attacks dealt by FF II realm members deal 30% more damage","15","-","-"
"283039","FF III +30% Boost","Attacks dealt by FF III realm members deal 30% more damage","15","-","-"
"283040","FF IV +30% Boost","Attacks dealt by FF IV realm members deal 30% more damage","15","-","-"
"283041","FF V +30% Boost","Attacks dealt by FF V realm members deal 30% more damage","15","-","-"
"283042","FF VI +30% Boost","Attacks dealt by FF VI realm members deal 30% more damage","15","-","-"
"283043","FF VII +30% Boost","Attacks dealt by FF VII realm members deal 30% more damage","15","-","-"
"283044","FF VIII +30% Boost","Attacks dealt by FF VIII realm members deal 30% more damage","15","-","-"
"283045","FF IX +30% Boost","Attacks dealt by FF IX realm members deal 30% more damage","15","-","-"
"283046","FF X +30% Boost","Attacks dealt by FF X realm members deal 30% more damage","15","-","-"
"283047","FF XI +30% Boost","Attacks dealt by FF XI realm members deal 30% more damage","15","-","-"
"283048","FF XII +30% Boost","Attacks dealt by FF XII realm members deal 30% more damage","15","-","-"
"283049","FF XIII +30% Boost","Attacks dealt by FF XIII realm members deal 30% more damage","15","-","-"
"283050","FF XIV +30% Boost","Attacks dealt by FF XIV realm members deal 30% more damage","15","-","-"
"283051","FF XV +30% Boost","Attacks dealt by FF XV realm members deal 30% more damage","15","-","-"
"283052","Tactics +30% Boost","Attacks dealt by Tactics realm members deal 30% more damage","15","-","-"
"283053","Type-0 +30% Boost","Attacks dealt by Type-0 realm members deal 30% more damage","15","-","-"
"283054","Beyond +30% Boost","Attacks dealt by Beyond realm members deal 30% more damage","15","-","-"
"283055","Core +9% Boost","Attacks dealt by Core realm members deal 9% more damage","15","-","-"
"283056","Core +15% Boost","Attacks dealt by Core realm members deal 15% more damage","15","-","-"
"283057","Core +30% Boost","Attacks dealt by Core realm members deal 30% more damage","15","-","-"
"283058","Dark Ability +30% Boost 1","Dark abilities deal 30% more damage, lasts for 1 turn","-","-","-"
"283059","Prismatic +50% Boost","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks deal 50% more damage","15","-","-"
"283060","Dragoon +30% Boost 2","Dragoon abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"283062","Spellblade/Knight +30% Boost 3","Spellblade and Knight abilities deal 30% more damage, lasts for 3 turns","-","-","-"
"283063 ","Prismatic +50% Boost 1","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks deal 50% more damage, lasts for 1 turn","-","-","-"
"283064","Summoning +30% Boost 2","Summoning abilities deal 30% more damage, lasts for 2 turns","-","-","-"
"28311","Overflow Earth Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Earth damage capped at 99999","30","-","-"
"28312","Overflow Earth Radiant Shield: 125%","Returns 125% of the damage taken to the attacker as Earth damage capped at 99999","30","-","-"
"28313","Overflow Earth Radiant Shield: 200%","Returns 200% of the damage taken to the attacker as Earth damage capped at 99999","30","-","-"
"28314","Overflow Earth Radiant Shield: 300%","Returns 300% of the damage taken to the attacker as Earth damage capped at 99999","30","-","-"
"284","Vivi Trance","MAG +30%, 50% chance to dualcast Black Magic abilities","25","-","-"
"28401","Lightning Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Lightning damage","30","-","-"
"28411","Overflow Lightning Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Lightning damage capped at 99999","30","-","-"
"28412","Overflow Lightning Radiant Shield: 125%","Returns 125% of the damage taken to the attacker as Lightning damage capped at 99999","30","-","-"
"28413","Overflow Lightning Radiant Shield: 200%","Returns 200% of the damage taken to the attacker as Lightning damage capped at 99999","30","-","-"
"28414","Overflow Lightning Radiant Shield: 300%","Returns 300% of the damage taken to the attacker as Lightning damage capped at 99999","30","-","-"
"285","Dual Blink 1","Evades the next attack that could be evaded with Physical or Magical Blink, lower priority","-","-","Dual Blink 2"
"28501","Dark Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Dark damage","30","-","-"
"28511","Overflow Dark Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Dark damage capped at 99999","30","-","-"
"28512","Overflow Dark Radiant Shield: 125%","Returns 125% of the damage taken to the attacker as Dark damage capped at 99999","30","-","-"
"28513","Overflow Dark Radiant Shield: 200%","Returns 200% of the damage taken to the attacker as Dark damage capped at 99999","30","-","-"
"28514","Overflow Dark Radiant Shield: 300%","Returns 300% of the damage taken to the attacker as Dark damage capped at 99999","30","-","-"
"286","EX: Sky Pirate","Thief abilities deal 30% more damage, cast speed x9999999 for Thief abilities","15","-","-"
"28601","Fire Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Fire damage","30","-","-"
"28611","Overflow Fire Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Fire damage capped at 99999","30","-","-"
"28612","Overflow Fire Radiant Shield: 125%","Returns 125% of the damage taken to the attacker as Fire damage capped at 99999","30","-","-"
"28613","Overflow Fire Radiant Shield: 200%","Returns 200% of the damage taken to the attacker as Fire damage capped at 99999","30","-","-"
"28614","Overflow Fire Radiant Shield: 300%","Returns 300% of the damage taken to the attacker as Fire damage capped at 99999","30","-","-"
"287","Galian Beast","ATK, DEF, MAG, RES, MND, ACC and EVA +20%, cast speed x2.00","25","-","-"
"28701","Holy Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Holy damage","30","-","-"
"28711","Overflow Holy Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Holy damage capped at 99999","30","-","-"
"28712","Overflow Holy Radiant Shield: 125%","Returns 125% of the damage taken to the attacker as Holy damage capped at 99999","30","-","-"
"28713","Overflow Holy Radiant Shield: 200%","Returns 200% of the damage taken to the attacker as Holy damage capped at 99999","30","-","-"
"28714","Overflow Holy Radiant Shield: 300%","Returns 300% of the damage taken to the attacker as Holy damage capped at 99999","30","-","-"
"288","Summon Activate","Affects certain Burst Commands, removed if the user hasn't Burst Mode","-","-","All other ""Summoning Strike"" status"
"28801","Wind Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Wind damage","30","-","-"
"289","EX: Timeless","ATK +30%, cast speed x2.00 for Support abilities","15","-","-"
"28901","Poison Radiant Shield: 75%","Returns 75% of the damage taken to the attacker as Poison damage","30","-","-"
"290","Physical Blink Stacking 2","Allows to stack Physical Blink, up to Physical Blink 2","15","-","-"
"291","Phoenix Mode","ATK +35%, cast speed x2.00","25","-","-"
"293","Knight +15% Boost 2","Knight abilities deal 15% more damage, lasts for 2 turns","-","-","-"
"294","EX: Spellblade Barrage","ATK +30%, cast speed x2.00, casts Wind/Water/Fire/Earth Barrage after dealing damage with a Wind/Water/Fire/Earth Spellblade ability","15","-","-"
"295","Abandoned Past","Grants [High Quick Cast 1] after using a Dark attack, casts Vanishing Blade after using a Ninja ability if the user has any Physical Blink","15","-","-"
"296","Gambling Break","Grants [High Quick Cast 1] and randomly casts Deadly Spade/Club/Diamond/Heart after dealing damage with a Support ability","15","-","-"
"297","Green Cherry","ATK +150%, DEF -50%, forces a specified action, affects targeting, resets ATB when removed","-","-","All ""Retaliate"" status, Rage"
"3001","Dualcast Fire 1","Dualcasts the next Fire ability, lasts for 1 turn","-","-","-"
"3002","Dualcast Ice 1","Dualcasts the next Ice ability, lasts for 1 turn","-","-","-"
"3003","Dualcast Lightning 1","Dualcasts the next Lightning ability, lasts for 1 turn","-","-","-"
"3004","Dualcast Earth 1","Dualcasts the next Earth ability, lasts for 1 turn","-","-","-"
"3005","Dualcast Wind 1","Dualcasts the next Wind ability, lasts for 1 turn","-","-","-"
"3006","Dualcast Water 1","Dualcasts the next Water ability, lasts for 1 turn","-","-","-"
"3007","Dualcast Holy 1","Dualcasts the next Holy ability, lasts for 1 turn","-","-","-"
"3008","Dualcast Dark 1","Dualcasts the next Dark ability, lasts for 1 turn","-","-","-"
"3009","Dualcast Poison 1","Dualcasts the next Poison ability, lasts for 1 turn","-","-","-"
"3010","Dualcast Ice/Water/Lightning 1","Dualcasts the next Ice, Water or Lightning ability, lasts for 1 turn","-","-","-"
"3011","Dualcast Black Magic 1","Dualcasts the next Black Magic ability, lasts for 1 turn","-","-","-"
"3012","Dualcast White Magic 1","Dualcasts the next White Magic ability, lasts for 1 turn","-","-","-"
"30121","Pain -1","Decreases Pain level by 1 when set","-","-","-"
"30122","Pain -2","Decreases Pain level by 2 when set","-","-","-"
"3013","Dualcast Summoning 1","Dualcasts the next Summoning ability, lasts for 1 turn","-","-","-"
"3014","Dualcast Spellblade 1","Dualcasts the next Spellblade ability, lasts for 1 turn","-","-","-"
"3015","Dualcast Combat 1","Dualcasts the next Combat ability, lasts for 1 turn","-","-","-"
"3016","Dualcast Support 1","Dualcasts the next Support ability, lasts for 1 turn","-","-","-"
"3017","Dualcast Celerity 1","Dualcasts the next Celerity ability, lasts for 1 turn","-","-","-"
"3018","Dualcast Dragoon 1","Dualcasts the next Dragoon ability, lasts for 1 turn","-","-","-"
"3019","Dualcast Monk 1","Dualcasts the next Monk ability, lasts for 1 turn","-","-","-"
"3020","Dualcast Thief 1","Dualcasts the next Thief ability, lasts for 1 turn","-","-","-"
"3021","Dualcast Knight 1","Dualcasts the next Knight ability, lasts for 1 turn","-","-","-"
"3022","Dualcast Samurai 1","Dualcasts the next Samurai ability, lasts for 1 turn","-","-","-"
"3023","Dualcast Ninja 1","Dualcasts the next Ninja ability, lasts for 1 turn","-","-","-"
"3024","Dualcast Bard 1","Dualcasts the next Bard ability, lasts for 1 turn","-","-","-"
"3025","Dualcast Dancer 1","Dualcasts the next Dancer ability, lasts for 1 turn","-","-","-"
"3026","Dualcast Machinist 1","Dualcasts the next Machinist ability, lasts for 1 turn","-","-","-"
"3027","Dualcast Darkness 1","Dualcasts the next Darkness ability, lasts for 1 turn","-","-","-"
"3028","Dualcast Sharpshooter 1","Dualcasts the next Sharpshooter ability, lasts for 1 turn","-","-","-"
"3029","Dualcast Witch 1","Dualcasts the next Witch ability, lasts for 1 turn","-","-","-"
"3030","Dualcast Heavy 1","Dualcasts the next Heavy ability, lasts for 1 turn","-","-","-"
"3031","Dualcast Wind 3","Dualcasts the next Wind ability, lasts for 3 turns","-","-","-"
"3032","Dualcast Dark 3","Dualcasts the next Dark ability, lasts for 3 turns","-","-","-"
"3033","Dualcast Dark/Fire 1","Dualcasts the next Dark or Fire ability, lasts for 1 turn","-","-","-"
"3034","Dualcast Dark/Fire 2","Dualcasts the next Dark or Fire ability, lasts for 2 turns","-","-","-"
"3035","Dualcast Dark/Fire 3","Dualcasts the next Dark or Fire ability, lasts for 3 turns","-","-","-"
"3036","Dualcast Earth/Holy 1","Dualcasts the next Earth or Holy ability, lasts for 1 turn","-","-","-"
"3037","Triplecast Earth/Holy 1","Triplecasts the next Earth or Holy ability, lasts for 1 turn","-","-","-"
"3038","Quadcast Earth/Holy 1","Quadcasts the next Earth or Holy ability, lasts for 1 turn","-","-","-"
"3039","Sextcast Earth/Holy 1","Sextcasts the next Earth or Holy ability, lasts for 1 turn","-","-","-"
"3040","Dualcast Ice/Lightning 1","Dualcasts the next Ice or Lightning ability, lasts for 1 turn","-","-","-"
"3041","Dualcast Holy 2","Dualcasts the next Holy ability, lasts for 2 turns","-","-","-"
"30001","Bar Heal 1","Healing restores 10% less HP","15","-","All other ""Bar Heal"""
"30002","Bar Heal 2","Healing restores 20% less HP","15","-","All other ""Bar Heal"""
"30003","Bar Heal 3","Healing restores 30% less HP","15","-","All other ""Bar Heal"""
"30004","Bar Heal 4","Healing restores 40% less HP","15","-","All other ""Bar Heal"""
"30005","Bar Heal 5","Healing restores 50% less HP","15","-","All other ""Bar Heal"""
"30006","Bar Heal 6","Healing restores 60% less HP","15","-","All other ""Bar Heal"""
"30007","Bar Heal 7","Healing restores 70% less HP","15","-","All other ""Bar Heal"""
"30008","Bar Heal 8","Healing restores 80% less HP","15","-","All other ""Bar Heal"""
"30009","Bar Heal 9","Healing restores 90% less HP","15","-","All other ""Bar Heal"""
"30010","Bar Heal 10","Healing restores 100% less HP","15","-","All other ""Bar Heal"""
"30101","Pain 1","Take 10% more damage","15","-","All other ""Pain"""
"30102","Pain 2","Take 20% more damage","15","-","All other ""Pain"""
"30103","Pain 3","Take 30% more damage","15","-","All other ""Pain"""
"30104","Pain 4","Take 40% more damage","15","-","All other ""Pain"""
"30105","Pain 5","Take 50% more damage","15","-","All other ""Pain"""
"30106","Pain 6","Take 60% more damage","15","-","All other ""Pain"""
"30107","Pain 7","Take 70% more damage","15","-","All other ""Pain"""
"30108","Pain 8","Take 80% more damage","15","-","All other ""Pain"""
"30109","Pain 9","Take 90% more damage","15","-","All other ""Pain"""
"30110","Pain 10","Take 100% more damage","15","-","All other ""Pain"""
"3111","Dualcast Black Magic","Dualcasts Black Magic abilities","15","-","-"
"3112","Dualcast White Magic","Dualcasts White Magic abilities","15","-","-"
"3113","Dualcast Summoning","Dualcasts Summoning abilities","15","-","-"
"3114","Dualcast Spellblade","Dualcasts Spellblade abilities","15","-","-"
"3115","Dualcast Combat","Dualcasts Combat abilities","15","-","-"
"3116","Dualcast Support","Dualcasts Support abilities","15","-","-"
"3117","Dualcast Celerity","Dualcasts Celerity abilities","15","-","-"
"3118","Dualcast Dragoon","Dualcasts Dragoon abilities","15","-","-"
"3119","Dualcast Monk","Dualcasts Monk abilities","15","-","-"
"3120","Dualcast Thief","Dualcasts Thief abilities","15","-","-"
"3121","Dualcast Knight","Dualcasts Thief abilities","15","-","-"
"3131","50% Dualcast Spellblade","50% chance to dualcast Spellblade abilities","15","-","-"
"3201","Triplecast Wind 1","Triplecasts the next Wind ability, lasts for 1 turn","-","-","-"
"3202","Triplecast Fire 1","Triplecasts the next Fire ability, lasts for 1 turn","-","-","-"
"3203","Triplecast Ice 1","Triplecasts the next Ice ability, lasts for 1 turn","-","-","-"
"3204","Triplecast Lightning 1","Triplecasts the next Lightning ability, lasts for 1 turn","-","-","-"
"3205","Triplecast Earth 1","Triplecasts the next Earth ability, lasts for 1 turn","-","-","-"
"3206","Triplecast Water 1","Triplecasts the next Water ability, lasts for 1 turn","-","-","-"
"3207","Triplecast Holy 1","Triplecasts the next Holy ability, lasts for 1 turn","-","-","-"
"3208","Triplecast Dark 1","Triplecasts the next Dark ability, lasts for 1 turn","-","-","-"
"3209","Triplecast Poison 1","Triplecasts the next Poison ability, lasts for 1 turn","-","-","-"
"3301","Dualcast Spellblade 2","Dualcasts the next Spellblade ability, lasts for 2 turns","-","-","-"
"3401","Dualcast Spellblade 3","Dualcasts the next Spellblade ability, lasts for 3 turns","-","-","-"
"3402","Dualcast Poison 3","Dualcasts the next Poison ability, lasts for 3 turns","-","-","-"
"3501","Quadcast Fire 1","Quadcasts the next Fire ability, lasts for 1 turn","-","-","-"
"3504","Quadcast Lightning 1","Quadcasts the next Lightning ability, lasts for 1 turn","-","-","-"
"3601","Quintcast Fire 1","Quintcasts the next Fire ability, lasts for 1 turn","-","-","-"
"4001","Empower Healing 30%","Increases healing received by 30%","15","-","-"
"5001","Soulbreak Hone Stat Boost 1 (15s)","ATK, DEF, MAG, RES and MND +1%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5002","Soulbreak Hone Stat Boost 2 (15s)","ATK, DEF, MAG, RES and MND +2%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5003","Soulbreak Hone Stat Boost 3 (15s)","ATK, DEF, MAG, RES and MND +3%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5004","Soulbreak Hone Stat Boost 4 (15s)","ATK, DEF, MAG, RES and MND +4%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5005","Soulbreak Hone Stat Boost 5 (15s)","ATK, DEF, MAG, RES and MND +5%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5006","Soulbreak Hone Stat Boost 6 (15s)","ATK, DEF, MAG, RES and MND +6%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5007","Soulbreak Hone Stat Boost 7 (15s)","ATK, DEF, MAG, RES and MND +7%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5008","Soulbreak Hone Stat Boost 8 (15s)","ATK, DEF, MAG, RES and MND +8%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5009","Soulbreak Hone Stat Boost 9 (15s)","ATK, DEF, MAG, RES and MND +9%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5010","Soulbreak Hone Stat Boost 10 (15s)","ATK, DEF, MAG, RES and MND +10%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5011","Soulbreak Hone Stat Boost 11 (15s)","ATK, DEF, MAG, RES and MND +11%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5012","Soulbreak Hone Stat Boost 12 (15s)","ATK, DEF, MAG, RES and MND +12%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5013","Soulbreak Hone Stat Boost 13 (15s)","ATK, DEF, MAG, RES and MND +13%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5014","Soulbreak Hone Stat Boost 14 (15s)","ATK, DEF, MAG, RES and MND +14%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5015","Soulbreak Hone Stat Boost 15 (15s)","ATK, DEF, MAG, RES and MND +15%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5016","Soulbreak Hone Stat Boost 16 (15s)","ATK, DEF, MAG, RES and MND +16%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5017","Soulbreak Hone Stat Boost 17 (15s)","ATK, DEF, MAG, RES and MND +17%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5018","Soulbreak Hone Stat Boost 18 (15s)","ATK, DEF, MAG, RES and MND +18%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5019","Soulbreak Hone Stat Boost 19 (15s)","ATK, DEF, MAG, RES and MND +19%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5020","Soulbreak Hone Stat Boost 20 (15s)","ATK, DEF, MAG, RES and MND +20%","15","-","All other ""Soulbreak Hone Stat Boon X"""
"5021","Soulbreak Hone Stat Boon 1 (25s)","ATK, DEF, MAG, RES and MND +1%","25","-","All other ""Soulbreak Hone Stat Boon X"""
"5024","Soulbreak Hone Stat Boon 4 (25s)","ATK, DEF, MAG, RES and MND +4%","25","-","All other ""Soulbreak Hone Stat Boon X"""
"5026","Soulbreak Hone Stat Boon 6 (25s)","ATK, DEF, MAG, RES and MND +6%","25","-","All other ""Soulbreak Hone Stat Boon X"""
"5028","Soulbreak Hone Stat Boon 8 (25s)","ATK, DEF, MAG, RES and MND +8%","25","-","All other ""Soulbreak Hone Stat Boon X"""
"5030","Soulbreak Hone Stat Boon 10 (25s)","ATK, DEF, MAG, RES and MND +10%","25","-","All other ""Soulbreak Hone Stat Boon X"""
"50002","EX: Dreadwyrm Trance","SUM attacks deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Deathflare when removed","15","-","-"
"50003","Stoneskin: 100%","Reduces damage taken to 0, up to an amount equal to 100% of the character's maximum HP","-","-","-"
"50004","EX: Royal Might","ATK +30%, increases Non-Elemental damage dealt by 10%, removed if the user doesn't have any Stoneskin","15","-","-"
"50005","EX: Master Thief","Casts Steel Storm after dealing damage with a Thief ability","15","-","-"
"50006","EX: Loyal Shield","ATK +30%, cast speed x2.00 plus x0.50 for each attack used for the duration of the status, up to x6.50","15","-","-"
"50007","EX: Ace","ATK +30%, casts Run & Shoot after dealing damage with a Water attack","15","-","-"
"50008","Mad Delights Counter","Keeps track of the number of uses of Mad Delights, removed if the user hasn't Burst Mode, reset upon refreshing Burst Mode","-","-","-"
"50009","Dark Quick Cycle","Grants [Quick Cast 1] after using a Dark attack","15","-","-"
"50010","Battle Bard 1","Used to determine the effect of Warrior's Hymn","10","-","Battle Bard 2, Battle Bard 3, Battle Bard 4"
"50011","Battle Bard 2","Used to determine the effect of Warrior's Hymn","10","-","Battle Bard 1, Battle Bard 3, Battle Bard 4"
"50012","Battle Bard 3","Used to determine the effect of Warrior's Hymn","10","-","Battle Bard 1, Battle Bard 2, Battle Bard 4"
"50013","Battle Bard 4","Used to determine the effect of Warrior's Hymn","10","-","Battle Bard 1, Battle Bard 2, Battle Bard 3"
"50014","Mystic Bard 1","Used to determine the effect of Mage's Hymn","10","-","Mystic Bard 2, Mystic Bard 3, Mystic Bard 4"
