"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Fusoya","Lunarian Chronicles","Lunar Seal","2","Holy","WHT","Single enemy","Magical","9.30","Holy, NE","1.65","Three single attacks (3.10 each), grants [Holy Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","White Magic","月光の聖印","31541041","106"
"Yang","Oboro Strike","Impassioned Fist","1","Monk","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has Frying Pan > 0, causes Frying Pan -1 to the user","Y","Lowest HP% enemy","90","Monk","愛の拳","31541044","9"
"Yang","Oboro Strike","Love's Wake","2","Monk","NAT","Self","","","","0.01","Grants [Damage Cap +10000 2] and Frying Pan +2 (max 4)","N","Self","70","Combat","愛の目覚まし","31541045","9"
"Ursula","Twin Wing Frenzy","Impassioned Palm-strike","1","Monk","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has Ladle > 0, causes Ladel -1 to the user","Y","Lowest HP% enemy","90","Monk","愛の掌底","31541047","9"
"Ursula","Twin Wing Frenzy","Tender Push","2","Monk","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 2] and Ladle +2 (max 4)","N","Self","70","Combat","母の目覚まし","31541048","9"
"Exdeath","Space Disorder","Dark Nothingness","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","黒き虚無","30541677","107"
"Exdeath","Space Disorder","Pale Nothingness","2","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each), grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","White Magic","白き虚無","30541678","106"
"Exdeath","Almagest","Void Seeker","1","Dark","BLK","Single enemy","Magical","24.40","Dark, NE","1.65","3/8 single attacks (3.05 each) if the user has Evil Heart level 0/1, grants [Quick Cast 1] to the user if the user has Evil Heart level 0, causes Evil Heart -1 to the user","Y","Lowest HP% enemy","90","Darkness","無への渇望","31540975","107"
"Exdeath","Almagest","Devouring Darkroot","2","Dark","BLK","Single enemy","Magical","-","Dark, NE","1.65","Three single attacks (3.05 each) if the user has Boundless Ambition level 0, one single attack (16.40) capped at 99999 if the user has Boundless Ambition level 1, grants [Quick Cast 1] to the user if the user has Boundless Ambition level 0","Y","Lowest HP% enemy","90","Black Magic","邪悪なる渇求","31540976","107"
"Bartz","Ethereal Bond","Transient Wind","1","Wind","PHY","Single enemy","Physical","5.70","Wind, NE","1.65","Six single attacks (0.85/0.90/0.95 each) scaling with 0/1/2+ uses","Y","Lowest HP% enemy","90","Spellblade","とどまらぬ風","30544402","104"
"Bartz","Ethereal Bond","Relentless Wind","2","Wind","PHY","Single enemy","Physical","0.90","Wind, NE","1.65","One single attack (0.90), grants [Quick Cast 2] and [Dualcast Spellblade 1] to the user","Y","Lowest HP% enemy","90","Combat","ふきやまぬ風","30544403","104"
"Bartz","Earthen Bond","Earthen Goblin Punch","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.85/0.90/0.95 each) scaling with 0/1/2+ uses","Y","Lowest HP% enemy","90","Spellblade","大地のゴブリンパンチ","31540393","103"
"Bartz","Earthen Bond","Sandstorm Shank","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [100% Critical 1] and [Quick Cast 2] to the user if 1+ FF5 allies are alive, grants [Critical Damage +50% 1] to the user if 2+ FF5 allies are alive","Y","Lowest HP% enemy","90","Spellblade","砂塵の刃","31540394","103"
"Bartz","Surging Bond","Barrage: Waterga Blade","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Spellblade","ウォタガ剣みだれうち","31540746","105"
"Bartz","Surging Bond","Dance of Streams","2","Water","NAT","Self","","","","0.01","Grants [Dualcast Spellblade 1] and [Buff Water 10% (15s)]","N","Self","70","Spellblade","流水の舞い","31540747","105"
"Lenna","White Magic Mastery","Wind Drake's Teachings","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","White Magic","飛竜の福音","30542467","2"
"Lenna","White Magic Mastery","Princess's Charity","2","White Magic, Dancer","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","王女の博愛","30542468","1002"
"Krile","Baldesion Attack","Raging Magma","1","Fire, Earth","BLK","Single enemy","Magical","19.20","Fire, Earth, NE","1.65","Six single attacks (2.90/3.05/3.20 each) scaling with 0/1/2+ uses","Y","Lowest HP% enemy","90","Black Magic","れっかのまぐま","30541914","2001"
"Krile","Baldesion Attack","Blazing Magma","2","Fire, Earth","BLK","Single enemy","Magical","18.30","Fire, Earth, NE","1.65","3/6 single attacks (3.05 each) if Galuf is not alive/alive, grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Black Magic","ぐれんのまぐま","30541915","2001"
"Faris","Precious Friend","Wind Assault","1","Wind","PHY","Single enemy","Physical","4.80","Wind, NE","0.83","Six single ranged attacks (0.80 each), causes [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","70","Thief","ウィンドアサルト","31540245","104"
"Faris","Precious Friend","Flame Assault","2","Fire","PHY","Single enemy","Physical","4.80","Fire, NE","0.83","Six single ranged attacks (0.80 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","70","Thief","フレイムアサルト","31540246","100"
"Galuf","Soul Successor","Dawn Strike","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","暁の拳打","31540365","103"
"Galuf","Soul Successor","Dawn Catalyst","2","Earth","NAT","Self","","","","1.65","Grants [Instant Cast 2]/[Critical Damage +50% 2]/[100% Critical] to the user/all allies/all allies at Memories level 0/1/2, removes Memories from the user","N","Self","100","Support","暁の使命感","31540366","103"
"Galuf","Union of the Dawn","Indomitable Fist","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with uses, 25%/50%/75%/100% additional critical chance scaling with uses","Y","Lowest HP% enemy","90","Monk","不屈の連拳","31540934","103"
"Galuf","Union of the Dawn","Undying Fist","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Earth Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Monk","不滅の連拳","31540935","103"
"Gilgamesh","Future Ally","Blade Barrage","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), grants [Samurai +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Samurai","刀剣乱打","31540368","100"
"Gilgamesh","Future Ally","Excalipoor Barrage","2","Fire","PHY","Single enemy","Physical","5.48","Fire, NE","0.01","Three single attacks (0.90 each) if the user has Blade Collection 0, twenty single attacks (0.01 each), 100% hit rate, followed by one single attack (5.28) capped at 99999 if the user has Blade Collection 1+, causes Blade Collection -1","Y","Lowest HP% enemy","60","Samurai","エクスカリパー乱打","31540369","100"
"Gogo (V)","Deep Whirlpool","Counterspell Water","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), causes [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","魔法のおかえし・水","31540874","105"
"Gogo (V)","Deep Whirlpool","Undersea Virtuoso","2","Black Magic, Bard","BLK","Single enemy","Magical","2.70","Water, NE","0.01","One single attack (2.70), grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","60","Black Magic","海底の名人芸","31540875","1013"
"Dorgann","Heroic Stand","Blades of Gravel","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","我流剣技・大地斬","31541062","103"
"Dorgann","Heroic Stand","Well-trained Sword","2","Earth","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Earth Ability +30% Boost 3]","N","Self","70","Knight","一介の剣士の実力","31541063","103"
"Xezat","Spellstorm Quakeburst","Cragfreeze Boltstrike","1","Spellblade","PHY","Single enemy","Physical","5.40","Earth, Ice, Lightning, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Spellblade","大地凍てつく轟雷","31541059","4"
"Xezat","Spellstorm Quakeburst","Spellstrike Shockfrost","2","Spellblade","PHY","Single enemy","Physical","6.00","Earth, Ice, Lightning, NE","1.65","One single attack (6.00) capped at 99999, grants [Buff Ice 10% (15s)], [Buff Earth 10% (15s)] and [Buff Lightning 10% (15s)] to the user every second activation","Y","Lowest HP% enemy","90","Spellblade","震える雷刃","31541060","4"
"Kelger","Lupine Fury","Lupine Rush","1","Ninja","PHY","Single enemy","Physical","4.80","Earth, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Ninja","ルパインラッシュ","31541056","13"
"Kelger","Lupine Fury","Lupine Ambush","2","Ninja","PHY","Single enemy","Physical","2.40","Earth, NE","0.83","Three single attacks (0.80 each), grants [Ninja +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Ninja","ルパインアンブッシュ","31541057","13"
"Terra","Inferno Cross","Burning Combo","1","Fire","BLK","Single enemy","Magical","15.25","Fire, NE","1.65","Five single attacks (3.05 each), grants [Buff Fire 10% (15s)] and [Fire +30% Boost 1]","Y","Lowest HP% enemy","90","Black Magic","バーニングコンボ","30541553","100"
"Terra","Inferno Cross","Esper Flamestrike","2","Fire","SUM","All enemies","Magical","13.80","Fire, NE","1.65","One group attack (13.80) capped at 99999","N","All enemies","90","Summoning","幻獣の炎撃","30543070","100"
"Terra","Riot Storm","Stream Combo","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","ストリームコンボ","30541652","104"
"Terra","Riot Storm","Ominous Wind","2","Wind","NAT","Self","","","","1.65","Grants [Triplecast Wind 1]","N","Self","100","Black Magic","風兆","30541653","104"
"Locke","Phoenix Heat","Hunter's Grit","1","Fire","PHY","Single enemy","Physical","5.70","Fire, NE","1.20","Six single attacks (0.85/0.90/0.95 each) scaling with Hunter's Edge uses","Y","Lowest HP% enemy","90","Thief","ハンター・ブレイブ","30548434","100"
"Locke","Phoenix Heat","Hunter's Edge","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.20","Three single attacks (0.90 each), [ATK and DEF -50% (8s)] after 1+2n uses, causes [Imperil Fire 10% (15s)] after 2+2n uses","Y","Lowest HP% enemy","90","Thief","ハンター・エッジ","30548435","100"
"Locke","Dagger Dance","Crimson Dagger","1","Fire","PHY","Single enemy","Physical","4.80","Fire, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Thief","クリムゾンダガー","31540987","100"
"Locke","Dagger Dance","Kindling Heat","2","Thief","PHY","Single enemy","Physical","2.40","Fire, NE","0.83","Three single attacks (0.80 each), causes [Imperil Fire 10% (15s)] every second activation, grants [Buff Fire 10% (15s)] to the user every second activation","Y","Lowest HP% enemy","70","Thief","バーニングアップ","31540988","10"
"Celes","Mystical Snow","Achromatic Blade","1","Ice","PHY","Single enemy","Physical","5.58","Ice, NE","1.65","Six single attacks (0.87/0.93 each) if user has Magical Blink 0/1+","Y","Lowest HP% enemy","90","Spellblade","純白の奇跡の剣","30547323","101"
"Celes","Mystical Snow","Azure Arc Blade","2","Ice","PHY","Single enemy","Physical","2.70","Ice, NE","1.65","Three single attacks (0.90 each), grants [Spellblade +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Spellblade","紺碧の軌跡の剣","30547324","101"
"Celes","Immaculate Blade","Celestial Runeblade","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), grants [Spellblade +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Spellblade","聖なる魔導の剣","31540721","106"
"Celes","Immaculate Blade","Serene Runeblade","2","Holy","PHY","Single enemy","Physical","6.00","Holy, NE","1.65","One single attacks (6.00) capped at 99999","Y","Lowest HP% enemy","90","Spellblade","静なる魔導の剣","31540722","106"
"Shadow","Devastating Carnage","Carnage Cutter","1","Dark","PHY","Single enemy","Physical","6.40","Dark, NE","0.83","1/4/8 single ranged/single/single attacks (0.80 each) if the user Physical Blink 0/1/2, grants [Physical Blink 1]/[Physical Blink 1] if the user has Physical Blink 0/1, 100% hit rate at Physical Blink 0","Y","Lowest HP% enemy","70","Ninja","修羅の刃","30549323","107"
"Shadow","Devastating Carnage","Murderous Urge","2","Dark","PHY","Single enemy","Physical","2.40","Dark, NE","0.83","Three single attacks (0.80 each), grants [Ninja +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Ninja","黒き殺意","30549324","107"
"Relm","Galaxy Prism","Draw Potion","1","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ドロウ・ポーション","31540259","2"
"Relm","Galaxy Prism","Draw Friend","2","White Magic","NAT","All allies","","","","0.01","Grants [Physical Blink 1]","N","All allies","70","Support","ドロウ・フレンド","31540260","2"
"Kefka","Rising Tone","Liftoff","1","Dark, Poison","BLK","Single enemy","Magical","18.30","Dark, Poison, NE","1.65","Six single attacks (3.05 each), grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","ケフカロケット","31540262","2005"
"Kefka","Rising Tone","Boom-Boom Ultima","2","Dark, Poison","BLK","Single enemy","Magical","16.40","Dark, Poison, NE","1.65","One single attack (16.40) capped at 99999, grants [Dark/Poison Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","どきどきアルテマ","31540263","2005"
"Mog","Snow Ensemble","Moogle Salsa","1","White Magic, Dancer","NAT","All enemies","","","","1.65","Causes [ATK and MAG -50% (8s)], restores 1500 HP to all allies","Y","All enemies","100","Dancer","モグサルサ","31540354","1002"
"Mog","Snow Ensemble","Moogle Samba","2","White Magic, Dancer","NAT","All allies","","","","1.65","Grants [Quick Cast 1]","Y","All allies","100","Dancer","モグサンバ","31540355","1002"
"Strago","Tsunami","Mighty Breath","1","Water","BLK","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each), grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Black Magic","マイティブレス","31540454","105"
"Strago","Tsunami","Secret of Thamasa","2","Water","BLK","Single enemy","Magical","16.40","Water, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","サマサの秘技","31540455","105"
"Strago","Water Spout","Tidal Winds","1","Wind, Water","BLK","Single enemy","Magical","18.30","Water, Wind, NE","1.65","Six single attacks (3.05 each), grants [Black Magic +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","タイダルウィンド","31540776","2015"
"Strago","Water Spout","Eddy Blast","2","Wind, Water","BLK","Single enemy","Magical","16.40","Water, Wind, NE","1.65","One single attack (16.40) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","エディブラスト","31540777","2015"
"Gau","Rage: Cross Cutter","Feral Claws (Feral Awakening 0)","1","Celerity, Combat","PHY","Single enemy","Physical","4.80","Wind, Lightning, NE","1.20","Six single attacks (0.80 each), grants Meat Dash +1 to the user","Y","Lowest HP% enemy","70","Celerity","あらぶるかぎづめ","31540542","1010"
"Gau","Rage: Cross Cutter","Feral Claws (Feral Awakening 1)","1","Celerity, Combat","PHY","Single enemy","Physical","8.00","Wind, Lightning, NE","1.20","Ten single attacks (0.80 each), 100% additional critical chance, causes Feral Awakening -1 to the user","Y","Lowest HP% enemy","70","Celerity","あらぶるかぎづめ","31540542","1010"
"Gau","Rage: Cross Cutter","Finishing Blow (Meat Dash 0)","2","Celerity, Combat","PHY","Single enemy","Physical","5.40","Wind, Lightning, NE","1.20","One single attack (5.40) capped at 99999, grants Feral Awakening +1 to the user","Y","Lowest HP% enemy","70","Celerity","とどめのいちげき","31540543","1010"
"Gau","Rage: Cross Cutter","Finishing Blow (Meat Dash 1)","2","Celerity, Combat","PHY","Single enemy","Physical","5.40","Wind, Lightning, NE","1.20","One single attack (5.40) capped at 99999, grants [Instant Cast 1] to the user, causes Meat Dash -1 to the user","Y","Lowest HP% enemy","70","Celerity","とどめのいちげき","31540543","1010"
"Leo","General's Rend","Photon Stones","1","Knight","PHY","Single enemy","Physical","5.40","Earth, Holy, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Knight","ロックフォトン","31540538","11"
"Leo","General's Rend","Indomitable Knight","2","Knight","PHY","Single enemy","Physical","0.90","Earth, Holy, NE","1.65","One single attack (0.90), grants [High Quick Cast 2] and [Knight +30% Boost 2] to the user","Y","Lowest HP% enemy","90","Knight","インドミタブルナイト","31540539","11"
"Edgar","Full Triple Boost","Hexaboost","1","Machinist","PHY","Single enemy","Physical","5.40","Poison, Fire, Lightning, NE","1.65","Six single ranged attacks (0.90 each), grants [Machinist +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Machinist","熱誠なる拳","31540649","16"
"Edgar","Full Triple Boost","Royal Bravery","2","Machinist","PHY","Single enemy","Physical","2.70","Poison, Fire, Lightning, NE","1.65","Three single ranged attacks (0.90 each), causes [Imperil Poison 10% (15s)], [Imperil Fire 10% (15s)] and [Imperil Lightning 10% (15s)] every second use if Sabin and Relm are not alive, causes [Imperil Prismatic 10% (15s)] every second use if Sabin or Relm are alive, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Machinist","幻影闘心","31540650","16"
"Sabin","Fiery Brotherhood","Ardent Fist","1","Monk","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), grants [Monk +30% Boost 1] and Righteous Power +1 to the user","Y","Lowest HP% enemy","90","Monk","熱誠なる拳","31540653","9"
"Sabin","Fiery Brotherhood","Ghostly Charge","2","Fire","NAT","Self","","","","0.01","Grants [Quick Cast 2], [Physical Blink 1] and Assist Power +1","N","Self","70","Monk","幻影闘心","31540654","100"
"Gogo (VI)","True Punishing Meteor","Quadra Magic","1","Combat, Black Magic","NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","1.65","Six single hybrid attacks (0.90 or 3.05 each)","Y","Lowest HP% enemy","90","Black Magic","テトラマジック","31540657","1012"
"Gogo (VI)","True Punishing Meteor","Magic Fusion","2","Combat, Black Magic","NAT","Single enemy","Hybrid","-","Fire, Ice, Wind, Earth, NE","0.01","One single hybrid attack (0.80 or 2.70), grants [Quick Cast 2] to the user if the user has Mysterious Mimic level 0, grants [Fire/Ice/Wind/Earth Ability +30% Boost 2], [Damage Cap +10000 2] and [Mimicry Mode] to the user if the user has Mysterious Mimic level 1, causes Mysterious Mimic -1 to the user","Y","Lowest HP% enemy","60","Black Magic","マジカルフュージョン","31540658","1012"
"Cloud","Apex Slash","Sonic Rush+","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.65","Six single attacks (0.90 each), grants [Wind Ability +50% Boost 1] and Mako Resonance level 1 to the user","Y","Lowest HP% enemy","90","Spellblade","ソニックラッシュ改","30547053","104"
"Cloud","Apex Slash","Slash Impact","2","Wind","PHY","Single enemy","Physical","8.00","Wind, NE","1.65","One single attack (6.00/8.00) if user has Mako Resonance level 0/1, capped at 99999, set Mako Resonance level to 0","Y","Lowest HP% enemy","90","Spellblade","スラッシュインパクト","30547054","104"
"Cloud","Meteor Rain","Hazardous Darkness","1","Dark","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [High Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Heavy","ダークネスハザード","30549398","107"
"Cloud","Meteor Rain","Climbing Charge","2","Dark","NAT","Self","","","","1.65","Grants [Heavy Charge +2], [100% Critical 1], [Critical Damage +50% 1] and [Damage Cap +80000 1]","N","Self","90","Heavy","クライムチャージ","30549399","107"
"Tifa","Zangan's Infinitude","Neo Falcon's Dive","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with uses, 25/50/75/100% additional critical chance scaling with uses","Y","Lowest HP% enemy","90","Monk","ネオ・ファルコンダイブ","30548420","103"
"Tifa","Zangan's Infinitude","Elbow Crush","2","Monk","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [Monk +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Monk","エルボークラッシュ","30548425","9"
"Tifa","Limit Combo","Grand Break","1","Earth","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","グランドブレイク","31540215","103"
"Tifa","Limit Combo","Charge Arts","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 2], grants [200% ATB 2] if user has Earth Limit Form level 1, causes Earth Limit Form -1","N","Self","70","Monk","チャージアーツ","31540216","103"
"Sephiroth","Demonic Lord","Hell's Might","1","Darkness","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Darkness","獄威","30544399","17"
"Sephiroth","Demonic Lord","Self-Oblivion","2","Darkness","NAT","Self","","","","0.01","Grants [100% Critical 1], [Critical Damage +50% 1] and [Damage Cap +80000 1]","N","Self","70","Darkness","忘我","30544400","17"
"Aerith","Blue-Eyed Sentinel","Hallowed Heart","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (85), grants [HP Stock (3000)]","N","Lowest HP% ally","70","White Magic","大いなる聖心","30542662","2"
"Aerith","Blue-Eyed Sentinel","Star Tidings","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25), grants [Last Stand] at Star Connection Level 1, grants [Soul Break Gauge +250] to the user at Star Connection Level 1, removes Star Connection from the user","N","All allies","100","White Magic","星の福音","30542663","2"
"Vincent","Beastial Claws","Fiery Dance","1","Fire","NAT","Single enemy","Hybrid","-","Fire, NE","1.65","Six single hybrid ranged attacks (0.90 or 3.05 each), causes [Imperil Fire 10% (15s)]","Y","Lowest HP% enemy","90","Black Magic","フレイムダンス","30541916","100"
"Vincent","Beastial Claws","Hell's Fire","2","Fire","NAT","Single enemy","Hybrid","-","Fire, NE","1.65","One single hybrid ranged attacks (6.00 or 16.40) capped at 99999, grants [Fire Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","90","Black Magic","ヘルズファイア","30541917","100"
"Red XIII","Soaring Comet","Grand Fang","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","グランドファング","30541347","103"
"Red XIII","Soaring Comet","Grand Howling","2","Earth","NAT","All allies","","","","1.65","Grants [Quick Cast 1], grants [Earth +30% Boost 1] to the user","N","All allies","100","Support","グランドハウリング","30541348","103"
"Reno","Our Day Off","Neo Turk Light","1","Lightning","NAT","Single enemy","Hybrid","-","Lightning, NE","1.65","Six single hybrid ranged attacks (0.90 or 3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Machinist","ネオタークス光線","31540171","102"
"Reno","Our Day Off","We're Off Duty","2","Lightning","NAT","Self","","","","0.01","Grants [Lightning Ability +50% Boost 1] and [Quick Cast 1] at Off Duty level 0, grants [Lightning Ability +50% Boost 1], [Damage Cap +80000 1] and [Instant Cast 1] if the user has Off Duty level 1, causes Off Duty -1","N","Self","70","Machinist","俺たちは休暇中","31540172","102"
"Genesis","Purgatorial Wave","Crimson Contempt","1","Fire","PHY","Single enemy","Physical","5.16","Fire, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with 0/1/2/3+ uses, 25/50/75/100% additional critical chance","Y","Lowest HP% enemy","90","Spellblade","紅き断罪","31540187","100"
"Genesis","Purgatorial Wave","Crimson Ardor","2","Fire","NAT","Self","","","","0.01","Grants [Fire Ability +30% Boost 2] and [Damage Cap +10000 2]","N","Self","70","Spellblade","紅き激情","31540188","100"
"Yuffie","Moonless Shower","Rippled Image","1","Ninja","PHY","Single enemy","Physical","6.40","Water, NE","0.83","4/6/8 single ranged attacks (0.80 each) if the user has Physical Blink 0/1/2, grants [Physical Blink 1] to the user","Y","Lowest HP% enemy","70","Ninja","水鏡・分身の術","31540224","13"
"Yuffie","Moonless Shower","Shore Leap","2","Ninja","NAT","Self","","","","0.01","Grants [Water Ability +30% Boost 1] and [Dualcast Water 1]","N","Self","70","Ninja","水畔・ 躍進の術","31540225","13"
"Yuffie","Freewheeling Erosion","Breaking Image","1","Ninja","PHY","Single enemy","Physical","6.40","Earth, NE","0.83","3/5/8 single ranged attacks (0.80 each) if the user has Physical Blink 0/1/2, grants [Physical Blink 2]/[Physical Blink 1] if the user has Physical Blink 0/1","Y","Lowest HP% enemy","70","Ninja","地鏡・分身の術","31540705","13"
"Yuffie","Freewheeling Erosion","Earthen Leap","2","Ninja","NAT","Self","","","","0.01","Grants [Quick Cast 3] and [Earth Ability +30% Boost 3]","N","Self","70","Ninja","地動・跳躍の術","31540706","13"
"Shelke","Transparent Thunder","Twinspear Thunderguard","1","Celerity","PHY","Single enemy","Physical","5.40","Lightning, NE","1.20","Six single attacks (0.90 each), grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","70","Celerity","双槍の雷守","31540375","7"
"Shelke","Transparent Thunder","Orange Bolt","2","Celerity","PHY","Single enemy","Physical","2.70","Lightning, NE","1.20","Three single attacks (0.90 each), causes [Imperil Lightning 10% (5s)] if the user has any Damage Reduction Barrier","Y","Lowest HP% enemy","70","Celerity","橙色の落雷","31540376","7"
"Cait Sith","Miraculous Luck","Happy Dice","1","Dancer","NAT","All allies","","","","1.65","Restores 1500 HP, grants [Quick Cast 1] and Planet-Saving Machine +1 to the user","N","All allies","100","Dancer","ハッピーダンス","31540378","15"
"Cait Sith","Miraculous Luck","Pleasure Dice","2","Bard","NAT","All allies","","","","0.01","Grants [HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)] and [40% Damage Reduction Barrier 1] if the user has Planet-Saving Machine level 0/1/2, removes Planet-Saving Machine from the user","N","All allies","70","Dancer","プレジャーダイス","31540379","14"
"Zack","Come Get It!","DMW Cissnei","1","Wind","PHY","Single enemy","Physical","5.40","Wind, NE","1.20","Six single attacks (0.90 each) with additional 20% critical damage","Y","Lowest HP% enemy","70","Celerity","D.M.Wシスネ","31540464","104"
"Zack","Come Get It!","DMW Angeal","2","Wind","PHY","Single enemy","Physical","2.40","Wind, NE","0.83","Three single attacks (0.80 each), grants [Wind Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","70","Celerity","D.M.Wアンジール","31540465","104"
"Angeal","White-Winged SOLDIER","Barrage of Gluttony","1","Wind, Holy","PHY","Single enemy","Physical","5.40","Wind, Holy, NE","1.65","Six single attacks (0.90 each) with additional 20% critical damage, grants [Wind Ability +30% Boost 1] to the user if Cloud or Zack are alive","Y","Lowest HP% enemy","90","Knight","暴食の連撃","31540492","2009"
"Angeal","White-Winged SOLDIER","Clutching Blow","2","Wind, Holy","PHY","Single enemy","Physical","6.00","Wind, Holy, NE","1.65","One single attack (6.00) capped at 99999, grants [40% Damage Reduction Barrier 2] to all allies if the user has Fierce Pride level 1, removes Fierce Pride from the user","Y","Lowest HP% enemy","90","Knight","強欲なる一撃","31540493","2009"
