Character,Source,Img,Name,Type,Target,Formula,Mutiplier,Element,Time,Effects,Counter,Auto Target,SB,School
Gilgamesh,Gilgamesh Scorching Time,,Cross Slash (S),PHY,Single enemy,Physical,2.60,"Fire, Wind",1.65,Five single attacks (0.52 each),Y,Lowest HP% enemy,50,Samurai
Bartz,Light of the Four,,Flurry Storm,PHY,Single enemy,Physical,2.52,"Wind, Water",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Spellblade
Bartz,Light of the Four,,Flurry Blast,PHY,Single enemy,Physical,2.52,"Fire, Earth",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Spellblade
Bartz,Woken Water,,Smash Dive,PHY,Single enemy,Physical,2.00,-,1.2,"One single attack (2.00), ATK -40% for 20 seconds, ATK +50% to the user for 20 seconds",Y,Random enemy without status,50,Thief
Bartz,Woken Water,,Spellblade Torrent,PHY,Single enemy,Physical,2.16,"Water, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Bartz,Latent Power,,Sundering Spellblade,PHY,Single enemy,Physical,1.88,"Earth, Wind",1.65,"Four single attacks (0.47 each), grants Spellblade +15% Boost 2 to the user",Y,Lowest HP% enemy,50,Spellblade
Bartz,Latent Power,,Whirling Sands,PHY,Single enemy,Physical,1.41,"Earth, Wind",1.65,"Three single attacks (0.47 each), grants Meikyo Shisui to the user for 20 seconds",Y,Lowest HP% enemy,50,Spellblade
Bartz,Call of the Wind,,Gloomy Spellblade,PHY,Single enemy,Physical,2.16,"Wind, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Bartz,Call of the Wind,,Whirling Tornado,PHY,Single enemy,Physical,1.68,"Wind, NE",1.65,"Three single attacks (0.56 each), grants Spellblade +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Spellblade
Bartz,Call of the Flame,,Spellblade Blaze,PHY,Single enemy,Physical,2.16,"Fire, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Bartz,Call of the Flame,,Crimson Instinct,PHY,Single enemy,Physical,1.68,"Fire, NE",1.65,"Three single attacks (0.56 each), grants Spellblade +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Spellblade
Faris,Beryl Serpent,,Deluge,PHY,Single enemy,Physical,2.30,-,1.65,"One single ranged attack (2.30), MAG -50% for 15 seconds",Y,Random enemy,60,Support
Faris,Beryl Serpent,,Rough Tides,PHY,Single enemy,Physical,2.30,-,1.65,"One single ranged attack (2.30), ATK -40% for 15 seconds",Y,Random enemy,60,Support
Faris,Landlubber Lambast,,Pirate Bomb,PHY,Single enemy,Physical,2.20,"Wind, Fire",1.65,"Two single ranged attacks (1.10 each), ATK -40% for 15 seconds",Y,Random enemy without status,50,Support
Faris,Landlubber Lambast,,Pirate Cannon,PHY,Single enemy,Physical,2.20,"Wind, Fire",1.65,"Two single ranged attacks (1.10 each), DEF -40% for 15 seconds",Y,Random enemy without status,50,Support
Dorgann,Uncharted Lands,,Protector's Vow,PHY,Single enemy,Physical,1.96,"Earth, Wind",1.65,"Four single attacks (0.49 each), grants Knight +15% Boost 2 to the user",Y,Lowest HP% enemy,50,Knight
Dorgann,Uncharted Lands,,Blades of Sand,PHY,Single enemy,Physical,1.41,"Earth, Wind",1.65,"Three single attacks (0.47 each), grants Meikyo Shisui to the user for 20 seconds",Y,Lowest HP% enemy,50,Knight
Exdeath,Neo Black Hole,,Black Ray,BLK,Single enemy,Magical,8.16,"Dark, NE",1.65,"Four single attacks (2.04 each), 2.86 multiplier if the user has any Doom",Y,Lowest HP% enemy,50,Black Magic
Exdeath,Neo Black Hole,,Black Storm,BLK,All enemies,Magical,6.30,"Dark, NE",1.65,"One group attack (6.30), causes Doom: 45 to the user, MAG +30% to the user for 50 seconds",Y,All enemies,60,Black Magic
Krile,Tomorrow's Promise,,Ignus Fatuus,BLK,Single enemy,Magical,8.68,"Fire, NE",1.65,"Four single attacks (2.17 each), causes Stun (9%)",Y,Lowest HP% enemy,50,Black Magic
Krile,Tomorrow's Promise,,Eruption,BLK,All enemies,Magical,6.08,"Fire, NE",1.65,"Two group attacks (3.04 each), causes Slow (16%)",Y,All enemies,50,Black Magic
Krile,Brimstone,,Consuming Flame,BLK,Single enemy,Magical,8.00,"Fire, NE",0.83,Four single attacks (2.00 each),Y,Lowest HP% enemy,50,Black Magic
Krile,Brimstone,,Blood Bloom,BLK,All enemies,Magical,6.18,"Fire, NE",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Xezat,Spellstorm Frostclash,,Roaring Frostblade,PHY,Single enemy,Physical,1.68,"Ice, Lightning",1.65,"Three single ranged attacks (0.56 each), grants Spellblade +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Spellblade
Xezat,Spellstorm Frostclash,,Chilling Stormfront,PHY,All enemies,Physical,1.30,"Ice, Lightning",1.65,"Two group ranged attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Spellblade
Kelger,Sonic Swiftness,,Lupine Claw,PHY,Single enemy,Physical,1.88,"Earth, Wind",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Ninja
Kelger,Sonic Swiftness,,Lupine Evasion,PHY,Single enemy,Physical,1.50,"Earth, Wind",0.83,"Two single attacks (0.75 each), grants Physical Blink 1 to the user",Y,Lowest HP% enemy,50,Ninja
Terra,Blood of Espers,,Chaos Fira,BLK,Single enemy,Magical,10.48,"Fire, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Terra,Blood of Espers,,Chaos Watera,BLK,Single enemy,Magical,10.48,"Water, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Terra,Finding Love,,Fire Combo,BLK,Single enemy,Magical,8.00,"Fire, NE",1.65,"Four single attacks (2.00 each), 2.49 multiplier if exploiting elemental weakness",Y,Lowest HP% enemy,50,Black Magic
Terra,Finding Love,,Fire Wave,BLK,All enemies,Magical,6.18,"Fire, NE",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Locke,Mirage Phoenix,,Mug Weapon,PHY,Single enemy,Physical,2.00,-,1.2,"One single attack (2.00), ATK and MAG -20% for 20 seconds, ATK and MAG +20% to the user for 20 seconds",Y,Random enemy,50,Thief
Locke,Mirage Phoenix,,Phoenix Buffet,PHY,Single enemy,Physical,2.16,"Fire, Holy",1.2,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Thief
Locke,On the Hunt,,Brave the Heat,PHY,Single enemy,Physical,1.88,"Fire, NE",0.83,Four single ranged attacks (0.47 each),Y,Lowest HP% enemy,50,Thief
Locke,On the Hunt,,Searing Edge,PHY,Single enemy,Physical,1.72,"Fire, NE",1.2,"Two single ranged attacks (0.86 each), ATK -50% for 20 seconds, ATK +50% to the user for 20 seconds",Y,Random enemy without status,50,Thief
Celes,Maria's Song,,Ardent Blade,PHY,Single enemy,Physical,2.16,"Holy, Fire",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Celes,Maria's Song,,Frigid Blade,PHY,Single enemy,Physical,2.16,"Holy, Ice",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Celes,Invincible Blade,,Gleaming Frostblade,PHY,Single enemy,Physical,2.32,"Holy, Ice",1.65,"Four single attacks (0.58 each), grants Spellblade +15% Boost 2 to the user",Y,Lowest HP% enemy,50,Spellblade
Celes,Invincible Blade,,Dazzling Grimblade,PHY,All enemies,Physical,1.40,"Holy, Ice",1.65,"Two group attacks (0.70 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Spellblade
Mog,Love Serenade,,Fond Memories,WHT,Single ally,Magical,3.00,Holy,0.01,"Restores HP (80), grants High Regen, damages undeads",N,Lowest HP% ally,50,White Magic
Mog,Love Serenade,,Moogle Justice,WHT,Single enemy,Magical,10.60,Holy,1.65,"One single attack (10.60), MAG -50% for 25 seconds",Y,Lowest HP% enemy,50,White Magic
Edgar,Bio Chainsaw,,Bio Attack,PHY,Single enemy,Physical,1.96,"Poison, NE",1.65,"Four single ranged attacks (0.49 each), causes Poison (7%), Blind (7%) and Silence (7%)",Y,Lowest HP% enemy,50,Machinist
Edgar,Bio Chainsaw,,Bio Bomb,PHY,All enemies,Physical,1.40,"Poison, NE",1.65,"Two group ranged attacks (0.70 each), causes Poison (11%), Blind (11%) and Silence (11%)",Y,All enemies,50,Machinist
Edgar,Trifecta Drill,,Enfeebling Flame,PHY,Single enemy,Physical,1.54,"Poison, Fire",0.83,"Two single ranged attacks (0.77 each), 20% chance to cause Imperil Fire 10% for 15 seconds",Y,Lowest HP% enemy,50,Machinist
Edgar,Trifecta Drill,,Enfeebling Bolt,PHY,Single enemy,Physical,1.54,"Poison, Lightning",0.83,"Two single ranged attacks (0.77 each), 20% chance to cause Imperil Lightning 10% for 15 seconds",Y,Lowest HP% enemy,50,Machinist
Sabin,Perdition's Phoenix,,Flame Cannon,PHY,Single enemy,Physical,1.60,"Fire, NE",1.65,"Four single attacks (0.40 each), ATK and DEF +10/20/30/40/50/60/70/80% scaling with uses to the user for 25 seconds",Y,Lowest HP% enemy,50,Monk
Sabin,Perdition's Phoenix,,Flame Volley,PHY,All enemies,Physical,1.50,"Fire, NE",1.65,Two group attacks (0.75 each),Y,All enemies,50,Monk
Shadow,Shuriken Storm,,Mark for Death,PHY,Single enemy,Physical,1.88,"Dark, NE",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Ninja
Shadow,Shuriken Storm,,Dance with Death,PHY,All enemies,Physical,1.20,"Dark, NE",0.83,Two group attacks (0.60 each),Y,All enemies,50,Ninja
Cyan,Bushido Tempest,,Doma Dragon Claw,PHY,Single enemy,Physical,2.40,-,1.65,"One single attack (2.40), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Samurai
Cyan,Bushido Tempest,,Doma Double-Edged Sword,PHY,Single enemy,Physical,2.52,-,1.65,"Four single attacks (0.63 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Samurai
Gau,Maul of the Wild,,Feral Flame,PHY,-,,,,1.65,"Casts a random Feral Flame attack, grants Rage to the user for 2 turns",Y,-,50,Combat
Gau,Maul of the Wild,,Feral Healing,NAT,-,,,,1.65,"Casts a random Feral Healing attack, grants Rage to the user for 2 turns",N,-,50,Special
Setzer,Mostly Megaflare,,Card Trick,PHY,Single enemy,Physical,2.10,-,1.65,"One single ranged attack (2.10), ATK and DEF -20% for 15 seconds",Y,Random enemy,50,Support
Setzer,Mostly Megaflare,,Magic Mystique,PHY,Single enemy,Physical,2.10,-,1.65,"One single ranged attack (2.10), MAG and RES -20% for 15 seconds",Y,Random enemy,50,Support
Strago,Lore,,Aquatic Shard,BLK,Single enemy,Magical,8.68,"Water, Earth",1.65,"Four single attacks (2.17 each), grants Magical Blink 1 to a random ally without status",Y,Lowest HP% enemy,50,Black Magic
Strago,Lore,,Aquatic Gale,BLK,Single enemy,Magical,46.00,"Water, Wind",1.65,"Two single attacks (23.00 each), ignores RES",Y,Lowest HP% enemy,50,Black Magic
Relm,Star Prism,,Rainbow Aura,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Relm,Star Prism,,Miracle Stroke,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Gogo (VI),Punishing Meteor,,Quick Mime,NAT,-,,,,0.83,"Casts the last ability used by an ally, default ability (PHY: single, 1.50 physical)",N,-,180,Special
Gogo (VI),Punishing Meteor,,Adapting Attack,NAT,Single enemy,Hybrid,-,-,1.65,Four single hybrid attacks (0.68 or 2.67 each),Y,Lowest HP% enemy,50,Special
Umaro,Master's Voice,,Take Aim,NAT,Single ally,,,,1.65,"Restores HP for 40% of the target's maximum HP, grants Instant Cast 1",Y,Lowest HP% ally,50,Monk
Umaro,Master's Voice,,Frozen Mist,PHY,Single enemy,Physical,1.95,"Ice, NE",1.65,"Three single attacks (0.65 each), grants Hailstorm to the user for 20 seconds",Y,Lowest HP% enemy,50,Monk
Kefka,Symphony of Madness,,Total Destruction,BLK,Single enemy,Magical,8.96,"Poison, Dark",1.65,Four single attacks (2.24 each),Y,Lowest HP% enemy,50,Black Magic
Kefka,Symphony of Madness,,Dancing Clown,NAT,All enemies,,,,1.65,"ATK -40% for 15 seconds, causes Slow (20%)",Y,All enemies,50,Dancer
Kefka,Harness the Fiend,,Mad Delights,BLK,Single enemy,Magical,4.40,"Dark, Poison",1.65,"Two single attacks (2.20 each), causes Madness -10/20/30/30% for 25 seconds scaling with uses",Y,Random enemy without status,50,Black Magic
Kefka,Harness the Fiend,,Way of the Fiend,BLK,Single enemy,Magical,6.90,"Dark, Poison",1.65,3/4/5/6 single attacks (2.30/2.35/2.40/3.00 each) scaling with Mad Delights uses,Y,Lowest HP% enemy,50,Black Magic
Leo,Warrior's Warrior,,Knight's Ambition,PHY,Single enemy,Physical,2.40,"Holy, Earth",1.65,"Two single attacks (1.20 each), grants Knight Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Knight
Leo,Warrior's Warrior,,General's Pride,PHY,All enemies,Physical,1.50,"Holy, Earth",1.65,"Two group attacks (0.75 each), grants Sentinel to the user",Y,All enemies,50,Knight
Cloud,Fenrir Overdrive,,Whirl Slash,PHY,All enemies,Physical,1.40,-,1.65,"Two group attacks (0.70 each), 80% additional critical chance",Y,All enemies,50,Combat
Cloud,Fenrir Overdrive,,Quad Cut,PHY,Single enemy,Physical,2.00,-,1.65,"Four single attacks (0.50 each), 80% additional critical chance",Y,Lowest HP% enemy,50,Combat
Cloud,Cloud Cycle,,Sonic Rush,PHY,Single enemy,Physical,0.56,"Wind, NE",1.65,Four single attacks (0.14~0.65 each scaling with ATK),Y,Lowest HP% enemy,50,Combat
Cloud,Cloud Cycle,,Slashing Blow,PHY,All enemies,Physical,1.30,"Wind, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Combat
Cloud,Sonic Blade (KH),,Darkness Blast,PHY,Single enemy,Physical,1.50,"Dark, Wind",1.65,"Three single attacks (0.50 each), grants Quick Cast 3 to the user",Y,Lowest HP% enemy,50,Combat
Cloud,Sonic Blade (KH),,Dark Gleam,PHY,Single enemy,Physical,1.68,"Dark, Wind",1.65,"Three single attacks (0.56 each), grants Heavy Charge +1 to the user",Y,Lowest HP% enemy,50,Heavy
Barret,Massive Hammerblow,,Breakdown Bomb,PHY,Single enemy,Physical,2.40,-,1.65,"Two ranged attacks (1.20 each), ATK -50% for 15 seconds",Y,Random enemy without status,50,Support
Barret,Massive Hammerblow,,Breakdown Launcher,PHY,Single enemy,Physical,2.40,-,1.65,"Two ranged attacks (1.20 each), MAG -40% for 15 seconds",Y,Random enemy without status,50,Support
Tifa,Meteor Crusher,,Falcon's Dive,PHY,All enemies,Physical,1.50,"Earth, NE",1.65,Two group attacks (0.75 each),Y,All enemies,50,Monk
Tifa,Meteor Crusher,,Elbow Smash,PHY,Single enemy,Physical,2.16,"Earth, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Monk
Tifa,Rolling Blaze,,Falcon Rush,PHY,Single enemy,Physical,1.88,"Earth, NE",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Monk
Tifa,Rolling Blaze,,Gaia Arrow,PHY,Single enemy,Physical,1.10,"Earth, NE",0.83,"One single attack (1.10), grants 50% Critical to the user for 15 seconds",Y,Lowest HP% enemy,50,Monk
Aerith,White Materia,,Wonders of the Cetra,WHT,Single ally,Magical,4.00,Holy,1.65,"Restores HP (105), damages undeads, MND +30% for 25 seconds",Y,Lowest HP% ally,50,White Magic
Aerith,White Materia,,Paean to Gaia,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Aerith,Prayer of Salvation,,Breath of the Planet,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Aerith,Prayer of Salvation,,Blessing of the Ancients,NAT,Single ally,,,,1.65,"ATK and RES +30% for 20 seconds, grants High Regen",Y,Random ally without status,50,White Magic
Red XIII,Cosmo Canyon,,Steelbreak Howl,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), DEF -40% for 15 seconds",Y,Random enemy without status,50,Support
Red XIII,Cosmo Canyon,,Stone Fang,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), RES -50% for 15 seconds",Y,Random enemy without status,50,Support
Yuffie,Guardian of Wutai,,Riptide,PHY,Single enemy,Physical,1.88,"Water, NE",0.83,Four single ranged attacks (0.47 each),Y,Lowest HP% enemy,50,Ninja
Yuffie,Guardian of Wutai,,Eroding Wave,PHY,Single enemy,Physical,1.72,"Water, NE",1.65,"Two single ranged attacks (0.86 each), ATK and DEF -20% for 20 seconds, ATK and DEF +20% to the user for 20 seconds",Y,Random enemy without status,50,Ninja
Yuffie,Doom of the Living,,Way of the Mirror,PHY,Single enemy,Physical,1.50,"Water, NE",0.83,"Two single ranged attacks (0.75 each), grants Physical Blink 1 to the user",Y,Lowest HP% enemy,50,Ninja
Yuffie,Doom of the Living,,Cup Overflowing,PHY,Single enemy,Physical,1.66,"Water, NE",0.83,"One single ranged attack (1.66), smart ether 1 to the user",Y,Lowest HP% enemy,50,Ninja
Cait Sith,Lucky Girl,,Toy Box Hammer,WHT,Single enemy,Magical,10.70,-,1.65,"Two single attacks (5.35 each), ATK and DEF -20% for 25 seconds",Y,Lowest HP% enemy,50,White Magic
Cait Sith,Lucky Girl,,Toy Box Fat Chocobo,WHT,Single enemy,Magical,10.70,-,1.65,"Two single attacks (5.35 each), MAG and RES -20% for 25 seconds",Y,Lowest HP% enemy,50,White Magic
Vincent,Galian Beast,,Claws of the Damned,PHY,Single enemy,Physical,2.60,"Fire, NE",1.65,"Four single attacks (0.47 each), 0.65 multiplier if the user has any Doom",Y,Lowest HP% enemy,50,Darkness
Vincent,Galian Beast,,Howl of the Damned,BLK,Single enemy,Magical,11.44,"Fire, NE",1.65,"Four single attacks (2.04 each), 2.86 multiplier if the user has any Doom",Y,Lowest HP% enemy,50,Darkness
Vincent,Flame Penalty,,Brimming Chaos,NAT,Single enemy,Hybrid,-,"Fire, NE",1.65,Four single hybrid ranged attacks (0.67 or 2.63 each),Y,Lowest HP% enemy,50,Darkness
Vincent,Flame Penalty,,Dual Slugs,NAT,Single enemy,Hybrid,-,"Fire, NE",1.65,"Three single hybrid ranged attacks (0.66 or 2.65 each), grants Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Darkness
Zack,Meteor Shots,,Eye of the Tornado,PHY,Single enemy,Physical,1.88,"Wind, NE",0.6,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Celerity
Zack,Meteor Shots,,Blast Rush,PHY,All enemies,Physical,1.20,"Wind, NE",0.6,Two group attacks (0.60 each),Y,All enemies,50,Celerity
Sephiroth,Reunion,,Despair,PHY,Single enemy,Physical,24.50,-,1.65,"Two single attacks (12.25 each), ignores DEF",Y,Lowest HP% enemy,50,Combat
Sephiroth,Reunion,,Perdition's Flame,PHY,Single enemy,Physical,2.52,"Fire, NE",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Combat
Sephiroth,Octaslash,,Black Wing,PHY,Single enemy,Physical,3.00,"Dark, NE",1.65,3/4/5 single attacks (0.60 each) at 750/1180 ATK,Y,Lowest HP% enemy,50,Darkness
Sephiroth,Octaslash,,Fallen Angel,PHY,All enemies,Physical,1.30,"Dark, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Darkness
Cid (VII),Dragon Dive,,Aeroboost,PHY,Single enemy,Physical,2.08,Wind,1.65,"Four single attacks (0.52 each), five attacks if exploiting elemental weakness",Y,Lowest HP% enemy,50,Combat
Cid (VII),Dragon Dive,,Wind Force,PHY,All enemies,Physical,1.26,Wind,1.65,"Two group attacks (0.63 each), three attacks if exploiting elemental weakness",Y,All enemies,50,Combat
Reno,Turk Triad,,Trine Combo,PHY,Single enemy,Physical,0.52,"Lightning, NE",1.65,1/2/3/4/5/6/7/8 single ranged attacks (0.52 each) scaling with uses,Y,Lowest HP% enemy,50,Combat
Reno,Turk Triad,,Stun Rod,PHY,Single enemy,Physical,1.96,"Lightning, NE",1.65,"Four single ranged attacks (0.49 each), causes Stun (9%)",Y,Lowest HP% enemy,50,Combat
Angeal,Unleashed Wrath,,End of Gluttony,NAT,Self,,,,1.65,Grants Wings of White and Quick Cast 3,Y,Self,50,Knight
Angeal,Unleashed Wrath,,End of Gluttony (S),PHY,Single enemy,Physical,3.42,"Holy, Wind",1.65,"Six single attacks (0.57 each), 50% additional critical damage, removes Wings of White to the user",Y,Lowest HP% enemy,50,Knight
Angeal,Unleashed Wrath,,Charge of Greed,PHY,Single enemy,Physical,2.28,"Holy, Wind",1.65,Four single attacks (0.57 each),Y,Lowest HP% enemy,50,Knight
Angeal,Unleashed Wrath,,Charge of Greed (S),PHY,Single enemy,Physical,2.85,"Holy, Wind",1.65,Five single attacks (0.57 each),Y,Lowest HP% enemy,50,Knight
Rufus,President's Scorn,,Triple Mako Shot,PHY,Single enemy,Physical,1.71,"Dark, NE",1.65,"Three single ranged attacks (0.57 each), grants Quick Cast 2 to the user",Y,Lowest HP% enemy,50,Sharpshooter
Rufus,President's Scorn,,President's Gambit,PHY,All enemies,Physical,1.00,"Dark, NE",1.65,"Two group ranged attacks (0.50 each), 20% chance to cause Imperil Dark 10% for 15 seconds",Y,All enemies,50,Sharpshooter
Shelke,Synaptic Net Dive,,Magemash Pierce,PHY,Single enemy,Physical,1.80,"Lightning, NE",0.83,"One single attack (1.80), MAG -50% for 15 seconds",Y,Random enemy without status,50,Support
Shelke,Synaptic Net Dive,,Debilitating Stab,PHY,Single enemy,Physical,1.80,"Lightning, NE",0.83,"One single attack (1.80), MND -40% for 15 seconds",Y,Random enemy without status,50,Support
Rude,Ultimate Grand Spark,,Ground Surge,NAT,Single enemy,Hybrid,-,"Earth, NE",1.65,Four single hybrid attacks (0.63 or 2.62 each),Y,Lowest HP% enemy,50,Special
Rude,Ultimate Grand Spark,,Materia Charge,NAT,Single ally,,,,1.65,"Restores HP for 40% of the target's maximum HP, grants Stitch in Time to the user",Y,Lowest HP% ally,50,Special
Elena,Elite Operator,,Try this on for size!,PHY,Single enemy,Physical,1.88,"Fire, NE",0.83,Four single ranged attacks (0.47 each),Y,Lowest HP% enemy,50,Sharpshooter
Elena,Elite Operator,,Take THIS!,PHY,All enemies,Physical,1.10,"Fire, NE",0.83,"Two group ranged attacks (0.55 each), causes Confuse (24%)",Y,All enemies,50,Sharpshooter
Squall,Lion's Roar,,Renzokuken Flame,PHY,Single enemy,Physical,2.52,"Fire, NE",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Combat
Squall,Lion's Roar,,Renzokuken Wind,PHY,Single enemy,Physical,2.52,"Wind, NE",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Combat
Squall,Steely Blade,,Draw & Junction,PHY,Single enemy,Physical,0.80,"Ice, NE",1.65,Two single attacks (0.40 each),Y,Lowest HP% enemy,50,Spellblade
Squall,Steely Blade,,Löwen Roar,PHY,Single enemy,Physical,2.16,"Ice, NE",1.65,"4/5/6/7 single attacks (0.54/0.89/1.05/1.25 each) scaling with Draw & Junction uses, 0/5/10/25% additional critical chance",Y,Lowest HP% enemy,50,Spellblade
Squall,Revolver Drive,,Draw & Triple J,PHY,Single enemy,Physical,0.80,"Fire, NE",1.65,Two single attacks (0.40 each),Y,Lowest HP% enemy,50,Spellblade
Squall,Revolver Drive,,Löwen Herz,PHY,Single enemy,Physical,2.16,"Fire, NE",1.65,"4/5/6/7 single attacks (0.54/0.89/1.05/1.25 each) scaling with Draw & Triple J uses, 0/5/10/25% additional critical chance",Y,Lowest HP% enemy,50,Spellblade
Rinoa,Sorceress's Awakening,,Truespell Stonefall,BLK,Single enemy,Magical,10.48,"Earth, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Rinoa,Sorceress's Awakening,,Truespell Iceraze,BLK,Single enemy,Magical,10.48,"Ice, NE",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Rinoa,Angel Wing Ice Shards,,Realm of Ice,BLK,Single enemy,Magical,10.20,"Ice, NE",1.65,Four single attacks (2.00/2.25/2.55 each) at 650/1200 MAG,Y,Lowest HP% enemy,50,Black Magic
Rinoa,Angel Wing Ice Shards,,Betrayal of Magic,NAT,Single enemy,,,,1.65,"MAG -40% for 20 seconds, MAG +30% to the user for 20 seconds",N,Random enemy without status,50,Witch
Quistis,Hail to the Queen,,Cloying Fragrance,BLK,Single enemy,Magical,8.68,"Poison, NE",1.65,"Four single attacks (2.17 each), causes Poison (7%), Blind (7%), Silence (7%) and Confuse (7%)",Y,Lowest HP% enemy,50,Black Magic
Quistis,Hail to the Queen,,Vile Ichor,BLK,All enemies,Magical,6.18,"Poison, NE",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Zell,Duelist,,Headlong Rush,PHY,Single enemy,Physical,2.52,-,1.65,"Four single attacks (0.63 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Combat
Zell,Duelist,,Lightning Reflexes,PHY,Single enemy,Physical,1.92,-,1.65,"Four single attacks (0.48 each), grants Instant Cast 1 to the user",Y,Lowest HP% enemy,50,Combat
Zell,Fiery Meteor Barret,,Flame Rush,PHY,Single enemy,Physical,2.16,"Fire, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Monk
Zell,Fiery Meteor Barret,,Spirit Beatdown,PHY,Single enemy,Physical,1.68,"Fire, NE",1.65,"Three single attacks (0.56 each), grants Monk +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Monk
Selphie,Strange Vision,,Prayer for Home,WHT,Single,Magical,4.00,Holy,1.65,"Restores HP (105), grants High Regen, damages undeads",Y,Lowest HP% ally,50,White Magic
Selphie,Strange Vision,,Moonstone,WHT,Single enemy,Magical,10.50,Holy,1.65,"Two single attacks (5.25 each), removes positive effects",Y,Lowest HP% enemy,50,White Magic
Selphie,Reality or Truth,,Crescent Heal,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Selphie,Reality or Truth,,Tiny Heal,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Irvine,Flame Shot,,Blade Snipe,PHY,Single enemy,Physical,2.10,-,1.65,"One single ranged attack (2.10), ATK and RES -20% for 15 seconds",Y,Random enemy,50,Support
Irvine,Flame Shot,,Mage Snipe,PHY,Single enemy,Physical,2.10,-,1.65,"One single ranged attack (2.10), DEF and MAG -20% for 15 seconds",Y,Random enemy,50,Support
Irvine,Hyper Canister,,Quickening Flame,PHY,Single enemy,Physical,1.88,"Fire, NE",0.83,Four single ranged attacks (0.47 each),Y,Lowest HP% enemy,50,Sharpshooter
Irvine,Hyper Canister,,Reloading Flame,PHY,Single enemy,Physical,1.60,"Fire, NE",1.65,"Two single ranged attacks (0.80 each), smart ether 1 to the user",Y,Lowest HP% enemy,50,Sharpshooter
Seifer,Sorceress's Knight,,Desperate Madness,PHY,Single enemy,Physical,2.24,"Dark, NE",1.65,"Four single attacks (0.56 each), Desperate Madness and Radiant Shield 100/125/150/175/200/225/250/275/300% to the user",Y,Lowest HP% enemy,50,Darkness
